animalsuchasinvertebrate_1,animalsuchasinvertebrate_2
781,782
996,386
6701,959
959,8288
8737,27
9149,9150
9229,386
11907,959
10425,386
12263,3680
4829,386
108,6970
6127,2088
386,1976
15870,5738
5176,4613
2461,996
885,386
2746,2415
6128,886
2882,20624
983,5738
3681,2922
8501,3680
10265,6970
9149,23837
108,12877
8501,4373
1159,15483
6958,24721
1997,982
108,26106
108,3290
28119,2415
995,386
8298,386
959,2415
6970,7195
22589,32742
15314,24721
1029,1976
20723,27
959,11907
1616,982
959,6970
9149,6701
12263,5291
15761,2415
386,10425
14798,386
784,38120
3319,2415
108,4613
784,32497
8612,15483
2999,958
108,10425
11815,386
39270,5291
2774,15483
2916,386
959,3680
2399,982
784,1976
3111,21852
2882,15870
959,43126
982,1997
5291,6970
784,27
3681,4373
1067,982
108,45529
27,2088
108,25711
386,3696
1111,982
784,36327
26,12877
782,781
1159,996
29761,6701
14532,982
996,27
886,386
1300,386
959,10425
42639,37057
959,23673
6273,386
2999,12877
5970,5738
2168,37057
8501,6701
15314,2415
1927,386
1977,1976
784,30972
784,3680
14532,26
8842,982
1160,958
2882,21852
4694,982
108,23837
58637,2415
10949,386
2168,10104
40336,2415
8298,15483
6958,22589
6958,31570
2999,23673
8871,386
15870,982
1111,386
21852,982
19345,10425
11325,386
12979,5738
6970,41488
8181,30972
784,11842
386,23673
6127,386
29761,3680
1160,1159
6970,11645
996,2461
6750,386
959,2922
6216,982
2414,2415
34167,27
996,958
2328,26
15483,10926
22288,3680
784,8008
2999,1160
1159,2461
10013,2088
2774,996
1927,5738
12263,4373
6498,386
3120,386
27,10425
3730,982
108,8008
784,12877
8501,12024
22589,10104
20704,27
22165,27
11815,982
2882,958
11907,2922
15414,2415
5176,6970
9229,2088
837,386
2167,6970
7962,982
996,1976
995,27
10265,9150
9149,31570
27,12877
27,9350
784,10425
784,958
27,39417
2531,2415
2999,1976
22589,31570
6958,30127
29761,4373
15483,8612
886,27
27,8008
12263,2415
108,3680
2088,10013
43415,2415
12979,982
2462,2916
959,41488
4441,982
386,958
5949,2415
3681,12024
12877,2415
43417,2415
3846,982
27947,2415
27,33580
10207,27
1160,7783
27,16060
4275,982
108,10926
4694,24862
19385,2415
3681,3680
2399,30972
959,7923
1160,8008
2916,7669
959,6701
3696,386
9967,27
983,982
1111,5738
959,12877
4441,8841
8501,23837
6853,982
2511,982
14949,2415
2399,24862
959,7195
3158,982
6970,37057
7052,1159
27,69508
3681,5878
29761,12024
386,2088
784,21852
19385,2746
1067,42604
108,12024
959,37057
5176,12877
2882,2088
27,1976
959,958
1793,6864
386,12877
1159,1160
2916,5290
2462,386
6958,32742
784,31570
8501,6970
108,9150
959,18565
6958,23837
959,26106
959,38017
12877,27386
108,1976
51463,2415
2916,3696
37246,2415
27,12361
1159,386
386,21852
3120,27
784,2922
1088,982
784,7195
10265,6701
6321,10104
959,49726
2882,33580
6216,5738
996,12877
27,23673
27,2273
982,30972
2916,1976
784,781
2999,20328
17438,982
12263,959
12263,12024
784,982
1616,5738
959,3681
35981,2415
2328,982
6958,30121
2362,982
27386,12877
2999,982
