animalthatfeedoninsect_inv_1,animalthatfeedoninsect_inv_2
885,886
995,996
2272,2273
2766,27
5486,27
5841,386
387,27
6127,6128
3696,959
1793,27
3290,108
8612,386
27,10134
27,2088
386,12101
27,108
12501,996
996,2461
27,2462
1160,784
6127,27
11325,386
15430,27
3120,386
8298,15483
386,16755
3696,2462
27,11325
27,18505
18653,27
20899,27
886,27
3290,27
27,386
995,108
995,27
22044,996
4803,2088
386,6498
7153,386
386,6615
24612,2882
386,2462
26256,996
4829,27
10207,27
27,27428
2922,27
3696,2461
386,6750
2922,784
29946,386
2774,386
7669,27
1300,2088
386,996
31549,3696
2461,2462
2462,386
386,2916
1160,1159
17940,27
10949,2882
9229,108
386,12501
3696,1159
6273,996
2922,3681
2774,108
5291,784
27,16019
8612,27
5613,2999
27,15430
5291,39270
21291,27
2462,2882
3696,2916
6127,996
14798,27
14385,27
2922,108
2916,996
20704,27
1159,3696
27,5565
6615,27
8298,27
23598,386
15870,784
30562,27
2916,2999
3120,27
6127,386
837,108
5663,386
5256,27
23598,27
16060,386
1159,27
10949,27
23840,2088
5565,27
9041,2088
27,23004
5318,27
7739,386
6127,37826
23004,27
5291,6958
1300,108
26256,2916
2998,959
27,6273
27,33263
29787,27
959,2088
9101,27
2998,27
3290,386
52306,2088
12501,27
27,1159
1793,6864
27,6127
6273,386
27,6391
5613,386
17940,9041
6127,959
54184,2088
996,108
2774,15483
17940,386
837,386
1159,1160
16019,27
6750,996
996,2882
53692,27
5291,6970
2916,386
26256,27
27,3696
6127,108
1793,9350
9041,27
10013,4178
7153,27
16755,3696
20899,2916
19577,27
5291,2999
6128,2088
2774,27
5949,2882
1793,52140
2998,23693
1159,2999
996,386
16070,386
5290,1029
1793,4178
2774,5525
1793,2088
2922,11907
29492,27
20624,386
386,3696
11325,996
5612,5613
1300,9350
6127,2999
63326,2088
1300,2882
27,5318
8298,386
8298,886
27,9967
8298,996
27,37826
4829,2999
27,12501
10949,996
886,2882
1029,27
3120,996
5291,2882
386,2999
1159,996
2461,996
386,39549
65653,2088
5318,386
27,12101
4829,386
9041,108
387,386
27,9041
994,27
27,4178
66616,2088
386,6127
3696,16755
995,386
386,23004
386,32490
386,5318
6750,1977
5291,108
3696,386
1793,386
3696,108
1159,15483
386,387
886,386
17940,26256
3696,27
27,6498
6750,1029
6750,386
886,2999
27,10207
5290,784
885,2088
16755,2999
5290,2916
2774,996
23004,386
885,386
6498,996
2461,27
6750,27
27,2882
1159,2461
996,2916
5291,10873
6273,886
6750,2916
20723,27
19577,996
27,22044
27,2999
5290,27
386,1159
1300,6128
886,996
3696,31549
9967,27
9041,386
2998,108
58286,386
6750,2882
2462,996
9229,27
1159,7052
27,1759
22044,27
2462,3696
9229,996
3696,2882
20624,2882
2998,2999
5613,5612
1933,27
837,27
5612,9350
2462,27
35620,108
14385,386
1788,27
2462,26256
20624,2916
3696,9041
5290,31527
5290,996
3696,996
6391,27
9229,886
386,2882
6498,2882
9041,1759
10134,27
885,27
6127,784
386,10425
6127,2088
6273,27
1300,386
6864,2882
386,4178
1300,6864
2462,2461
6391,386
5291,8501
32176,27
386,27
1300,27
27,1029
1159,2882
10013,2882
2922,2999
5612,2088
16019,386
22165,27
6864,27428
5612,27
6864,27
3696,2999
10949,108
9229,386
19345,108
39549,386
6864,386
27,16755
6498,386
2774,1160
27,387
1933,386
886,46410
8298,1160
32969,27
44479,2088
4829,108
837,996
6498,27
34167,2882
30660,27
8298,108
9229,1160
996,1159
27,20059
5613,27
52306,2273
8737,27
996,27
2922,386
11025,27
51638,386
59585,26256
5291,12263
27,959
27,5256
3696,26
44365,2088
6127,2882
23840,2273
27,9350
27,13752
32490,386
10058,27
1159,108
20624,996
2461,1159
5290,959
10013,2088
6127,1977
2766,386
51638,27
2272,2088
20624,27
2998,784
73237,27
5290,108
1300,52140
27,12877
8612,15483
11325,27
7052,1159
2922,959
2766,2916
14798,386
27,11025
386,13752
6615,386
3696,2088
4829,1977
12501,386
10949,386
6127,886
5256,996
5613,35620
27,996
