arterycalledartery_inv_1,arterycalledartery_inv_2
653,654
2532,2533
5084,654
857,5673
5732,654
6693,857
7007,654
857,654
12711,5607
5607,857
13401,857
14510,654
14802,654
857,11830
10894,5607
17262,14685
13419,5607
857,17590
16499,16498
19357,14685
19389,654
19389,5607
5042,654
22008,22009
19761,17590
10894,23034
23419,654
12799,857
24525,2532
22008,24525
24624,654
2742,654
25311,857
857,26244
26753,10894
10894,19151
19151,10894
28789,857
30112,857
16499,19389
30790,857
8517,654
857,32379
6217,857
32825,857
14685,654
34945,10894
33738,654
19761,26244
32836,654
2742,857
10894,36586
37216,26244
857,6217
32379,857
39391,857
11830,857
857,40307
21117,5607
14685,2770
16498,42345
42434,37265
42960,857
10894,35107
43539,654
44634,857
44919,857
30112,5607
44517,857
35623,857
10894,857
22008,654
857,5607
46465,654
18,5607
48084,5607
20299,14685
5084,5607
5673,857
19389,37265
30112,654
20299,857
857,37728
2532,654
857,35623
54211,654
29526,14685
54636,857
20299,5607
13401,654
49792,857
44634,26244
7007,857
10894,34945
857,18
56633,654
857,49792
57485,857
10894,38850
40307,857
12510,654
857,43382
857,59332
857,8785
30193,14685
42414,654
40869,857
23034,10894
38850,10894
26244,16498
7842,857
857,39391
11830,5607
23064,857
20299,30193
59332,857
16498,11787
5042,857
28037,857
654,33738
2533,10894
54636,654
1362,654
37926,654
30112,16498
30236,857
65011,654
28789,26244
1403,2770
17590,857
654,19761
10894,26753
37216,857
16498,857
2656,5607
30706,654
30193,857
30706,857
51225,654
5258,5607
16499,37265
13709,857
857,33477
18,654
2532,36586
2532,67252
753,654
11464,857
14685,857
16498,17872
857,30236
10894,654
53781,654
57113,16498
857,13709
857,14510
16498,5607
22008,16498
857,70028
2656,28168
857,28789
20299,2532
1403,1402
10894,2533
26244,857
16498,56710
26244,654
16498,37804
857,44517
17590,654
654,7007
24525,654
1403,2532
857,37216
39324,654
20299,654
5607,654
14510,857
16498,654
28168,654
24299,654
19761,654
23064,654
13659,654
37580,857
3248,654
54923,654
33477,857
10894,58146
38254,654
19761,17872
43382,857
73118,857
857,6693
19357,654
31740,857
857,44634
20290,654
5732,2770
2656,654
31740,654
61956,857
50818,654
30193,54923
6671,654
753,857
2532,5607
19357,51225
857,61956
23064,28037
2656,857
48562,654
49464,654
11830,654
14685,2532
5258,654
654,14510
8785,857
63686,654
14685,1402
857,57485
65458,857
16498,37265
2656,1402
24525,16498
19761,857
61224,16498
37728,857
24525,857
857,25311
18,857
12711,2532
5084,857
13419,2532
70028,857
73044,654
5258,857
857,7007
30193,654
857,19761
857,16498
1403,654
