arthropodandotherarthropod_1,arthropodandotherarthropod_2
837,27
2414,2415
27,2774
3037,958
958,386
996,386
2121,6057
6190,958
27,6273
7669,1029
7783,1160
386,6273
2462,27
2415,11788
1793,386
9229,27
12699,7052
1300,27
14949,2415
3696,27
387,27
16070,386
1029,5290
2916,996
8008,958
18205,958
27,886
27,20624
3037,10055
20723,27
20899,27
19577,27
958,22626
386,3696
27,10949
386,16019
9193,3037
386,2916
12501,996
27,11325
5612,5613
3319,29283
10134,27
27,20899
9193,10055
27,2766
15414,2415
6127,958
958,959
3696,2462
386,3120
5949,2415
5731,958
386,12501
16555,9193
27,5256
2916,5290
22044,27
27,8298
16755,3696
27,959
6750,27
12032,2121
9229,386
27,1300
6864,386
3696,16755
9193,958
27,4829
996,2916
16867,1160
2462,2461
2916,3696
9041,386
386,14798
12501,27
2998,959
2916,6750
6128,6127
6463,27
27,1029
12032,9193
886,386
2916,26256
3319,2415
6273,27
1160,1159
23004,386
386,1159
6498,27
386,6750
35981,2415
996,3696
386,23004
33263,27
1029,2916
8612,27
27,5565
837,386
2922,959
27,3696
6127,386
1159,996
386,996
1159,2461
886,885
27,5486
27,2462
1159,27
27,6864
27,22165
27,995
51638,27
386,2922
386,8298
958,16867
9193,2121
12032,958
3120,1160
10055,9193
9101,27
27,10134
32176,27
6057,958
27,3120
27947,2415
11325,27
6127,27
16019,386
27,23004
27,387
27,22044
27,26256
8298,386
958,49020
27,6127
5290,1029
31168,1029
15761,2415
27,8008
27,1793
12032,10055
2415,1160
27,3290
23598,386
47489,1160
10949,386
8612,15483
994,27
996,27
958,53881
886,27
27,20704
3696,2916
27,1160
6273,386
7783,8008
958,6190
5663,386
1793,27
12033,12032
27,6498
27,6750
2916,2766
11325,386
29492,27
9967,27
5318,386
996,886
27,23598
386,886
3319,62954
51463,2415
995,996
8298,1160
27,9967
2462,386
11025,27
27,996
7153,386
958,1160
2462,3696
27,6391
386,387
7195,1160
23598,27
27,10058
27,12501
5291,1160
5565,27
33075,958
5525,2774
958,3037
27,10207
6750,2916
2746,2415
1160,8008
2916,20624
10926,1160
958,12032
2461,1159
9193,18205
386,1793
36408,958
958,2916
15430,27
14798,27
5486,27
386,6127
7052,12699
53881,958
2531,2415
7669,27
8008,1160
6391,27
2774,996
958,18205
14385,386
1300,386
386,10949
386,4829
42639,37057
27,386
2121,66041
6057,10055
6391,386
2461,996
16555,958
1159,386
386,27
2766,27
51638,386
8298,27
10949,27
40336,2415
9229,996
886,996
27,994
2766,2916
27,1159
27,25711
2121,9193
959,2998
27,11025
27,29492
386,6615
5613,5612
30660,27
3120,958
6498,996
31527,5290
386,2462
1160,10926
16867,958
2774,49020
5256,27
958,36408
995,27
18205,9193
1160,7783
2774,386
2774,27
27,7153
12699,15483
386,16060
386,6498
386,995
32490,386
7153,27
386,2774
2461,2462
959,3696
10926,15483
386,32490
27,5318
2916,386
30562,27
996,1159
43417,2415
958,6057
9193,6057
12501,386
958,2121
27,7669
3696,386
885,886
837,886
27,15430
49020,1160
885,27
386,1300
2916,994
27,30562
12032,16555
837,996
6273,996
71226,958
386,58286
23004,27
995,386
8737,27
8298,886
18644,27
16060,386
27,2998
9229,886
27,5290
958,3696
9229,1160
12032,12033
2121,958
4829,386
6750,386
37057,1160
27,7783
18505,27
27,885
2462,996
2922,386
4829,27
6057,9193
8298,15483
1159,1160
958,9193
996,2461
18205,6057
21291,27
23468,958
386,9229
58637,2415
386,7153
74999,1160
7739,386
2774,5525
25711,27
9193,16555
6498,386
58286,386
386,5318
73258,958
386,11325
958,8008
386,6864
