atdate_1,atdate_2
173,174
279,280
308,272
319,320
327,328
430,431
448,272
502,277
299,533
548,272
595,596
597,182
611,612
620,272
83,401
657,658
685,401
344,596
723,372
726,727
759,280
770,254
913,658
1033,277
1062,182
1071,658
1107,638
1110,182
946,280
1138,193
1143,658
1203,193
1223,182
1224,272
1263,70
1288,277
1299,280
1319,658
1399,638
1400,254
30,612
1459,254
1472,280
309,638
1599,254
1645,1380
1675,280
1738,1739
1752,254
1785,280
1797,182
1800,254
1817,596
347,1821
1655,254
1881,277
1884,596
1891,658
1895,1896
1952,638
1876,658
2036,277
2059,727
2061,193
2091,658
2104,372
2107,658
2125,401
2169,328
1472,182
2205,2206
2211,2212
2260,638
2298,277
502,1755
2372,638
2380,277
2472,596
2473,638
71,2502
2508,401
2486,1204
2523,2212
2526,638
2539,182
2563,2564
2676,320
2696,254
2738,658
2806,372
2826,658
2832,355
2729,193
2942,272
2996,328
3011,174
3027,3028
3041,254
3034,3069
3091,182
3113,277
2563,3139
3171,254
3192,431
3215,596
3258,272
1025,431
3275,277
3313,272
3379,1755
3421,638
3438,182
3473,280
3530,174
3537,174
3574,182
1228,272
351,280
3595,182
3631,596
3652,254
3701,193
3714,182
3724,277
3752,280
3764,401
116,3766
3885,372
3916,182
3938,3939
3959,658
3974,401
4006,174
4015,1204
4063,638
4068,3398
4090,193
2826,401
745,174
4172,272
4201,658
4258,182
1575,4288
4327,328
1216,328
763,727
4486,280
3421,1380
4532,658
3192,182
4556,4557
4570,612
4574,658
4586,174
2835,254
4646,401
4693,280
4728,254
4751,4752
377,4785
1575,280
4814,277
1368,727
4834,4835
4851,638
1835,4855
3502,174
4935,658
4970,638
2486,4971
4973,355
4980,596
4997,401
642,596
5008,277
4068,658
1329,277
485,658
377,4898
3434,328
5129,328
5134,5135
5195,277
767,4971
2059,182
5227,372
1459,182
1901,254
5266,727
5289,658
5294,355
5309,638
787,5331
5379,174
5438,372
5356,596
5463,275
4680,658
3124,638
5498,1755
5527,401
3029,1380
5568,401
5610,280
5676,272
3877,254
5703,174
5711,596
5754,727
5791,1380
5792,272
2626,2290
5814,272
308,401
5846,401
5872,182
5954,5955
5958,658
5962,182
4099,193
1744,277
6010,277
6045,272
6067,727
6070,658
2563,275
3890,658
6101,6102
6131,2613
1400,1755
299,372
6161,1755
5621,658
273,4855
4068,401
6205,182
6214,596
3221,596
6258,277
6265,727
4225,401
6345,401
377,182
6390,272
6418,272
3797,401
2022,1433
2022,6523
6534,182
6544,182
1266,1574
6600,638
377,6624
6712,277
6719,254
6101,5104
6782,6783
6798,272
6805,3220
6811,638
6859,401
6877,272
4063,596
6921,254
6980,280
6981,272
5836,1380
5676,401
2682,254
3421,328
1059,272
804,596
7201,1380
7208,596
6390,372
700,174
7278,401
7282,280
7293,727
7327,401
173,272
7353,182
373,3220
7419,182
4580,658
