athleteinjuredhisbodypart_inv_1,athleteinjuredhisbodypart_inv_2
158,159
2506,2507
4566,4567
4566,7751
2506,8292
4179,9472
10462,10463
7145,159
2506,2967
7464,7751
13945,13946
7464,14359
7464,12157
16750,15897
4179,4567
7076,7075
10462,11035
18935,8292
7464,18966
7464,10463
16750,4930
19564,7075
7464,15662
158,4567
10462,11436
21428,12157
158,2967
11903,11902
2506,18460
23036,171
2506,2590
16750,11902
2506,14540
13945,11944
158,7075
21428,24552
10462,11902
4566,6163
16750,1554
7145,15662
2506,5793
2506,28889
27373,4567
2506,7876
13945,2135
7464,31419
158,33059
10462,15971
2506,11035
10545,35883
16750,7876
2506,11902
2506,12157
2506,6163
10545,40297
10545,5793
10545,7751
13945,2507
2506,41357
158,12157
10462,31419
2506,7075
10462,14540
7464,10573
2506,159
2506,5347
10462,8325
158,9472
2506,39782
10462,7075
10545,4930
18935,6163
27373,7075
4179,7751
7464,7045
10462,15662
16750,48065
16750,28846
10545,4567
10462,159
2506,49000
7464,41357
158,11288
13945,5793
10462,12940
158,8292
7464,26196
2506,4567
10545,159
7464,4567
7464,11035
2506,7127
158,7127
7464,1820
10462,2135
7464,4309
10462,7751
4566,7127
158,13946
158,5793
2506,10212
21428,54718
2506,4127
2506,15662
4566,15971
4566,7075
158,4930
2506,13946
7145,7075
16750,4127
13945,15971
4566,8325
158,2507
7464,18615
61481,12521
10462,2869
2506,9472
7464,8325
13945,9472
16750,11944
2506,24298
7464,15320
2506,10573
7464,39782
7464,2967
4566,15868
4566,14540
64336,2967
158,6163
158,15971
10462,18615
7464,13946
19564,159
158,2869
2506,2869
2506,2135
10462,7045
18836,7075
7464,2135
10545,2507
61481,4567
16750,49000
16750,5793
7464,11944
63733,7876
158,12940
10462,6163
10545,3667
4179,159
18935,7075
158,53707
7464,14540
10545,7075
18836,4567
4566,4309
158,11944
2506,15971
7464,5347
7464,19714
10545,18615
7464,11436
10462,5793
4566,159
10545,57119
19564,7127
11903,45432
7464,9472
2506,28440
4179,7075
16750,8412
2506,11436
158,5347
63733,12940
7464,24298
10462,4309
10545,16110
10545,7876
7076,4567
2506,37932
2506,14359
158,59110
10462,15320
7464,7876
4566,2967
10545,14540
10545,11944
10462,13946
4179,15971
2506,26053
10545,7127
2506,39514
2506,4309
7464,18460
158,31419
10545,32821
10462,7127
158,14540
7464,26053
18935,159
10545,9472
158,15320
7464,2590
7464,15971
2506,11944
158,7751
4566,2507
21428,23263
158,33284
2506,7751
7464,2507
7464,12940
158,48838
4179,2507
2506,7045
10545,49911
10545,12157
7464,2869
10462,4567
10545,14359
158,7876
27373,2507
16750,33675
16750,24468
49121,7075
7464,5793
10462,41357
10462,2507
33324,7075
10462,2967
11903,17338
4179,6163
10462,26053
10462,12157
2506,8325
21428,7075
2506,18615
10462,14359
7145,18615
19564,6163
18836,2507
10545,28275
13945,2967
