athleteledsportsteam_1,athleteledsportsteam_2
378,379
1509,1248
2856,57
2887,1081
5092,4165
7294,281
8611,281
9527,2694
10617,476
10750,4148
11065,4418
11294,326
11658,3567
12644,4184
1384,1004
12940,1248
13377,113
13242,1248
13816,12839
14278,56
14377,4926
14722,1248
88,87
15897,421
2966,486
13605,1284
16819,98
16989,113
1818,1011
8813,8814
4127,350
12721,552
18737,97
19297,379
19624,383
9929,2593
20054,98
15465,4148
20148,2593
21651,6816
15708,8814
22506,1004
6901,3512
21279,5560
23943,5920
11644,7812
17236,2593
13936,56
20464,62
15159,497
1554,113
14745,476
26513,552
1325,3293
9845,3746
2471,2004
27647,3745
3687,501
28378,68
11076,11847
19170,421
8754,5352
29174,4602
29438,4926
23789,4602
3958,4297
12198,3900
3351,5352
18119,383
31663,1284
2331,56
10214,57
32503,2694
32731,971
5545,35
1812,68
5573,932
33911,1493
7054,2819
29755,113
6875,1004
1000,497
35508,4183
1703,113
9303,1248
37273,2341
23194,1248
3102,379
9331,35
8832,10922
30039,1011
3203,1248
38731,1914
39580,4297
39907,3746
4567,3393
29876,4332
21439,379
39679,98
40614,2286
13088,2694
7310,1248
8530,3567
30555,2593
9197,497
26077,3383
42932,446
43181,11172
25163,1004
3747,3746
43927,486
15824,1248
32973,1250
6303,57
12266,1604
33059,551
16523,9598
6675,4183
2499,497
28846,3745
16661,1248
18397,3746
30111,552
3667,3393
10212,501
37749,69
31936,487
34186,1604
22500,1004
10436,1633
24776,3293
35567,3945
10836,281
16881,501
52413,2172
42316,98
35864,98
18214,8814
7827,99
8559,10775
11902,2476
8958,497
54171,2694
7516,971
16234,4926
36116,68
28610,3393
646,1004
16233,1914
31691,2694
11436,4504
43565,497
9491,326
39591,476
56663,282
33425,98
46804,326
21038,1914
18209,3512
29086,1248
25797,4418
43433,14503
7086,9769
19585,5352
29957,4332
52255,1913
14380,4148
19353,4183
55633,1914
25111,1248
33916,3746
18460,1248
5793,3383
12125,3746
18681,1913
23806,1284
46976,4662
3664,68
22907,3567
59271,2244
5171,97
39740,379
6599,8814
25175,35
4309,99
53780,8814
10489,1248
23326,3383
15959,2593
39065,22573
37752,4504
32821,68
46198,98
16419,3772
51276,2004
17198,1004
19312,68
12047,421
8654,4183
2507,552
21664,10922
33284,3746
6926,1807
38456,3746
41062,1493
14432,4662
3236,7068
50917,97
13317,98
61153,383
29852,8148
62582,3945
12481,8286
7876,17579
1416,971
16445,35
4420,2694
44648,4867
27085,2694
22263,282
49897,2476
38355,1248
3435,2694
53614,690
49911,9915
66419,4926
16604,1914
19576,1004
29436,2007
4363,1248
5926,69
13759,113
8591,1913
3963,1807
4185,4184
13051,98
22199,3900
15816,2694
11395,4148
21994,3567
18761,3746
25282,1248
20217,447
18204,971
32551,562
6095,3746
10237,68
64083,2007
46074,1004
69222,4297
6667,14077
55205,281
22654,256
23530,3746
42251,35
2590,486
5024,4662
4550,1248
48843,497
28331,69
28147,8366
53532,4662
46365,552
33029,11729
9400,69
33660,57
7217,476
22164,4332
16028,551
31240,392
17195,7068
17155,476
45324,4332
20423,2819
12306,87
35307,1248
37768,1248
56693,1250
38118,3665
16086,4853
1241,10759
11826,2007
60528,68
25565,882
33031,379
9933,7498
28785,383
57823,3837
23966,8222
44453,4184
23266,350
23948,383
23119,10759
6871,3746
24468,3745
14334,3746
13961,2694
2051,882
31207,3746
22432,1004
4999,4165
2006,2007
17769,97
23898,1604
1766,22573
7069,1248
43813,1250
37622,932
57523,68
22543,17579
67521,551
27949,1004
17210,552
4622,3383
16918,4184
4200,113
40922,476
2989,100
52859,8814
11126,562
33405,97
6755,2476
7360,971
8881,3893
44182,281
21641,552
30863,1493
17323,551
33675,551
25294,14503
22641,421
15754,2593
8897,56
40467,1248
27754,882
37118,1248
3578,4602
15518,281
8874,2007
37991,3188
32611,3854
42532,13920
46827,971
15815,4297
61725,552
32028,10961
35883,113
17309,2694
16110,68
61608,98
24882,1004
17977,8814
1605,1604
29190,501
7648,1284
1112,10759
22814,1913
21821,3772
15920,2694
31373,383
36227,1248
9894,486
4762,2004
40167,497
33505,35
27642,3314
35430,69
39503,1004
18803,3293
12643,379
26729,4148
16244,2694
18847,4853
20282,99
55872,57
15868,3393
8445,62
8412,379
53292,68
29535,14983
12703,690
29702,2286
16696,6816
61747,3745
18384,4602
60848,97
24533,1116
14446,35
7186,8366
36059,113
4145,486
9099,3188
22078,1248
5098,3746
11986,4602
10962,10961
9440,97
31298,2341
70477,8814
27531,447
