athleteledsportsteam_inv_1,athleteledsportsteam_inv_2
1604,1605
68,1812
4184,4185
4183,6675
4165,4999
3567,8530
4183,8654
3188,9099
326,9491
7498,9933
3393,4567
10961,10962
497,1000
379,12643
690,12703
35,14446
551,16028
4926,16234
2694,16244
35,16445
1004,17198
97,17769
8814,17977
497,2499
3512,18209
882,2051
56,8897
1913,18681
4853,18847
4602,3578
4183,19353
1004,19576
2593,20148
100,2989
10759,1112
56,14278
932,5573
1248,16661
10759,23119
7068,17195
379,19297
1004,24882
552,2507
497,9197
2004,4762
4602,11986
69,28331
1913,8591
2694,9527
1914,16604
1004,646
8148,29852
4332,29876
552,12721
113,16989
552,30111
35,9331
3512,6901
11847,11076
2341,31298
3746,6095
501,10212
281,7294
97,33405
3393,28610
98,33425
3746,33916
9598,16523
1248,29086
99,4309
69,35430
98,35864
2694,4420
971,7516
1011,30039
1248,36227
882,25565
383,31373
8366,7186
379,33031
5352,8754
2007,2006
4926,14377
2593,9929
2694,31691
1914,16233
4148,11395
486,4145
1248,12940
3745,28846
971,7360
4662,14432
2286,40614
562,11126
35,42251
1248,25111
551,33675
4853,16086
22573,39065
497,43565
2694,27085
1250,43813
3746,3747
2694,13088
8366,28147
5352,3351
5352,19585
3772,21821
68,19312
98,46198
552,46365
971,18204
476,40922
326,46804
486,43927
4662,5024
2341,37273
4332,45324
10922,21664
1633,10436
2694,15920
8222,23966
1604,34186
447,27531
11172,43181
1248,1509
35,5545
3383,23326
4662,46976
14503,25294
1248,4550
10922,8832
3567,11658
3772,16419
1807,6926
497,40167
1913,52255
113,13759
552,26513
8814,53780
4148,14380
17579,7876
421,12047
3665,38118
501,16881
2004,2471
552,17210
3567,21994
497,8958
8814,15708
476,14745
9769,7086
3746,12125
2819,20423
1248,25282
256,22654
4148,26729
2819,7054
1248,9303
2694,15816
1248,7069
1604,12266
3900,12198
6816,16696
3746,39907
57,6303
281,55205
2694,54171
35,25175
3746,5098
2007,29436
2694,32503
2593,30555
113,36059
8814,18214
3746,33284
14077,6667
8814,52859
1081,2887
1004,27949
7812,11644
932,37622
57,2856
4418,11065
62,20464
11729,33029
1248,22078
1116,24533
1248,10489
97,60848
383,19624
113,35883
1248,3203
2593,15754
3746,31207
350,4127
552,61725
971,32731
2694,13961
501,3687
98,20054
1807,3963
57,10214
2593,17236
379,378
3945,35567
4504,11436
3837,57823
3945,62582
497,15159
1284,13605
1284,23806
476,7217
4148,15465
1914,55633
4183,35508
3393,15868
882,27754
281,44182
281,10836
487,31936
2476,6755
1284,7648
4332,29957
68,57523
501,29190
3383,4622
1248,37118
3745,24468
2007,8874
4418,25797
350,23266
14503,43433
1604,23898
4297,15815
1248,40467
12839,13816
113,1703
421,19170
56,13936
4602,18384
4504,37752
2172,52413
1004,39503
1248,37768
3745,61747
4165,5092
68,32821
1913,22814
8814,6599
1284,31663
68,53292
8814,8813
69,9400
3383,26077
2004,51276
4602,23789
97,5171
2476,49897
35,33505
476,10617
486,2966
10961,32028
2593,15959
1250,32973
98,13317
98,16819
10759,1241
1250,56693
379,39740
2694,17309
421,22641
113,13377
5920,23943
98,42316
3746,14334
1248,4363
4297,69222
4662,53532
8814,70477
97,50917
87,88
551,17323
113,4200
1004,22500
3900,22199
13920,42532
97,18737
4332,22164
1914,38731
446,42932
69,5926
99,20282
10775,8559
1248,35307
1493,33911
9915,49911
383,28785
98,61608
1011,1818
1004,25163
971,46827
69,37749
68,28378
1914,21038
383,23948
326,11294
1248,13242
690,53614
113,1554
98,13051
56,2331
379,8412
3293,24776
3314,27642
17579,22543
383,61153
57,33660
379,21439
3746,6871
3293,1325
1004,6875
971,1416
4184,44453
98,39679
282,56663
68,3664
3293,18803
281,15518
1004,22432
2694,3435
486,2590
1248,15824
4184,16918
282,22263
3893,8881
4148,10750
8286,12481
497,48843
3854,32611
3383,5793
379,3102
1004,46074
4297,39580
6816,21651
4297,3958
2007,64083
22573,1766
3746,38456
1493,41062
57,55872
447,20217
383,18119
421,15897
68,10237
3746,23530
4926,29438
3746,18761
562,32551
87,12306
1248,18460
1004,1384
2244,59271
2476,11902
4602,29174
4926,66419
68,16110
3393,3667
3746,18397
1248,38355
476,39591
97,9440
1248,7310
486,9894
1248,23194
1493,30863
62,8445
281,8611
476,17155
3745,27647
3188,37991
3567,22907
4867,44648
68,60528
7068,3236
99,7827
552,21641
551,33059
14983,29535
2007,11826
392,31240
1004,22506
2286,29702
1248,14722
68,36116
113,29755
3746,9845
4184,12644
5560,21279
551,67521
