athleteplaysinleague_inv_1,athleteplaysinleague_inv_2
342,343
342,704
257,1212
1001,1678
257,2196
1001,2337
257,2371
2986,2987
1001,3043
1001,3794
342,3958
257,4309
257,4622
1001,5036
1001,5333
5986,5987
1001,6046
342,6515
257,6866
257,6901
1001,7186
1001,7310
257,2864
1001,7531
1001,7682
342,8449
1001,8497
257,2887
1001,9197
342,9555
1001,10197
1001,9693
1001,10825
257,9603
1001,1106
342,11076
1001,11133
1001,11882
257,11986
257,12306
257,11294
1001,12872
1001,1126
1001,13012
1001,13525
1001,13759
1001,12599
1001,14045
1001,11826
1001,14565
1001,14645
257,14955
1001,15111
1001,15222
1001,15465
1001,16249
257,16384
1001,16463
342,17210
5172,17339
1001,2331
1001,18235
342,8591
257,18828
1001,15824
257,19108
1001,2974
257,9622
1001,20021
1001,20161
342,10617
257,20378
257,20501
1001,20940
1001,21129
257,21134
342,21167
342,21460
1001,21562
342,21821
1001,4351
1001,5875
342,22164
1001,19585
342,22294
1001,22686
257,22868
1001,22887
604,23141
1001,23246
342,16131
342,23404
604,23483
342,16234
1001,23530
342,20762
257,4999
1001,23948
1001,7529
342,24334
342,24512
1001,24533
257,24536
1001,24582
604,24620
1001,24701
604,24771
1001,1000
257,25031
1001,20297
1001,25207
1001,25563
1001,6557
257,2966
1001,25945
257,26077
1001,26104
1001,7086
257,3796
342,26512
1001,24122
342,26620
1001,26711
1001,21726
257,2471
257,27063
1001,2856
1001,27160
1001,20322
257,27944
257,16035
1001,6007
1001,24882
1001,23195
1001,24690
1001,28733
342,28831
1001,2006
257,942
257,27754
1001,24313
604,22641
1001,18639
1001,9726
1001,30607
342,30796
342,18214
1001,30927
1001,31010
604,31293
1001,31373
1001,26401
1001,30367
1001,31703
1001,5945
1001,21411
257,31963
1001,32484
257,32604
1001,29841
257,9100
257,31936
1001,16681
342,33031
257,3759
342,16842
1001,27501
1001,31505
342,29934
1001,33870
1001,33930
342,33059
1001,29190
1001,34476
257,34477
1001,32269
1001,31390
257,17263
1001,19576
257,34882
257,35078
1001,22432
1001,4893
257,17074
1001,35307
257,33119
342,12644
1001,21260
342,27233
1001,23119
257,22687
342,19588
342,36116
1001,36222
257,20217
1001,36377
257,17424
1001,22593
1001,35106
1001,36785
342,32731
1001,8292
1001,15177
342,33675
257,10221
1001,36039
1001,37263
257,6489
342,29702
1001,28189
257,37731
342,37749
1001,37768
1001,8396
1001,8143
257,34965
1001,36996
257,38159
342,6578
1001,19624
1001,32872
1001,15306
257,4127
1001,38888
1001,39136
257,11126
342,39400
1001,39423
342,4277
5986,18109
342,39740
1001,39792
1001,14334
1001,20834
342,39968
1001,33276
257,31011
1001,40682
1001,25433
1001,40878
1001,7069
1001,41035
257,32328
342,6091
1001,16658
1001,24191
1001,41252
342,41418
604,41446
257,38467
1001,8198
1001,37932
1001,19937
604,16706
604,13138
1001,41982
1001,17229
1001,1115
257,25997
257,20708
1001,19834
1001,23966
1001,9475
1001,16721
1001,13171
342,42909
342,6929
342,43017
1001,43127
1001,43150
257,18135
1001,11106
1001,37695
342,43433
1001,43510
342,8832
1001,14437
257,453
1001,30863
604,14846
342,33179
1001,24403
604,44271
342,44325
1001,25860
1001,5347
1001,23735
1001,28771
257,27909
1001,44622
1001,39683
1001,15441
1001,44868
1001,11878
342,32821
1001,646
1001,18093
5172,17769
1001,5657
1001,10489
342,3664
1001,45860
1001,11395
257,45961
1001,5024
342,3964
342,46251
1001,22409
342,46606
1001,8445
1001,37927
342,37646
1001,12399
1001,5620
257,46967
1001,21275
1001,24518
342,47181
342,1241
257,37445
1001,7277
1001,3020
1001,32921
342,47553
1001,27984
1001,12255
342,42494
1001,40305
1001,14278
257,48089
342,23981
342,47554
604,3424
342,28390
1001,9419
1001,33651
1001,29293
1001,48714
604,23081
1001,41182
342,48880
1001,48891
1001,11502
1001,40855
1001,17627
342,25294
1001,21333
1001,22772
1001,40862
1001,46035
1001,36708
342,33505
1001,34779
342,33649
604,9032
257,49506
1001,22506
1001,27085
1001,10214
257,46074
1001,37710
257,774
342,4062
342,30074
1001,38456
1001,22078
342,17236
257,38138
342,46279
342,50483
342,50549
1001,29336
257,41499
342,44593
5172,43195
604,12047
342,1812
604,48672
604,11821
1001,50945
257,51051
1001,40467
342,2426
1001,46063
1001,1820
1001,23154
257,51537
1001,24448
1001,24929
1001,19512
1001,51974
257,28729
1001,27044
604,40193
1001,39406
257,44381
1001,5839
1001,34472
1001,14232
1001,12438
1001,15920
1001,10212
257,11988
1001,40924
257,25694
257,8881
1001,10217
1001,9028
1001,1509
1001,22319
1001,22878
1001,2352
342,23484
257,46901
342,41222
1001,46976
1001,46293
1001,16627
342,53733
1001,18687
1001,30693
1001,1842
1001,6462
1001,24072
1001,26152
342,22202
342,27647
342,54481
342,54501
604,15897
342,16989
1001,13987
342,15815
257,2051
342,54727
1001,41863
342,55083
1001,46854
342,55205
1001,45464
1001,41790
257,27040
1001,43091
257,9894
342,39082
1001,46777
1001,27425
257,42769
1001,12266
1001,36851
257,14609
342,48838
342,8290
1001,3904
