athleteplayssport_1,athleteplayssport_2
46,47
453,454
646,47
706,47
1039,47
1099,1100
1106,47
1437,47
1581,1100
2177,47
2264,1100
2296,2297
2873,47
2918,47
3351,47
3536,47
3596,47
3759,454
3980,47
4283,47
3317,47
4630,47
4663,47
4688,47
4724,47
4754,47
4893,47
5130,47
5292,47
5550,47
5631,47
5775,47
5812,47
5821,47
5915,47
5945,47
6005,47
6007,47
6489,47
6578,947
6876,47
862,1100
6979,47
7080,47
7300,454
7315,47
7316,1100
7435,1100
7502,47
7929,7930
8041,454
8412,947
8564,47
8822,1100
9328,47
9396,47
9603,454
9689,47
9746,2297
9912,47
9993,454
10221,454
10403,47
10441,47
10594,47
10640,7930
10651,947
11107,47
10095,47
11126,454
11263,454
11406,47
10056,47
3747,47
11988,454
12023,47
12036,47
12098,2297
12145,47
12255,47
12266,47
12305,47
12314,47
12360,47
12568,47
12718,47
12740,47
12803,47
4567,454
13641,47
13721,47
10214,47
14056,47
14254,47
14361,47
14365,47
14380,47
14392,7930
14463,47
14466,454
14754,47
14846,39
14847,47
14850,47
13015,47
15040,47
15523,1100
14432,47
12388,47
9319,47
15708,947
15806,47
15909,47
15949,47
15974,47
14344,47
16184,47
16275,1100
16399,47
16756,47
12158,47
16803,47
16822,47
9475,47
17129,47
17406,454
17494,47
17614,47
17848,47
17958,1100
18111,39
18119,47
18135,454
18625,47
18843,1141
5875,47
19098,454
19198,47
19222,47
19251,947
19255,1100
19305,47
1112,947
19456,47
19467,47
19512,47
19518,1100
19742,12403
19974,47
3236,454
20182,47
20246,47
20322,47
7054,47
20623,1100
18409,454
20933,47
16424,1100
21247,47
21249,47
21250,47
21292,47
21043,47
21442,47
21615,47
14267,47
21726,47
21809,1100
21837,47
21906,47
6062,47
4420,47
7966,47
22252,47
22274,47
6675,947
20907,47
22313,47
22346,47
22458,47
22647,47
22673,454
15868,47
22867,47
23154,47
23199,47
23491,47
23570,454
23632,47
23886,47
23966,47
24072,47
24099,47
24122,47
24191,47
24313,47
24353,47
24377,1100
17622,47
24446,47
1720,47
7217,947
24654,47
24665,47
24921,47
24929,47
9527,47
24986,47
25037,47
25110,47
18835,47
25448,47
25456,47
25516,47
25543,1100
25572,47
25788,454
25924,47
25931,47
11133,47
25997,47
26351,47
2869,454
26446,26447
2887,454
26752,454
26760,47
26808,47
24976,47
25860,47
26965,47
13053,47
27044,47
27049,47
27085,47
27171,47
27233,947
27344,47
22772,47
26145,47
27422,47
27483,47
27548,7930
27590,47
27777,47
942,454
27931,947
16384,454
1213,47
28151,47
28196,47
28248,47
28294,1100
26529,47
23081,39
15824,47
28694,47
2507,947
28729,454
8897,47
29091,47
29178,47
29190,47
29348,47
29373,47
29436,47
29660,47
29755,47
29859,47
27063,454
16998,1100
6599,947
30128,47
30141,47
30181,1100
30198,12403
30249,47
14437,47
30319,1100
30370,47
30375,47
30522,47
30540,47
29957,39
12940,47
30690,47
30806,47
30914,47
19496,47
16918,947
10684,47
1126,47
31222,47
31432,47
31463,47
31495,47
31498,47
24102,2297
31629,47
2856,47
31791,47
31841,1141
12990,47
31943,454
31962,47
32009,47
32145,47
32179,47
9726,47
32256,947
32399,1100
4539,47
32598,47
2208,47
32648,7930
32777,47
30072,47
125,47
31373,47
16233,947
33308,47
23490,454
33459,47
33526,47
10077,47
33660,47
3437,47
34023,454
29746,39
34186,47
8559,47
31293,39
16445,947
32921,47
34688,1100
28760,1100
2051,454
34779,47
34808,47
33870,47
4550,47
12524,39
34960,39
34965,454
34975,47
35101,47
35106,47
15034,1141
35235,47
35320,47
16002,454
35416,47
18374,47
35467,947
1115,47
22432,47
35760,47
7069,47
36042,47
36052,47
36082,47
36109,47
20378,454
2966,454
36204,47
36207,47
16658,47
36427,47
24701,47
17074,47
17566,47
36684,47
36749,2297
36824,47
36875,47
33057,47
37045,2297
37106,47
8292,47
37201,47
9197,47
37260,47
25433,47
37355,2297
37409,47
37453,47
9067,47
37620,47
37647,7930
37710,47
21839,47
37828,47
22878,47
37601,47
37874,47
