automobilemakercardealersinsta_1,automobilemakercardealersinsta_2
16,17
2402,1627
2,2366
2402,3370
6931,1627
752,3005
18372,17
910,6
4024,21728
752,243
910,17
20579,4047
5526,4047
1657,17
752,2424
3607,2079
4024,6
2402,270
7756,3370
2402,1050
3471,17
752,17
2,4047
752,978
21143,4047
910,4047
12547,4047
911,270
12454,4047
3607,3726
1657,321
2402,6
910,819
752,819
1657,4047
6215,4047
2402,866
3607,6288
5526,17
1657,866
4024,978
2,1953
18372,1568
2,270
7756,17
2,17
6794,17
7756,4047
2402,3726
1883,4047
21453,4047
21143,270
37964,1868
6794,1568
752,270
1657,1016
3607,8162
752,4047
2402,1868
4024,2349
3471,1868
4024,4047
910,3005
5113,4047
3607,17
6261,4047
752,3538
2,321
752,4089
21368,4047
1657,4299
15331,270
3607,819
6931,17
26127,4047
2402,4047
752,321
20579,1868
3471,6
2402,904
911,4047
554,4047
6794,4047
18372,4047
3471,1627
