automobilemakercardealersinsta1_1,automobilemakercardealersinsta1_2
1568,6794
270,752
1868,2402
4047,5526
978,752
904,2402
17,16
4047,6261
1568,18372
17,5526
17,7756
4047,2
1016,1657
3370,7756
243,752
3005,752
4047,752
17,6931
4047,1883
4047,7756
6288,3607
17,6794
2424,752
1868,20579
4047,26127
866,1657
17,910
3538,752
17,3607
819,752
21728,4024
270,21143
3726,2402
270,2402
6,3471
4047,18372
2079,3607
819,910
6,4024
4047,12547
1050,2402
17,752
17,1657
2366,2
4047,20579
1868,3471
4047,2402
321,752
2349,4024
1627,6931
4089,752
4047,6215
8162,3607
4047,21143
270,15331
978,4024
4047,5113
4047,910
4047,554
17,18372
1953,2
4047,6794
6,2402
17,2
4047,911
4047,12454
6,910
321,2
1868,37964
4299,1657
3726,3607
1627,2402
3370,2402
819,3607
4047,4024
4047,21368
4047,1657
1627,3471
321,1657
4047,21453
866,2402
270,911
3005,910
17,3471
270,2
