automobilemakerdealersincity_i_1,automobilemakerdealersincity_i_2
751,752
1882,1883
1936,752
917,910
5459,1883
3579,2
11527,1883
12280,3607
12471,910
3930,6931
10070,910
16337,1883
18152,1883
3483,910
8884,1883
555,6931
5790,1803
3930,5526
556,4024
19212,3607
1601,910
15246,3607
26562,910
7904,1883
9486,3607
35757,910
1877,1883
5459,752
2812,1883
7320,910
917,752
556,752
3090,37496
3563,4024
5708,1883
42,910
7057,2
5790,21453
5790,6931
31640,910
12705,1883
16337,752
14388,3607
28592,1883
42141,1883
33710,3607
751,27919
556,2402
14914,752
555,1883
556,2
6838,910
6064,3607
114,752
35115,1883
19212,1883
38897,1883
3950,752
1894,1883
235,1657
3930,3607
26562,3607
15246,910
207,1657
49271,910
556,554
44803,3607
5459,3607
74,910
7957,752
8310,1883
235,21453
235,1883
46031,910
9422,752
45540,1883
36892,4024
18419,1883
15760,910
12280,910
42,752
6064,910
3930,40934
3115,1883
8647,292
555,752
1421,1657
5790,1883
1916,1883
5080,3607
5790,2402
649,910
649,3607
8310,752
3090,752
914,1657
22141,752
3115,1657
33826,3607
1816,752
3,2
42,4024
5790,18372
7057,910
21572,1883
849,1883
29136,910
556,3607
3518,2
65031,910
1601,3607
13582,1883
1454,1883
556,5774
2760,910
7650,4024
4499,752
5459,6931
5790,5526
207,910
3820,3607
6379,1883
66513,1883
29136,1883
10928,4024
15760,3607
1421,1883
1454,752
30361,1883
556,1883
7495,1883
29136,3607
3518,1883
23989,1883
19212,910
235,752
44803,910
6698,1883
3930,752
53463,910
7057,1883
7957,2
3930,6794
207,2402
12587,910
751,1883
3820,910
23939,752
2113,752
40702,1883
71222,5774
30083,1883
1894,752
1079,1883
731,1883
23058,1883
7312,1883
42,5774
12587,3607
25017,910
9365,752
555,910
3930,4024
10890,6931
3930,2
44122,27919
10890,752
1894,2
5984,752
6838,3607
7939,1883
2802,1883
5984,20579
207,2
5984,1657
15140,910
3930,1883
33710,910
9422,554
1916,752
5790,910
556,6931
3115,752
14909,1883
17374,752
6379,2402
5790,1657
3930,1657
5459,910
46152,1883
69375,1883
48158,2
7057,752
5080,910
917,2
3483,3607
6379,752
15229,1883
914,2
7452,752
3579,1883
10528,4024
2113,1883
31615,1883
1049,2
3695,4024
9422,2
914,1883
556,1657
9422,1883
16270,752
2410,752
207,1883
9422,2402
9365,1803
10890,1883
7320,3607
29505,752
914,752
7650,752
207,752
33826,910
9486,910
1593,2
556,910
