automobilemakerdealersincountr_1,automobilemakerdealersincountr_2
6215,494
8435,1885
3607,494
6931,494
1883,1885
3607,11103
14159,977
752,494
1657,6431
554,494
12454,494
2402,494
24521,494
21285,1885
25367,1885
292,6097
20579,494
2402,1901
6261,1885
31444,1885
6794,494
5774,1885
20579,1885
911,494
4024,494
21368,977
37961,1885
37964,494
5774,494
752,977
1657,1885
24348,1885
2402,977
18372,1885
3471,494
1883,494
14159,1885
21368,494
1910,1885
5526,494
15994,494
292,1885
1657,3040
7991,614
6931,977
911,1885
3471,977
7756,1885
2402,1885
752,1885
21368,614
15994,977
57962,1885
910,1885
3471,1885
910,349
16071,1885
554,1885
21453,1885
42688,1885
21143,494
910,977
61742,1885
7991,494
17073,1885
3607,3124
6261,494
20399,494
1883,4556
5596,494
60918,4556
25367,494
5774,977
1657,2626
18372,494
67562,1885
21143,977
68434,1885
15809,1885
698,494
7756,494
21143,614
49734,901
27910,1885
7756,4556
1883,3307
7111,1885
1803,494
16071,494
15887,1885
37964,1885
68744,1885
45073,1885
910,494
1883,614
2,494
21285,494
21143,1885
12547,494
1657,977
15994,1885
15887,494
292,977
3607,1885
1883,977
2,1885
21453,494
5113,494
1803,901
2402,4556
1657,494
