awardtrophytournamentisthecham_1,awardtrophytournamentisthecham_2
3855,3856
5398,5399
3400,454
11802,3856
12195,3531
11215,348
12818,3531
13104,947
13133,5399
14489,3129
14489,454
11215,15804
16095,5399
19987,19988
2705,39
26165,454
13104,454
28940,28941
12195,947
14489,36220
35197,454
3855,28941
14489,39796
40552,19988
41147,5399
11328,947
44235,47
44502,5399
40552,5399
45356,15277
46781,5399
11215,19988
6081,1141
13104,3531
10897,947
13553,1141
14489,53695
11215,947
16095,52284
11215,454
14489,348
14489,3531
3855,1100
14489,58406
19921,5399
58672,5399
1721,47
14489,7930
60147,5399
14489,1141
14489,47038
61770,947
30000,5399
11215,28941
21251,3531
21251,13146
12195,47
12195,348
14489,47
66261,947
10897,19988
14489,32564
21251,454
13104,47
12195,454
10897,5399
69418,19988
70665,5399
11215,50991
14489,1100
31598,28941
12818,4228
11802,28941
13794,1141
14489,2598
72617,5399
14489,39
73259,947
59282,5399
68929,5399
56396,28941
41797,454
11215,5399
16095,19988
10897,47
12195,39796
19857,454
25118,454
1602,1141
10897,454
3855,5399
14489,19988
11215,1100
2340,947
47184,947
14489,947
1317,454
72040,19988
70881,947
71388,5399
11215,7930
72040,5399
11215,3856
45049,947
69418,947
