bacteriaisthecausativeagentofp_1,bacteriaisthecausativeagentofp_2
306,307
607,608
1473,1474
2487,2488
2843,2844
3843,3844
4990,2488
5037,307
3646,307
5870,5801
6899,6900
306,7053
7173,380
8100,8101
9145,2488
9457,2488
4118,4117
10427,10428
10427,11229
12090,12091
12180,10487
12692,12693
13407,2488
14508,2488
14827,2488
7173,13282
14896,14897
15138,608
15772,15773
16121,2488
16231,8101
16405,16406
17683,2488
1971,2488
18609,2488
5919,19042
19381,19382
19562,19563
6363,8101
20491,20492
21804,21805
21987,21988
22160,1474
7173,307
22540,22541
22564,22565
23729,23730
19689,23888
24031,24032
24081,24082
24297,2488
24571,2976
8100,25698
25935,11229
6722,6721
27128,27129
16231,2844
10427,27840
28957,2488
29448,29449
5919,2488
30699,23730
16094,16093
31088,31089
7173,60
31716,30680
10427,32353
32387,32388
23370,23369
11948,11947
33694,33695
33781,2488
34668,34669
34752,307
1971,3817
35221,2488
1971,35727
306,35912
306,23057
36488,29380
7173,36553
15633,2488
21987,2488
37292,3844
37354,60
7173,37460
35221,37915
24031,2488
6691,2881
10427,38113
10427,38315
24081,307
6691,2488
41402,307
41740,41741
42075,2488
7106,307
42645,42646
6581,31276
27128,43346
24161,2488
8100,38315
11714,11713
10427,33828
5870,2488
45067,45068
34311,34310
45363,45364
1971,1970
2843,2488
45794,45795
45911,26377
45991,23730
45991,46007
6691,24082
46379,46380
9457,307
24399,2488
47522,2488
5919,307
37354,307
6691,48367
24161,26377
48796,307
24031,48451
19689,49191
12180,40023
5037,2488
49825,49826
61,49962
27128,50700
13407,25173
1971,51059
42075,307
7173,36316
6691,28479
7173,2488
23729,2488
37292,49969
6722,12091
1971,34743
24031,26377
52714,2488
52880,2488
16231,19747
36575,36574
54088,16406
306,54412
29295,29294
55071,55072
14827,52419
12180,307
16231,307
47522,307
27274,2488
47642,307
56896,2488
54124,54123
57483,35970
7173,27840
1971,47141
7173,36088
19748,57975
2843,2976
50691,50690
1971,58284
30681,30680
58451,58452
19748,2488
38498,23730
59304,2488
6691,19042
24031,307
59980,59981
60232,2488
50729,60253
15633,307
24571,307
17683,307
60621,2488
25812,25811
59075,59074
34752,2488
10427,5801
61121,2488
55868,2488
47522,58097
38498,2488
7173,61837
22564,42874
19562,307
4274,2844
17683,33270
1971,41433
306,55402
5919,26377
34668,2488
61127,61126
63122,307
57144,41741
6691,5801
61377,61376
5919,28830
48363,3844
16231,2488
7106,28812
27128,29229
19562,2488
64043,2488
11028,30046
19748,64170
25935,2488
64450,64451
64650,64651
61,3844
48796,64937
50275,307
8334,8333
61362,34171
22564,65107
8100,2488
29381,29380
10427,35782
26364,26363
306,2488
47593,2488
65432,65433
1971,33270
52880,307
1971,28728
53888,2488
50729,2488
66341,22387
19689,2844
66532,23888
56271,56270
58396,1848
55493,55072
10427,2488
24081,56730
9145,42874
13407,307
38498,38497
67429,67430
18609,67093
15138,19042
10427,67592
38958,38957
38498,54230
67996,6145
21987,15560
6363,19042
47642,56270
60320,2976
24161,307
40272,307
37292,2488
58796,29449
5037,34669
68872,68873
55868,68217
22564,28728
32950,2488
306,60
10427,69161
4990,307
45911,10118
6691,2976
19748,19747
7106,7105
8100,19042
25812,2488
41980,4117
54404,2844
12180,35970
59304,307
53888,53887
12180,71086
25812,8101
6363,307
52016,2844
5919,60
1971,307
16236,16235
40272,60
7173,71689
6363,2488
70822,15560
55565,55564
36575,26363
45794,2488
24031,47716
63055,23619
9145,36008
22564,2488
61,307
60232,307
10427,608
1971,72562
45991,2488
46929,8101
27128,49826
13482,2488
10427,8101
48363,2488
19689,2488
25812,26377
66021,307
66922,66921
61,60
60232,71689
52714,23730
65592,2488
47642,2488
14827,2844
30699,68113
44678,2488
72234,72233
27274,307
27128,2488
5919,5918
62719,72030
37354,2488
10427,19563
63491,2488
41438,41437
60434,608
24031,19042
58796,74130
10427,55123
15138,307
306,20376
62719,608
10427,47698
56896,60248
10427,307
9145,65107
1971,36008
61,2844
13407,2844
10427,2881
16121,13734
10427,40234
15138,68217
15772,59517
306,23619
7106,2488
40272,27840
23729,73157
66373,8101
49747,49746
48545,48544
43977,307
10427,60
61377,2488
56097,307
6691,307
38484,38483
6581,2976
25812,307
5919,70387
38482,15773
6691,608
24081,2488
58796,73546
61,55874
7173,54720
24081,5801
61,48451
10427,3844
64043,307
50729,50728
8100,307
1971,70818
10427,36316
59075,63714
74387,74386
58396,307
33781,30046
35971,35970
25935,75136
65732,61376
40272,2488
47593,8101
75187,16093
5919,25811
10427,30046
7173,7946
10427,19042
54404,2488
12180,2488
16231,29170
52714,23619
2487,15560
6691,8101
24571,19042
1971,22565
24571,29449
1971,42874
75386,35970
5919,64937
306,27840
74763,58608
24571,2488
11028,2976
41402,2488
52714,54159
10427,10487
66021,2488
65706,50700
49462,49461
37873,2488
75318,75317
47593,307
46929,46928
61362,2488
71713,71712
48537,21805
20417,20416
11028,2488
54006,14897
75483,75484
10427,2976
44786,23619
61,2488
24571,5801
60645,54230
