bacteriaisthecausativeagentofp1_1,bacteriaisthecausativeagentofp1_2
60,61
1970,1971
307,3646
4117,4118
2844,4274
5918,5919
307,6363
2976,6581
2976,6691
6721,6722
307,61
3817,1971
7105,7106
8333,8334
380,7173
2976,11028
11713,11714
11947,11948
13282,7173
2488,13482
5801,10427
307,12180
12091,12090
307,15633
16093,16094
16235,16236
2844,19689
19747,19748
20376,306
20416,20417
2488,1971
23057,306
23369,23370
608,6691
23619,306
2488,24161
12693,12692
2488,24399
25173,13407
307,5919
25811,25812
26363,26364
26377,24031
2488,27274
28728,22564
28812,7106
28830,5919
29170,16231
29229,27128
29294,29295
29380,29381
30046,11028
27129,27128
30680,30681
31276,6581
2488,32950
11229,10427
34310,34311
34743,1971
307,9457
2976,10427
35970,35971
36088,7173
36316,10427
32353,10427
36574,36575
3844,37292
307,10427
2488,37873
10487,12180
15773,38482
38483,38484
38497,38498
6900,6899
38957,38958
2488,24297
2844,61
19042,24571
1474,22160
40023,12180
22565,1971
307,4990
35970,12180
40234,10427
2488,40272
22565,22564
307,8100
3844,61
33828,10427
41433,1971
41437,41438
4117,41980
41741,41740
2488,7173
2488,34668
60,7173
307,43977
2488,41402
2488,44678
23619,44786
307,13407
2488,11028
23730,30699
608,607
5801,24571
46928,46929
47141,1971
2488,47593
2488,47642
47698,10427
47716,24031
2488,61
2488,6691
307,24081
3844,48363
8101,46929
48451,61
21805,48537
48544,48545
307,41402
33270,17683
49461,49462
2881,10427
49746,49747
49969,37292
307,50275
46007,45991
26377,45911
50690,50691
50728,50729
2488,16121
307,16231
307,1971
2844,52016
16406,16405
2488,306
2488,19562
52419,14827
2488,37292
53887,53888
14897,54006
54123,54124
54159,52714
33695,33694
2488,9457
2488,54404
54720,7173
307,47522
51059,1971
2488,24031
55123,10427
54230,38498
55402,306
10118,45911
55072,55493
55564,55565
19563,10427
2488,55868
25811,5919
307,56097
56270,56271
56730,24081
2488,18609
41741,57144
2488,28957
29449,24571
12091,6722
26363,36575
22541,22540
60,5919
58097,47522
42874,1971
1848,58396
2488,19748
48451,24031
29449,58796
29449,29448
2488,19689
59074,59075
15773,15772
35782,10427
59517,15772
7946,7173
2976,2843
60248,56896
2976,60320
608,60434
19042,10427
2488,52714
54230,60645
27840,10427
2488,38498
61126,61127
2488,61362
61376,61377
32388,32387
38113,10427
34669,34668
2488,17683
2844,54404
19042,24031
2844,13407
8101,8100
2488,15633
35912,306
608,62719
2488,35221
3844,10427
23619,52714
23619,63055
30046,10427
2488,63491
3844,3843
63714,59075
8101,25812
2488,6363
2488,53888
8101,6363
307,24161
2488,22564
307,27274
35727,1971
2488,5919
8101,6691
2488,65592
2488,5870
50700,65706
2488,5037
61376,65732
307,66021
50700,27128
16406,54088
20492,20491
29380,36488
46380,46379
2488,2487
8101,66373
33270,1971
56270,47642
43346,27128
60253,50729
2488,25812
45364,45363
66921,66922
67093,18609
42874,9145
64937,5919
58452,58451
10487,10427
2488,9145
19042,6691
2488,27128
23730,45991
54412,306
24082,24081
27840,40272
68113,30699
307,34752
68217,15138
13734,16121
15560,2487
2488,50729
27840,7173
307,24571
2881,6691
19042,5919
64651,64650
307,6691
2488,24571
60,40272
2488,14827
5801,6691
23888,66532
23730,52714
2488,56896
68217,55868
2488,23729
307,24031
307,37354
307,7106
70387,5919
21805,21804
26377,25812
2488,25935
307,17683
2844,14827
25698,8100
70818,1971
15560,70822
5801,5870
307,7173
2488,12180
36553,7173
2488,2843
49191,19689
71689,7173
71712,71713
37460,7173
67592,10427
27840,306
36316,7173
307,40272
2976,24571
72030,62719
2488,60621
2488,37354
307,63122
72233,72234
8101,47593
38315,8100
58284,1971
48367,6691
28479,6691
23730,23729
65107,22564
60,10427
49826,49825
2488,61121
45068,45067
19382,19381
60,306
8101,10427
2488,45794
307,48796
49962,61
31089,31088
73157,23729
71086,12180
2488,13407
307,19562
73546,58796
307,58396
72562,1971
69161,10427
2488,4990
2488,42075
2844,16231
28728,1971
2488,34752
23730,38498
2488,33781
307,64043
55072,55071
23888,19689
61837,7173
36008,9145
2488,60232
2844,2843
35970,57483
30046,33781
2488,61377
307,60232
57975,19748
74386,74387
10428,10427
21988,21987
59981,59980
65107,9145
2488,14508
74130,58796
608,15138
307,47642
307,5037
7053,306
58608,74763
19747,16231
42646,42645
2488,7106
307,47593
19042,6363
19042,8100
2488,24081
2488,52880
38315,10427
2488,47522
68873,68872
45795,45794
307,52880
2488,8100
8101,16231
6145,67996
64451,64450
65433,65432
64170,19748
60,37354
2488,48363
67430,67429
37915,35221
2488,59304
307,306
11229,25935
14897,14896
34171,61362
24032,24031
75317,75318
2488,64043
2488,16231
36008,1971
26377,5919
34669,5037
307,15138
307,42075
19042,15138
75136,25935
64937,48796
2488,21987
22387,66341
16093,75187
2488,10427
5801,24081
42874,22564
26377,24161
307,25812
30680,31716
24082,6691
19563,19562
1474,1473
608,10427
35970,75386
2488,45991
2488,66021
49826,27128
71689,60232
55874,61
307,59304
15560,21987
75484,75483
