bankbankincountry_1,bankbankincountry_2
493,494
699,700
138,724
1189,2626
2960,700
138,3040
138,3501
2627,843
842,700
493,901
7530,116
7733,700
138,4915
9841,700
138,13037
138,787
13509,116
6500,116
13795,843
493,9393
5370,614
14691,843
138,494
138,442
15745,700
138,116
493,3040
16889,700
5585,494
493,7679
138,1188
138,3124
18229,1885
10222,700
138,7660
138,19288
19739,2626
138,9979
20194,1885
138,3797
493,1885
138,3832
138,7836
138,22782
2787,614
842,614
13231,13099
138,8473
24300,700
24321,8459
138,2342
24744,700
19962,843
138,5646
4429,700
138,2288
842,116
138,15152
27070,614
493,13305
28162,2626
1189,9390
138,1884
138,1062
13231,5010
1189,7473
138,22385
10282,1885
31387,700
1189,295
2627,1256
138,33742
13231,116
493,6432
10578,614
493,9390
138,14350
138,14110
5585,90
10008,465
138,154
138,10172
1840,494
138,9393
138,3348
32805,700
39885,700
138,1158
20661,3078
40784,494
36879,700
138,25107
138,13980
842,843
2627,8459
2627,614
13231,843
138,17758
1189,700
44073,700
38979,700
44432,700
1189,17523
1189,4133
44864,116
16915,700
45890,700
45209,700
10578,1885
138,2204
2627,1884
47837,1885
48371,700
48585,6431
11276,1256
13231,3307
49024,700
138,35911
37113,700
31287,700
24463,8459
13231,1256
10008,20746
40382,700
138,21197
2627,11628
1189,6044
138,17850
42116,700
138,1824
51738,614
44173,843
41807,700
13231,8459
13231,494
53115,700
138,5995
138,636
138,1817
1583,614
20283,3040
13231,13230
138,17625
138,9080
5585,1098
23039,700
138,1885
493,17850
138,1157
138,10895
20729,901
24561,116
493,6044
1189,4915
138,12369
138,1320
5585,977
138,11665
138,43448
24463,2626
57120,700
1189,349
33494,700
138,2401
57556,2626
13231,3078
138,465
138,17461
138,908
5585,2626
20987,700
58149,700
138,5593
138,7628
138,4736
138,5505
2627,13099
138,6432
138,40342
25317,116
138,16675
842,494
493,1062
9749,700
44559,614
45638,700
13552,2626
138,14069
1189,901
493,987
138,37443
842,103
23688,116
30931,2626
24561,349
138,10523
2627,245
493,349
138,657
2627,23402
138,19991
44239,700
493,2129
138,3982
138,2626
138,11628
13231,13980
63213,772
2627,901
54788,700
138,10296
10008,2626
138,703
138,23990
138,137
20448,700
138,678
48252,700
138,245
493,20746
2787,1885
493,2626
138,33013
138,843
33832,700
34724,700
23688,13099
23688,1885
15035,494
138,15880
138,5043
52562,700
6789,700
138,5501
66816,9393
493,1811
842,5010
10800,700
11276,494
15083,614
138,989
44571,494
10282,614
31664,700
43104,901
138,6069
138,3062
13231,2701
57128,1901
493,13980
68458,2626
138,1321
138,26366
41455,700
32106,6431
6500,494
37450,901
138,13099
138,18879
25291,700
28130,494
32106,9979
138,15355
47943,700
138,13230
138,17523
493,4133
842,1885
13231,5995
10023,700
56841,700
138,614
44173,116
2627,13230
13231,2723
2627,494
4397,614
33809,700
70948,901
138,2701
69801,700
493,12015
8304,700
4584,700
71316,5995
138,1059
1189,9393
138,21925
138,1256
63448,494
70853,901
11276,13099
842,13434
52724,700
71734,2701
138,12194
2627,2626
34724,5995
138,43467
13597,614
1189,772
2787,700
50300,700
138,700
138,9767
138,4597
138,2216
34377,52449
40509,700
39662,700
11276,843
138,27083
1189,3019
138,4556
493,1059
138,9274
138,128
1189,1188
38929,4133
8436,642
138,2723
13231,3040
66663,700
2627,3797
138,309
138,901
138,6097
138,20204
8303,700
1189,3078
10008,8459
5585,614
55439,9390
49167,8459
138,15627
8928,614
39329,494
493,13099
493,14018
493,4884
138,20515
74087,6044
59732,700
2627,116
2627,2701
138,9
1189,1885
493,9080
4931,700
138,44026
138,8459
73654,2701
138,8036
138,972
7974,700
138,319
8077,614
138,22130
5475,13434
138,6437
42916,700
138,987
20283,7473
2787,494
138,6044
138,13305
138,6431
493,912
138,53547
13231,3797
138,6071
902,901
493,3019
1189,3040
138,4884
11276,2701
138,349
51629,700
138,11663
138,19665
493,700
138,8027
138,23402
493,116
31411,700
2627,2723
138,17726
138,295
13231,13305
50291,700
59544,700
57194,700
138,642
10008,6431
138,772
138,127
138,8749
23688,5010
138,10940
138,3811
36699,700
13231,614
11276,13230
138,13569
34377,700
54788,52449
11276,116
138,891
138,13865
493,7473
138,3273
35573,614
62307,700
138,12277
18229,614
493,295
138,2129
138,8554
42836,700
10008,9979
2627,3124
21883,614
56585,700
138,6614
138,5752
20806,700
493,977
15412,700
