bankbankincountry_inv_1,bankbankincountry_inv_2
137,138
1188,1189
2626,2627
128,138
5010,842
2216,138
4597,138
700,8303
465,10008
700,10023
700,10222
3501,138
700,10800
116,11276
2288,138
700,2787
724,138
13230,13231
901,1189
2626,13552
1256,11276
494,15035
349,493
295,1189
843,842
17726,138
3019,1189
116,493
12369,138
3078,1189
614,5370
116,2627
18879,138
3040,20283
901,20729
20204,138
700,20806
972,138
7473,20283
2723,13231
3797,138
1824,138
116,13509
7836,138
13099,23688
8459,24463
614,4397
21925,138
23402,138
19288,138
700,23039
2701,2627
494,28130
843,11276
13230,2627
127,138
700,9841
614,10578
2626,30931
1885,10282
8036,138
20746,493
6431,32106
8459,138
614,18229
843,138
700,32805
494,5585
13099,11276
15880,138
1885,2787
309,138
614,35573
116,13231
8459,13231
3124,2627
700,36879
2626,19739
700,37113
1062,493
23990,138
11663,138
614,21883
319,138
6432,138
13037,138
494,39329
2626,24463
4556,138
1062,138
614,842
700,40382
3078,13231
700,36699
20746,10008
700,42836
9393,1189
2401,138
43467,138
14018,493
5043,138
12194,138
26366,138
15152,138
2626,138
6614,138
614,44559
494,44571
4884,138
8459,10008
23402,2627
494,1840
642,138
349,1189
5995,13231
6432,493
349,24561
9390,1189
700,6789
700,24300
3797,2627
13865,138
700,47943
700,40509
901,43104
5752,138
13980,138
13230,138
10172,138
3124,138
245,2627
4915,138
1256,138
987,493
977,493
1188,138
13305,13231
17850,493
1885,23688
614,5585
772,1189
19665,138
3019,493
494,2787
700,51629
13230,11276
15627,138
13305,138
17758,138
5501,138
52449,34377
2626,28162
3040,13231
27083,138
912,493
700,33832
1158,138
1885,138
13099,2627
53547,138
700,34724
22782,138
116,25317
52449,54788
700,44239
7473,493
700,138
6044,493
636,138
700,2960
614,10282
295,138
843,14691
614,8077
843,13795
700,56585
25107,138
10895,138
9390,55439
901,138
700,33809
154,138
700,16915
1256,2627
8554,138
6431,138
494,40784
614,138
700,58149
9080,493
700,41455
2626,5585
1098,5585
700,42916
700,48371
13099,493
700,48252
700,45890
14069,138
2723,2627
1901,57128
700,15412
8473,138
614,51738
700,39662
700,39885
3040,493
8027,138
13099,138
700,24744
901,2627
700,31411
5995,138
700,31664
3307,13231
6431,10008
901,37450
442,138
116,6500
6071,138
90,5585
772,63213
7628,138
700,56841
614,8928
3982,138
1884,2627
494,842
9979,32106
700,16889
891,138
3348,138
6069,138
3078,20661
700,20987
8459,24321
5593,138
700,9749
13980,13231
5505,138
116,44173
843,2627
40342,138
1059,493
614,15083
700,842
5010,13231
1321,138
700,62307
700,45638
494,13231
700,38979
614,27070
2204,138
700,45209
9,138
494,138
843,19962
14350,138
700,493
614,1583
8459,2627
2701,11276
1885,493
700,4429
700,7974
642,8436
1885,20194
7679,493
37443,138
700,54788
614,13231
2701,138
700,49024
1811,493
700,1189
700,20448
116,24561
3062,138
2626,57556
9393,493
10296,138
700,50300
4915,1189
700,8304
700,7733
7660,138
9979,10008
4884,493
17523,138
17625,138
614,2787
494,6500
245,138
12277,138
4133,493
116,138
6044,1189
13434,5475
1885,10578
908,138
4133,1189
989,138
15355,138
1320,138
2626,68458
2701,71734
700,50291
843,44173
494,2627
657,138
13569,138
8459,49167
700,15745
700,33494
1059,138
9393,66816
5646,138
1885,47837
494,11276
13980,493
700,4931
843,13231
6431,48585
465,138
700,57120
700,31287
3040,1189
4736,138
700,44432
9979,138
35911,138
1885,842
901,70948
2129,493
9393,138
17850,138
21197,138
20515,138
700,41807
9274,138
703,138
2342,138
116,7530
700,57194
9080,138
3040,138
2701,73654
8749,138
349,138
977,5585
1884,138
7473,1189
10940,138
10523,138
1256,13231
901,902
13305,493
295,493
43448,138
2626,1189
700,44073
700,59544
103,842
17461,138
494,63448
4133,38929
901,493
700,52724
700,31387
1817,138
6437,138
11665,138
44026,138
13434,842
22385,138
1885,18229
116,44864
700,42116
6097,138
2723,138
16675,138
116,842
700,25291
494,493
901,70853
987,138
11628,138
17523,1189
700,34377
9390,493
33742,138
2129,138
5995,71316
1157,138
2626,493
700,53115
700,69801
787,138
19991,138
3797,13231
13099,13231
678,138
700,4584
9767,138
5010,23688
614,2627
1885,1189
700,59732
3832,138
614,13597
2626,10008
12015,493
6044,138
772,138
5995,34724
700,699
3273,138
11628,2627
22130,138
6044,74087
3811,138
14110,138
700,52562
2701,13231
700,66663
33013,138
116,23688
