bankboughtbank_1,bankboughtbank_2
138,4429
138,11447
138,20448
138,20661
13597,15082
21883,17199
138,902
138,23039
138,25291
138,31664
138,33832
138,24300
138,9749
138,38979
138,16915
138,40509
40725,40067
138,43104
138,44239
138,45209
138,44432
13597,46437
138,48252
138,36699
138,9949
138,4584
138,50291
138,50300
44559,51041
44559,1189
138,45890
138,52562
138,7733
138,8303
138,53115
138,699
138,55439
138,33809
138,56841
138,24744
138,42916
138,52724
138,59472
138,39329
56975,56974
138,10800
138,31411
138,31387
138,33494
138,47943
138,15745
138,57194
138,2960
138,37113
138,32805
138,47837
138,37450
138,42836
138,19451
138,49024
138,66663
64091,44507
138,31287
138,17592
138,5475
138,57120
138,69801
138,46525
138,62307
138,6789
138,16889
138,15412
138,842
138,15035
138,40729
10578,57128
138,44073
138,38929
138,36879
138,59732
138,56585
138,10023
4690,33835
44559,5370
64431,64430
138,21801
138,51629
138,42116
138,59544
138,58149
138,20729
138,70853
44173,44172
20661,34724
138,41455
138,40382
39434,39433
138,74873
138,39885
138,2787
2787,15226
138,20806
138,4931
5370,75344
138,39662
138,48852
138,48371
138,10222
138,41807
138,9841
138,20987
5047,1583
138,8304
