beveragecontainsprotein_1,beveragecontainsprotein_2
1199,1200
3872,5412
1956,8662
1353,9049
9219,1828
1353,11860
1353,19414
1353,5412
25227,25228
27342,1828
32832,1828
22658,33730
1353,34286
2885,1828
36051,1828
37820,1828
12845,1828
1353,38915
1956,2603
1353,39903
94,1828
9056,1828
1353,1828
1353,46536
31934,1828
2604,47982
36728,1828
23512,1828
42044,1828
49596,1828
25227,1828
1353,51483
1353,51777
25227,52692
54183,1828
12781,1828
2604,24588
52502,1828
51021,1828
9806,1828
2604,14568
2604,58948
38509,1828
2604,62794
25227,51756
21174,1828
60321,1828
232,1828
21482,1828
16959,1828
24559,2603
14526,1828
1353,3998
1353,13475
2604,2603
1353,70059
50854,1828
11635,1828
24241,1828
57983,1828
71215,1828
1154,71661
3872,3871
1829,1828
30553,1828
1154,1828
1353,3871
1353,61835
6287,38915
1353,69339
25227,57847
6470,1828
2392,1828
2604,3871
1353,73526
11635,2603
25227,38915
1353,75171
1353,47384
13546,38915
17608,1828
1353,60014
1353,63541
56380,1828
2604,5412
244,1828
