bodypartcontainsbodypart_inv_1,bodypartcontainsbodypart_inv_2
18,19
117,118
184,118
118,384
654,753
857,858
118,1362
118,1398
1725,1726
2742,2743
2770,1403
2807,2808
3022,1365
118,3153
3181,3182
3248,118
5004,2808
5265,118
5336,5337
5607,1450
5832,2743
5892,3445
1450,6090
654,6671
1450,6673
384,2742
118,7145
7586,3732
2742,3182
8517,2742
5336,9124
9182,118
1725,1365
3444,9950
118,10093
10252,10253
10984,3182
11464,3444
11535,1365
11648,1365
384,118
3732,11812
12052,2808
10911,3732
857,11535
12509,12510
12582,118
12799,2742
3444,13105
13659,3732
14228,118
1450,2316
118,14320
14389,118
5607,14814
118,12763
15445,2808
12074,3445
16372,118
1450,16407
16591,2742
16707,4012
14917,118
118,17429
14320,17433
118,17529
10911,5084
654,2532
10911,17859
118,18058
2742,18859
857,18885
118,19012
10984,5892
18058,118
11274,4012
11649,2808
753,5892
3732,20240
20290,118
857,20299
118,20540
14320,2742
14167,5892
1450,17126
118,21598
21868,118
22014,118
22260,1450
118,20299
22494,2742
118,11812
22681,118
118,22933
1450,5832
10911,23064
118,23117
1365,5429
23314,118
118,23507
23706,1365
654,2656
11830,7145
18859,12510
2742,2808
24398,3732
1402,3732
1365,24719
24979,2742
118,25251
14168,14167
1450,8517
1365,26055
18276,118
26319,118
26386,1365
5042,8517
2656,2655
27047,118
118,2468
753,24719
27217,11178
5336,2742
1365,27498
24447,2808
27889,3732
28038,118
654,19357
28311,2808
28435,118
14034,2808
5042,12510
1725,28790
654,28818
27217,11177
28952,3732
22681,2742
1450,5336
29455,118
11830,2808
26155,118
1906,118
118,29848
22933,118
1365,3181
118,30044
1402,5336
24979,118
654,17126
7574,5042
857,30706
30751,2808
30791,2742
5892,30895
118,30976
27047,2808
25750,118
1556,18859
31400,118
5892,31445
5336,31494
1725,3445
118,12510
31851,3732
118,20316
3182,31445
118,31986
32022,2808
118,32032
5336,5832
32180,118
18058,2742
2506,2742
118,21973
32820,2742
2532,4636
6767,6766
5336,1365
118,18844
33288,2808
33374,2808
118,33381
857,11177
15168,2808
27498,118
654,3248
118,33872
16372,2808
118,16591
28790,2742
7574,2808
654,5084
118,34205
118,12799
19173,5042
1725,13090
11274,2808
34452,2742
34523,118
654,7145
118,23697
1402,10020
16511,2742
34949,118
3445,14167
3732,18859
857,17126
2742,118
2742,28818
35471,118
19836,118
35509,1365
5336,28038
32941,118
5084,118
10462,118
35073,118
36038,118
36191,11177
36038,2742
5892,12582
3732,27047
36395,35149
36529,118
36614,2742
34941,1365
37265,5084
1450,37281
14167,37580
37597,5042
30703,3182
7574,118
37804,3732
5607,5429
11787,3732
7185,118
5607,23064
25646,12510
38089,5042
30895,118
2316,1365
38185,3732
3445,38191
654,5258
5892,38185
118,28435
32608,2808
11274,2655
20299,14167
38686,118
1450,38757
2742,3445
28168,11178
18666,3445
39260,2808
1450,5042
654,7362
37715,5892
34941,2808
35149,11177
