buildingfeaturemadefrombuildin1_1,buildingfeaturemadefrombuildin1_2
743,744
2954,2955
5669,5670
6996,3363
4479,11020
2954,71
4479,16294
2954,16539
743,71
743,17992
17852,11167
2954,20711
2954,21219
25671,25672
4479,22899
25671,11167
2954,28834
2954,28924
29026,71
30063,2940
25671,71
2954,30721
2954,33679
34330,71
34642,34643
30063,3363
29750,71
25671,19639
2954,17368
25671,37295
2954,37983
28777,2940
17852,2940
30063,11167
28777,3363
2954,42404
743,3363
42863,3363
2954,43172
4479,11167
2954,29741
2954,44159
34029,11167
17852,45182
2954,25672
2954,47622
2954,25793
2954,49083
45193,71
2954,49533
6996,71
2954,21989
50688,3363
7968,11167
743,11167
43336,2940
2954,52345
2954,53214
53279,71
4479,19639
54265,11167
4479,54492
2954,54948
2954,54967
2954,2940
56333,71
18558,71
2954,15647
43336,71
25671,3363
25671,59029
2954,35042
6996,46429
56333,3363
2954,3363
39341,71
45193,3363
29026,25672
7968,16294
17852,71
21891,21890
2954,62907
25671,62198
743,28348
743,50186
30063,19639
2954,63758
25671,16294
39341,3363
45193,11167
2954,47560
4479,2940
2954,64062
2954,17992
2954,66007
50688,2940
2954,5670
54265,71
4479,21890
61360,58336
2954,67355
67629,16294
18558,55655
42379,58336
2954,45182
7968,54492
36275,3363
2954,60206
18558,68727
2954,68833
17852,25918
11168,11167
2954,21890
43336,11167
2954,22899
43336,37295
29750,58336
4479,46429
61360,71
2954,67451
21891,11167
2954,64993
31036,3363
2954,16820
34029,71
2954,70746
2954,71123
4479,3363
43336,3363
45193,2940
2954,44581
4479,29741
17852,66857
2954,42529
2954,11167
61948,47560
57617,57616
2954,58336
18558,18557
2954,54492
4479,72514
743,37295
61948,58336
34330,3363
18558,3363
17852,54948
743,2940
2954,67182
48907,3363
4479,37295
2954,53575
30063,71
43336,16294
33909,3363
43336,43335
18558,11167
50688,71
7968,72514
2954,29657
2954,74126
18458,71
2954,50720
2954,744
7968,71
34330,2940
74623,11167
4479,67164
2954,28348
21891,52345
2954,66364
2954,71891
42379,54492
25671,58544
2954,57924
2954,16294
42379,47560
17852,3363
4479,4478
55480,55479
25671,66633
2954,58203
2954,73493
4479,58336
50688,11167
18558,62685
2954,66633
56333,58336
2954,47057
29026,3363
2954,74092
45193,19639
61360,37295
17852,25672
2954,72977
743,67892
2954,42681
50688,54492
29026,52345
2954,25918
4479,44581
