citycapitalofcountry_1,citycapitalofcountry_2
5500,5501
6734,2342
8261,8262
3148,972
9895,1237
5647,5646
10266,678
6837,5593
3833,3706
17839,703
17849,17850
9768,9767
3737,8943
1405,11561
4880,7394
21561,4597
22740,657
1399,2701
25845,1901
26365,26366
25576,9080
5896,103
33107,33108
33418,33419
21198,21197
36126,15216
37208,35911
24092,13014
10241,11834
40338,13434
7862,17726
17089,154
40077,6323
299,5010
8614,724
37643,12164
45062,9840
34060,2288
7072,6431
7921,127
14116,10895
47735,30250
47963,47964
9523,5889
48775,3804
49209,35773
1744,9239
20421,13305
48800,17664
34860,5043
51327,2626
12580,17625
9500,4884
19664,19665
39172,21061
46980,1320
52371,52372
50392,39132
479,349
24415,18879
9133,3975
250,26964
56149,13037
21147,21146
19886,19885
52089,23990
47513,90
57088,54543
22650,4133
21924,21925
1134,3307
38440,14110
42599,1158
10986,11665
5753,5752
60598,1061
18804,16992
51913,128
19618,38232
6938,13569
2080,6071
4265,4264
6939,10982
64026,8075
12573,7679
9480,17523
39567,3161
10414,33742
14441,13865
14766,137
20350,9302
62791,4736
21585,21584
39607,319
46596,22385
29896,17792
7480,4915
33085,2204
36402,28756
4833,8027
4316,16976
33529,19288
21012,33013
61286,787
65618,17758
14580,15627
36123,36122
685,15355
5228,82
50904,35072
70840,9
38369,19400
2036,8749
53326,27782
14496,14495
70237,68063
44058,1817
4983,89
19932,6044
68503,46527
36833,843
70117,3348
27568,6614
43137,11959
12443,8459
22839,50163
42899,41115
3579,1098
4723,3040
64669,10940
30273,1811
21301,2335
65779,44722
18343,24897
66178,15152
62457,25107
14805,14806
19416,7628
69095,6097
8394,8554
8592,6432
63823,10523
22118,987
27003,12194
46249,5705
44481,22761
32947,27083
9980,9979
183,5246
14566,11663
7579,7271
62603,18682
52150,465
54011,4556
73223,24473
63692,700
1668,7836
56175,10172
61064,10089
29592,772
55686,14069
40998,1157
59869,234
4007,1884
63014,31564
54941,5922
7220,494
21931,14132
70120,16675
9015,1062
