citycapitalofcountry_inv_1,citycapitalofcountry_inv_2
4264,4265
5246,183
5646,5647
5752,5753
9767,9768
11834,10241
15627,14580
19885,19886
154,17089
82,5228
127,7921
21146,21147
2335,21301
657,22740
21584,21585
5010,299
137,14766
772,29592
13865,14441
3040,4723
19288,33529
3706,3833
36122,36123
17792,29896
33013,21012
843,36833
12164,37643
14495,14496
38232,19618
2204,33085
4597,21561
21061,39172
19665,19664
41115,42899
22761,44481
703,17839
13305,20421
22385,46596
19400,38369
6432,8592
9239,1744
17664,48800
39132,50392
26964,250
103,5896
35072,50904
4884,9500
724,8614
8027,4833
128,51913
13434,40338
7271,7579
4556,54011
47964,47963
11561,1405
10895,14116
14069,55686
10172,56175
27083,32947
6071,2080
6614,27568
2288,34060
7836,1668
678,10266
8554,8394
319,39607
14110,38440
8749,2036
349,479
10089,61064
54543,57088
787,61286
1061,60598
21925,21924
3161,39567
31564,63014
4915,7480
17850,17849
21197,21198
700,63692
10523,63823
14806,14805
17523,9480
10940,64669
26366,26365
11665,10986
8262,8261
1320,46980
1157,40998
465,52150
33108,33107
11663,14566
52372,52371
46527,68503
6097,69095
6431,7072
50163,22839
17625,12580
15355,685
1098,3579
6044,19932
16675,70120
68063,70237
5593,6837
16992,18804
16976,4316
494,7220
5501,5500
44722,65779
90,47513
3975,9133
15152,66178
10982,6939
9840,45062
17726,7862
8459,12443
11959,43137
33419,33418
14132,21931
1901,25845
13037,56149
4736,62791
1158,42599
18879,24415
1237,9895
7628,19416
24473,73223
2701,1399
1811,30273
18682,62603
9080,25576
9302,20350
24897,18343
25107,62457
4133,22650
7679,12573
6323,40077
30250,47735
5922,54941
5889,9523
2342,6734
8075,64026
35911,37208
9979,9980
17758,65618
15216,36126
33742,10414
13014,24092
1062,9015
35773,49209
972,3148
987,22118
234,59869
1817,44058
3348,70117
9,70840
89,4983
8943,3737
13569,6938
5705,46249
28756,36402
3804,48775
2626,51327
7394,4880
1884,4007
23990,52089
5043,34860
3307,1134
27782,53326
12194,27003
