cityliesonriver_1,cityliesonriver_2
694,695
1124,1125
1387,1388
1490,1491
1505,1506
2155,2156
2185,1388
2607,2608
2792,2793
2949,2950
3569,3570
3610,3611
3660,3661
3767,3768
3790,1388
4161,4162
4272,4273
4528,4529
5127,5128
5148,5149
4978,5210
5228,2156
5235,5236
5564,1388
6017,6018
6406,6407
414,6436
6496,6497
250,6694
7107,7108
7603,7604
7862,1388
8045,8046
8215,8216
8446,2156
8531,6791
3105,2156
8746,8299
1124,8765
8864,8865
9213,9214
10032,10033
751,1491
10266,10267
10367,10368
10638,10639
10779,10780
10986,10987
11265,313
2514,2156
7906,11493
11551,11552
11856,5128
11940,11941
3204,1388
1816,12428
9900,12490
12645,313
1302,2156
12870,12871
10641,6594
6698,13058
341,13074
13100,1491
7208,13119
3695,2156
914,2156
1668,5231
13948,1491
14043,14044
408,14554
1744,14772
14837,4100
14909,14910
5121,15199
15735,15736
16046,16047
3742,16280
16440,10780
16541,16542
16651,7604
16772,16773
6386,16047
17582,17583
4575,17686
17790,17791
18216,14910
18472,18473
18700,18701
18804,2071
14388,1125
19208,19209
4880,4366
914,19299
2605,2156
3695,1388
19733,6791
11551,313
20203,1388
16270,2908
8240,7249
20742,20743
20781,20782
74,2608
21477,304
21499,21500
20616,4366
528,21622
11551,21630
21665,21666
21683,21684
10582,10581
22004,22005
1049,2908
22475,1491
22578,22579
815,22631
11095,3768
4340,4339
23608,1388
6936,23628
16772,304
21392,23921
8047,5149
24529,9006
3782,24752
24677,4100
25009,25010
25402,12490
25559,25560
25623,19504
25774,1388
25802,18090
25744,25743
17582,26039
4060,9006
26171,8137
26193,1491
26221,1388
26237,26238
2839,4366
1454,2156
26563,1491
4826,26568
1131,6791
26782,26783
15365,4067
27263,27264
27280,15621
815,5210
27347,2793
27378,1388
27412,8046
74,27419
27499,27500
2935,20782
5718,1491
2050,1388
18075,18074
24510,10987
2965,10694
24714,1491
2953,14554
9500,2156
14704,14044
1646,28620
28821,1388
15595,1388
6386,4273
10032,29044
9422,2156
29116,1388
133,29254
29275,29276
2078,1491
29389,29390
29397,16465
29465,16465
250,29606
20781,29646
27266,27265
2965,29822
5127,19299
3189,304
7957,7956
30398,30399
30465,30466
30479,30480
30583,13119
30968,30969
31051,2793
7220,1491
4310,31171
31251,3597
1399,31266
5121,31345
3026,21232
31633,5128
1706,1491
31798,31799
24109,3611
27780,19504
17268,31985
16370,4100
114,2156
14442,4366
15526,32359
32424,25761
30273,32447
32535,5230
32558,2156
32706,23663
6595,6594
19009,9006
14289,2793
32818,20743
33192,22677
6330,18074
33293,18660
8047,26783
114,33428
5759,4366
3695,23921
29762,1388
1894,33585
6379,2156
22351,7249
33779,10694
2078,7604
29690,4273
207,33917
6441,1491
33962,1491
34248,34249
74,29254
34506,23663
21692,21691
34602,34603
15285,34647
16645,15253
31418,34695
34797,1388
35052,4366
1387,35127
21012,11513
35353,32359
17856,17855
5896,35507
35511,33754
24352,10780
7135,1388
2307,20677
930,8765
35840,9006
35978,9006
17284,9204
36288,4100
36297,1491
2780,15253
1668,3611
36381,3611
36403,36404
36440,24060
36658,36659
8047,36710
16705,1506
3115,7249
36835,36836
4325,36849
528,36989
6325,31857
3639,3638
649,37218
37431,31345
9170,3570
34284,34283
36673,10694
13310,37976
38015,313
17351,1388
38199,25010
30486,19484
15140,7249
3742,38259
38415,38416
38480,15621
17304,12871
36698,38648
2607,4366
39308,6497
353,6603
39620,8046
3869,1388
31504,39785
31458,313
19191,38416
40003,40004
3897,40145
10032,6594
29474,2608
36356,31266
207,2156
74,10694
3988,1491
