citylocatedincountry_1,citylocatedincountry_2
1893,349
4684,2626
6096,6097
6674,3307
6936,4556
7480,4915
7891,6097
5911,8473
9015,1062
9430,1062
8614,724
5647,5646
10539,1237
7939,977
12769,2723
12873,843
13312,3307
13391,5593
13464,116
13568,13569
13590,6044
14635,4556
8215,116
14805,14806
14879,349
15442,4556
16041,3307
17177,4556
12580,17625
17633,642
14580,15627
19396,3975
2605,901
19664,19665
19888,5501
3883,2723
9523,5889
4880,494
21300,349
21470,9393
18184,4556
21914,4556
21924,21925
17455,3307
22650,4133
22699,787
17893,8075
7208,6431
23942,2723
27023,1061
23207,2701
7072,6431
12612,4556
3833,4915
28391,103
24092,13014
28437,3307
28528,28529
1744,9239
29124,349
29200,6044
3222,3797
31561,6097
24415,18879
31911,103
31918,642
32433,5995
2289,2288
33085,2204
11187,127
74,90
33963,9979
34060,2288
34457,901
34721,103
35216,787
27003,12194
22253,8459
36290,8473
19506,3307
19932,6044
37382,3797
37406,5501
38034,3040
38397,349
38573,5995
38740,5995
38982,349
39016,245
39172,21061
17232,6097
39567,3161
40077,6323
40166,1901
40303,1061
40810,5995
19208,295
41940,6044
24769,245
6734,2342
6939,10982
43137,11959
43155,2723
43486,2723
43521,8459
43538,2701
43602,1320
43635,11628
43863,4556
6715,103
31195,4597
44058,1817
611,642
44654,116
2760,977
27650,8459
6837,5593
32947,27083
45976,1188
46142,3078
44923,103
19618,19617
46780,6097
46846,9080
1668,7836
8091,977
16411,494
41695,3307
9500,127
47323,1901
31113,154
47474,2723
3488,977
21198,21197
48060,8459
29275,11628
48478,9767
48609,442
49054,5501
49144,2342
10266,678
2662,494
19355,2723
1916,977
16772,908
25766,8554
50038,5995
9889,17523
50198,1901
12573,7679
35919,13099
48775,3804
565,494
50616,2723
36368,1688
50769,5501
50619,116
50904,35072
50969,349
1825,1824
51207,678
36431,3797
42599,1158
40839,349
8040,13099
51737,2401
42050,3161
34429,103
52150,465
37054,6097
52371,52372
52390,349
21051,6044
7254,5108
17849,17850
53609,494
54017,3797
9980,9979
14349,14350
54396,103
54737,3307
1124,642
7819,13865
54847,2723
54941,5922
21147,21146
20604,1901
55160,1901
24383,6044
55539,3797
55685,636
56111,3161
56277,642
14566,11663
52235,6431
39639,8473
15735,4556
1020,494
52003,349
57293,20746
8045,116
12415,3307
57704,787
57754,3307
19989,4597
36126,15216
11664,11663
55794,1188
17946,10940
27568,6614
5228,82
58779,245
48370,3982
46561,1901
31775,2626
59256,724
27965,5889
19547,1320
40338,13434
53998,2723
46980,1320
4007,1884
15527,3307
46596,22385
60122,3975
4316,16976
944,5501
60338,4556
39512,6323
44461,103
60804,15216
21225,2723
61042,5995
49209,35773
61179,2723
35841,724
10986,59691
7452,977
29896,17792
528,772
15300,1320
6386,127
207,977
61983,10089
62119,9393
52025,8075
62453,89
62457,25107
6938,13569
62603,18682
62640,20746
62791,4736
48747,8459
54084,13569
63014,31564
751,977
48800,42274
19886,19885
33418,33419
47815,2626
33529,19288
53767,349
63631,11561
13418,14018
3452,90
5019,977
18046,4556
61064,10089
4053,8459
6119,3975
9900,494
18474,295
64845,2723
44481,22761
45270,2723
64945,6097
16741,3307
65087,23402
5086,2701
36658,5501
38018,31564
28592,977
9361,9360
38008,128
65779,44722
10503,5995
61029,103
59555,1901
66063,4915
3639,2401
66178,15152
66292,9080
38369,19400
66561,891
66707,2723
66808,494
235,977
1647,9080
63692,700
9736,1901
9480,17523
305,4556
23243,2723
21012,33013
1405,127
22839,50163
53326,27782
37676,21061
9404,787
17604,6431
35933,349
62100,13099
1753,977
7862,17726
23608,116
34469,5995
55686,14069
68820,2723
65618,17758
29179,989
27482,6044
20555,7679
69172,5043
62731,349
28580,13014
41141,349
1876,2626
39660,1901
50787,13569
25576,9080
60001,1256
69438,10895
19416,7628
34015,20204
60249,3078
8592,6432
27394,494
46249,5705
5896,103
6178,494
12641,2626
36093,3273
69686,349
29592,772
29235,245
69779,9360
67240,4597
69906,319
50247,2129
30278,642
56175,10172
55271,657
37297,4133
1891,10895
65896,3307
34998,319
21301,2335
38440,14110
47963,47964
64529,901
29506,5752
45179,2701
12770,2626
33107,33108
70584,678
40998,1157
8394,8554
37643,12164
70977,5501
1816,154
65814,5108
71227,3078
71276,2335
71406,6431
41839,494
60415,2723
22877,319
46614,245
4983,89
9768,9767
10154,8027
64928,349
16993,16992
63451,2342
72003,5501
17089,154
70471,2723
63823,10523
72175,11663
2082,5995
6736,843
21215,103
18804,16992
70117,3348
30614,35589
71348,1901
7921,295
42899,41115
10414,33742
59869,234
685,15355
72784,787
3709,1059
54926,137
70522,5501
19953,1061
44879,20746
24775,787
22118,987
2036,8749
3148,972
15446,28756
5846,5752
23983,901
56956,3307
10231,3040
59207,1059
9133,3975
71132,89
3937,103
73621,1061
250,977
4919,4556
73635,349
183,700
4723,3040
70120,16675
71251,1059
73703,11663
45062,9840
4045,787
24774,494
36835,17461
54118,25107
73832,5593
72931,2723
26365,26366
39607,319
14116,10895
6379,977
2740,3307
73713,2701
72345,2723
14570,1237
60905,6097
66601,1901
72235,1188
9895,1237
47513,90
64001,2723
74359,103
1646,3161
39665,6097
6438,6437
6422,2626
20223,127
21931,53213
74513,1188
14441,13865
42,977
65641,4556
74568,295
4575,90
41719,19288
1399,2701
74773,8459
2350,116
14766,137
66832,11834
63624,3040
133,977
21585,21584
66722,787
299,13099
4310,90
63566,3307
16193,14110
731,977
21785,1901
74780,787
5121,843
38759,319
52074,11663
2080,6071
34860,5043
499,245
5753,5752
73754,2626
36402,28756
27648,4556
25749,103
75238,3078
13981,13980
10882,5108
40168,6097
4060,3501
39463,494
27720,24473
14496,14495
62421,2723
29437,2626
58809,14069
800,1098
5459,127
47735,30250
8175,1901
10241,11834
24939,901
9684,9080
74945,103
68703,2723
52182,787
20350,9302
75281,5501
75118,5752
53531,2723
3104,6044
479,349
6845,349
4325,116
1134,3307
8692,636
36123,36122
3880,75429
56149,13037
56249,3307
42864,6097
7579,7271
890,891
8238,9080
74902,1059
