citylocatedingeopoliticallocat_1,citylocatedingeopoliticallocat_2
4099,1098
7510,9
7690,2158
7220,1674
14593,642
15595,15596
15646,736
16197,11663
16466,901
4575,1098
74,1098
18908,9080
5228,989
250,1098
2307,19775
19896,6
20604,20605
10890,18780
21921,2626
22839,22840
14288,19658
23939,23940
24427,3161
24472,24473
25321,901
133,1674
26429,3005
2953,1674
74,3105
28385,5593
299,116
13684,615
29982,29983
30765,1901
30925,5593
12251,22229
4310,1050
34178,34179
34272,32572
34679,3307
6064,6065
34784,34785
7579,9990
15228,5008
37325,1901
5911,8459
40998,40999
4983,41301
250,3034
42087,2626
1399,127
2760,8380
35991,2626
42702,8262
43238,154
21766,44115
44284,10743
17279,17
20350,3660
74,3034
26562,6065
556,22703
46348,1901
250,1674
24282,47531
3695,2625
47842,901
80,34228
48829,11663
28580,13014
49730,49731
21937,44531
50499,1016
50718,36
51101,17
5080,6065
5896,1674
44735,2723
800,3034
19740,5108
2862,10928
7220,20515
7072,11872
14914,9393
25583,46527
1131,23537
49616,736
10528,17
29136,250
3518,57134
9422,3370
207,1674
296,295
555,17
47557,700
5459,17
26750,1674
27530,2288
46141,19658
36971,3040
48197,12015
7220,494
4575,3034
917,1674
2802,33658
29153,54448
44779,13134
15237,700
31509,250
27535,60886
2722,1568
36294,2127
74,1568
61696,15627
32573,32572
48775,62571
4053,8459
3930,1674
26301,736
7072,29078
60372,9080
13684,10042
10528,6065
4310,3105
24282,8380
7135,7134
21274,1092
24282,50320
16182,3161
66198,11663
800,1098
250,1901
4983,89
1601,1674
1454,36
66916,1062
5228,85
65071,103
15011,7557
31946,154
10414,14705
74,67887
67973,787
43978,1465
68852,787
10090,36
12573,20555
44904,9393
4561,3370
74,7758
23568,2079
35794,7557
25629,1901
21513,58635
66945,8459
21354,787
74,1465
66843,29983
58721,700
58032,5593
40754,2723
2760,47531
556,17
4053,8473
7312,250
10637,56311
23519,52303
71962,1237
63739,319
4575,3105
19361,321
849,12015
15594,15593
2072,16992
21080,844
71856,8554
26562,17
18698,29236
1882,36
16432,26316
32261,3307
299,13230
10503,288
60724,154
20604,24139
20403,103
36739,36
62238,787
45997,6432
4099,1674
3488,4299
30587,40692
49422,154
485,245
2607,1674
51972,39185
5911,8473
6882,1674
13418,14548
16705,2417
7939,36
69906,319
1421,2079
6936,85
15936,657
8238,8237
3518,20681
74823,74824
46480,7557
3594,32936
74852,819
2760,50320
4861,700
3930,17
28592,3870
56656,103
29465,1059
24092,13014
16270,243
36725,29278
67741,14350
60632,11663
3,15847
18184,85
73674,9393
33049,295
29397,1059
44475,41359
44803,17
