citylocatedinstate_inv_1,citylocatedinstate_inv_2
844,1573
2731,2732
1868,3657
3805,3806
2158,4393
844,5245
4299,5788
819,6124
6288,6289
1016,6330
4089,6954
819,7426
3055,7452
8162,8163
8272,8308
321,3978
1568,11010
321,4482
4299,7458
6288,11344
7339,11408
270,237
459,11722
1627,12092
1270,12308
6288,13013
1953,2953
819,7793
13393,14610
321,15527
844,15538
243,15578
866,15947
1627,13756
4047,13983
243,6748
3805,16613
1672,16636
1016,16638
1627,16679
866,8647
1627,16482
3726,17328
321,1399
4047,3579
6288,18261
5802,18290
18424,18425
904,18588
3726,18746
2158,18962
866,19131
1092,19433
1270,6116
866,9581
5802,20358
243,21114
1270,10768
978,21306
10584,21979
3726,13148
13292,13291
1627,23121
1568,23136
1568,8040
6288,5017
1627,16440
321,24255
243,25285
321,25425
3262,25697
2424,2205
3726,14704
866,26415
2625,26569
3805,27027
6329,27598
6288,27603
7905,27688
321,19487
10888,28170
1844,3869
3538,28301
13269,1454
6947,12702
1627,2050
866,917
1568,26286
321,9970
243,30094
866,30371
1050,30648
321,30218
4089,31379
978,28937
2079,14475
321,31420
819,31439
3055,31581
321,28966
4089,6496
1868,15785
2417,22084
2417,4925
1724,33035
866,33117
321,13049
3055,31710
321,34751
4047,35061
17,35066
8272,11702
3262,18506
13292,35253
3726,35262
6,35674
1092,35879
3538,21236
3726,36099
20206,556
8272,36184
2625,8745
1724,26337
17,14043
2855,36576
17,37052
3370,18377
1724,9170
1568,4236
1270,37303
2417,22967
9147,37923
866,30273
5802,33826
819,10152
13764,39998
3055,12921
1868,35158
2424,12411
243,26221
20088,40575
31488,40678
8162,16942
2366,40837
1724,23033
17,21766
3538,42
2417,41691
243,15401
1050,24282
42369,31130
1627,42456
9355,27610
978,42609
1270,7312
3055,43428
3055,35794
4089,7957
5802,36692
1844,16862
321,29810
1016,460
321,44531
270,34649
819,44726
844,37499
4047,10742
1868,18571
1627,45508
1627,5979
1844,3695
6,25929
1016,46154
3738,46283
243,13818
1844,28869
6,4708
3055,46480
321,46556
321,7650
7763,2372
2366,38438
2417,19960
47539,7135
6288,7393
6288,1876
20088,47833
243,36125
6288,18928
6,133
866,48661
321,48747
1092,2780
3055,44084
1016,12223
