countrycurrency_inv_1,countrycurrency_inv_2
1551,1552
2215,2216
4019,4020
4085,3307
5274,2129
1551,843
3138,2626
9349,787
9711,319
11958,11959
14541,9
11958,15152
16081,9393
2215,89
3138,14018
11958,9840
3138,137
3138,17027
3138,8027
31016,18682
20773,7660
37584,10172
9711,3804
1551,43461
44551,3040
3138,9390
46367,295
1551,13099
3138,45330
3138,1098
48425,6431
9711,1901
4019,2288
5274,9274
1551,5010
42354,349
50703,6097
3138,703
5274,4133
40582,9302
3138,42885
52693,8943
3138,19288
8555,8554
38463,1824
48425,29078
33642,3273
9711,3975
3138,17850
11958,39132
4885,10982
52693,700
60220,5043
61078,10895
14541,987
9711,5889
46898,17523
1551,25949
3138,8075
46898,465
62797,17461
3138,62973
59500,4915
3138,13134
65037,3019
65873,1062
16081,103
67113,1188
5274,51910
14541,67310
3138,27083
3138,13037
3138,65645
3138,7473
1551,1811
3138,977
47478,901
3138,51353
4885,4884
3138,81
3138,8459
28645,10796
4885,3124
48863,2701
1551,1256
9711,5108
70519,16675
1551,13230
46898,128
20773,5752
3138,90
31016,16976
3138,5863
52693,12015
3138,614
72254,9239
67876,9979
11958,642
1551,44040
3138,1884
26270,1061
1551,1885
9711,3161
46898,8749
20773,2342
11958,3078
52693,6044
3138,6432
38463,12277
40582,12164
69950,678
3138,12194
34109,6071
3138,54742
20773,17726
31016,33108
54149,8036
3138,14110
59500,59499
3138,11628
72633,5505
71663,20204
3138,494
5274,7836
64955,772
1551,116
3138,13569
37584,13865
3138,7679
3138,7394
2215,912
75468,2204
2215,15355
16081,4556
