countrylocatedingeopoliticallo1_1,countrylocatedingeopoliticallo1_2
81,82
771,772
1058,1059
466,1685
1900,1901
2334,2335
81,2771
541,3019
3396,2723
81,3706
81,3797
541,3975
541,4133
541,2701
541,3804
6431,6432
7909,2129
4432,3307
90,128
466,8943
541,6069
9290,3040
541,3161
466,9840
81,10109
10952,2401
541,10523
81,1098
11963,700
541,772
81,12194
81,6614
541,9979
81,8554
81,908
5451,13099
81,2204
81,13655
13804,116
81,14110
637,9393
9217,7473
81,13230
15626,5108
9290,13099
81,2138
1900,319
81,11834
18172,787
3983,772
10796,234
81,18462
3983,13305
466,465
7224,8036
3983,8459
81,8027
19024,9239
541,3124
541,319
637,5043
541,700
81,3982
2334,22385
81,22761
81,6323
23554,1062
15150,700
19024,13980
541,23990
6069,787
1900,1082
81,787
11513,7836
3983,309
771,7473
81,678
81,25949
541,912
81,8879
637,1062
81,17027
3396,1062
637,1061
5597,787
637,1059
637,5010
541,5501
81,24473
5597,8075
19024,154
28715,9393
7909,7836
81,972
81,30250
81,127
81,11628
81,8749
81,30903
541,15152
81,1237
18172,2288
541,1157
637,1188
15150,8459
32243,1062
13804,1885
6431,1552
637,3040
541,10895
1900,494
541,23402
81,6431
14838,13134
81,5505
466,703
4432,1059
541,17792
637,154
541,17027
23554,901
81,15355
81,22130
541,678
466,31564
81,22782
2334,614
6431,1062
81,35736
6650,1062
541,1062
81,11561
81,465
3983,14350
10365,977
5451,349
81,1188
466,128
9464,6044
541,12015
541,657
81,37443
11963,6044
81,1817
3983,4884
541,6071
81,20204
81,6432
13804,8861
5697,103
81,12277
541,3811
81,35072
10952,6044
541,703
81,5010
81,1901
81,34151
81,8861
81,103
3983,349
541,5922
9290,295
3983,14069
16724,614
3983,3040
10952,12015
81,17625
81,17664
81,137
81,3832
81,28943
19024,4133
10952,700
81,9979
7909,5593
81,6437
81,17461
541,908
17365,13980
541,2129
5597,1885
5697,1885
541,10940
81,1884
81,8459
81,44026
18172,11665
637,1901
81,19665
81,28756
81,8796
81,44548
81,5501
18172,127
10365,103
81,771
3396,1901
81,9
81,34670
10365,787
81,657
3983,10982
541,3062
81,46527
81,901
9290,11663
541,9390
81,17850
81,12015
81,46802
81,8473
541,465
81,7836
541,2401
541,22130
9290,3124
541,11665
4432,4556
541,127
81,642
9217,3501
637,3273
3983,442
81,245
637,772
541,13980
541,14495
3396,9979
466,8749
541,17461
81,912
3983,901
81,50163
5451,1062
81,11665
9290,772
3983,13569
81,2335
13804,9390
541,3078
81,25570
81,3273
81,17792
6431,25570
4432,5010
541,17523
3396,5593
81,4264
81,8075
81,1824
541,14598
81,1320
81,234
5597,3307
81,7473
19024,3019
6431,2129
3396,13569
541,1059
9464,349
15150,2626
7224,20204
21052,349
7909,6432
541,7271
3983,29734
637,1237
81,349
15150,494
81,29078
466,9274
4432,127
541,12369
81,13980
81,14945
541,9302
81,56163
541,8516
7909,1062
637,4556
81,5705
541,128
81,9239
6431,4133
637,245
56440,56441
6431,154
81,20515
81,4556
10796,21925
81,14350
6431,9274
81,57154
541,1885
27214,349
8516,245
5597,1098
637,17523
21052,10982
5597,977
541,5108
19024,1811
81,3019
81,9767
81,23402
81,53297
17365,1062
3396,7836
6431,7660
16560,2626
81,5889
19024,9
81,3501
541,1158
81,2626
81,16675
3983,19288
81,38232
19024,5593
81,1321
81,16992
59462,636
541,2723
81,10523
3983,14018
541,9274
11142,103
1334,2129
541,13434
17970,614
6431,13134
9290,2626
6069,10172
81,21197
81,37948
541,9393
17365,6432
26669,17792
81,295
81,14838
81,13434
39057,349
637,1098
81,3124
81,13014
81,13099
81,8036
7909,154
11963,13014
81,35911
3396,700
81,31564
81,614
637,8459
541,2138
81,9302
541,89
81,700
27214,103
3983,19665
5597,2701
81,8262
541,8075
3983,2401
3983,62462
33978,10172
81,33013
541,1817
81,21925
10952,27083
62906,1062
466,972
81,1061
6431,17726
81,6044
81,2723
81,891
81,15627
63513,3307
81,16343
81,3161
62720,912
39057,103
9290,13569
81,2701
3983,700
10365,8459
6431,2342
81,987
9290,700
81,51467
81,8943
81,21061
6431,987
