drugpossiblytreatsphysiologica1_1,drugpossiblytreatsphysiologica1_2
1560,1561
1560,4247
3809,3808
1560,5400
6849,6850
3106,8791
1560,9146
9553,9554
9591,9592
10118,10119
10258,10259
10513,10514
1560,11027
11279,11280
1560,11394
11975,11976
9591,12408
1560,13254
9553,11352
14989,14990
1560,15221
9591,12694
1560,9494
1560,17042
9553,17772
1307,18223
18545,18546
19239,19326
1560,19516
7946,13882
9591,8003
9591,20786
3817,20851
1560,22195
22275,17772
2281,23031
23040,11976
1637,11808
1560,15411
1560,643
27081,14556
21606,25701
1560,20072
28911,28912
2764,28922
18580,13254
1560,29856
1560,30849
6849,31621
10258,20956
2281,22311
3809,32926
26025,33068
7946,33498
1307,10259
1560,11614
1560,8775
7890,20744
7946,35198
19239,35412
2764,8080
7946,35679
36470,36471
1848,36556
1560,17968
1560,37115
37511,17968
1560,3535
9591,9854
9591,25822
1560,30397
2336,38990
1307,20956
27970,39248
1560,39248
7946,19238
10513,39628
2281,39713
8130,34811
1637,750
9591,24741
42055,15221
1560,42169
42393,38230
42746,40279
10513,43333
2764,43578
14557,14990
1307,41372
10513,44041
1560,44450
2281,43100
1560,44615
1560,32516
10118,45053
8130,8080
45365,45366
18763,45723
9553,20956
1560,30611
7279,8131
307,16486
1560,8131
46214,35313
1560,38725
1560,47006
35612,15221
40659,47645
17969,17968
19300,26764
19239,4001
18580,44431
2281,35713
1560,48773
413,412
11229,15221
12304,8131
1560,39222
47698,5688
2281,47585
3425,26382
7946,7945
1560,51875
1560,33908
9591,19093
7946,52531
14557,26891
26038,52888
53216,17968
35782,32215
1560,28477
53560,25201
2281,8945
2281,30611
1560,38885
10513,10900
1560,54403
7279,54408
10513,54709
32713,51018
1560,39543
1560,25645
1560,56058
38567,51281
19239,33498
7279,57227
14989,4969
2281,35618
48771,31989
3817,42461
10426,24741
2281,51323
1848,29343
1848,58606
14557,4969
10513,43390
9591,23077
2336,18546
26038,6443
35763,45723
48771,49321
10258,1306
1560,19004
1307,60668
1560,28017
18580,39248
28018,56757
18580,53094
1560,57227
1560,61477
1307,9554
7946,35412
1560,22919
1637,16576
61916,11976
1637,16030
36470,13237
1560,62300
1560,3415
18580,62689
1560,62702
1560,28326
63149,17772
7279,2042
1560,21580
35782,15221
1560,26382
37511,22195
1848,3149
1307,1306
9666,6443
1560,35313
48771,25941
10513,22510
19300,52363
10513,64242
7946,64510
1307,17772
1560,25940
3817,12694
1560,19077
1560,27979
1637,46583
2764,30760
1560,65362
2281,2280
9666,12300
9591,65591
1560,21706
42393,53368
23040,17042
2281,56237
1560,34701
1560,53861
2281,18864
1560,59251
1560,20175
8130,30760
1560,60459
8130,60953
1560,67958
1343,23031
10118,40713
2281,53806
40659,2321
19239,19238
8130,43578
35782,44615
1560,16909
23040,28017
1848,46246
1560,23397
1560,2042
18580,33908
36470,18832
1560,56728
1560,32215
10513,50845
1560,56940
9591,50620
49892,45366
60280,8131
18580,64068
23040,11394
9553,18223
56953,56952
26038,12300
3809,18613
19239,7945
9666,52888
32678,20956
69871,2522
1560,36179
53163,53162
1560,6474
7946,25701
10118,69278
9553,10259
8130,28922
69313,69312
19300,20196
23527,54004
3817,19093
831,830
1560,58878
1560,24859
23785,9146
2281,33908
1560,43612
12304,5999
9553,41372
1560,5999
33584,33583
1637,47303
1560,11976
72214,17772
9553,1306
1848,38990
18580,29516
9553,73070
20013,16576
9591,23506
19300,37854
2281,9146
7946,42954
19239,29457
24766,11976
6146,12694
1560,73668
53560,57445
2281,29516
2764,55901
9591,33433
1848,57691
2281,38922
1560,65309
14989,14556
10258,17772
73873,17968
1560,22648
10118,412
18545,38990
9591,46076
1560,30740
1560,45281
1560,54619
1343,21706
44403,9592
3817,33433
53560,6336
19239,19595
70846,17042
7946,53286
1560,56757
9591,27927
1560,39146
19239,53286
1560,73913
53560,26023
18580,39222
40659,2522
14557,14556
1560,38230
28238,28237
7946,19595
2281,19004
1560,56618
53560,38859
28018,28017
1560,37452
1560,74248
11279,3149
1560,54408
1560,53870
19239,25701
1560,73608
7946,71278
1560,75439
1560,25218
1560,37637
1560,58771
