drugworkedonbyagent_inv_1,drugworkedonbyagent_inv_2
954,955
2140,2141
317,6037
3338,6531
6622,6623
6630,6631
6988,6989
8002,8003
9951,9952
10087,10088
317,10175
317,10240
8417,10461
11613,11614
12931,12932
8002,13214
169,13247
13875,13876
14453,14454
10251,14818
14891,14892
10087,14976
15410,15411
15552,15553
16265,16266
16652,16653
3338,17125
13326,5688
17921,17922
6622,18010
2521,6336
9951,18658
20010,20011
17921,20956
169,10631
6988,21383
6622,21466
22074,22075
13187,15169
6196,6195
22862,22863
16265,23156
3338,21019
3338,11500
23343,23344
8575,23359
23505,23506
20010,23781
17921,18864
24726,24727
8417,24801
25141,25142
9951,25510
25577,25578
169,20851
26047,26048
26381,26382
10251,26764
317,27661
28536,28537
28980,28981
13326,29066
2521,13890
317,29639
1216,29789
3338,29818
29899,29900
8417,29936
2521,12875
317,30503
13326,26724
30939,30940
2521,31143
6988,31217
10251,9592
31762,31763
25141,31866
32053,2280
17921,20196
8417,23044
11578,33129
33147,33148
33503,33504
10087,18864
25141,31196
22074,25035
317,34017
26692,26691
6521,6520
13326,35313
1216,35594
35778,35779
3338,35968
3338,35977
36137,36138
3338,7926
20010,29752
2521,36634
36636,36637
10087,36661
37009,22133
37169,37170
317,19152
37463,29789
37544,11614
37600,6474
28521,28520
8417,38324
15552,5999
38692,38693
317,20786
8417,38859
169,12694
3338,39146
39491,39492
39888,39889
317,40534
20010,24290
4232,20744
16652,40647
3338,40676
25141,36615
40908,5400
41095,20956
39965,41140
16652,22424
9951,41561
41808,20851
29739,42046
42293,42294
42400,42401
20010,42538
15093,42749
12498,12497
13326,36789
13557,33504
317,43989
44354,18550
44385,5400
44635,44636
22074,43447
45045,45046
45060,45061
45103,45104
13326,13701
8002,20851
39387,45135
13187,13186
26295,26294
13326,46309
46356,17772
25141,37583
46522,46523
14891,46609
46719,46720
317,18517
10251,29186
46998,39889
28536,47021
23521,38588
3338,47958
21680,21679
17921,48328
317,48971
3338,24363
49229,49230
10251,49381
39965,40332
33503,24363
15093,39610
21308,21307
13326,42647
23398,46722
28877,39379
317,46433
317,50450
51079,6520
12742,3149
39491,51178
10251,51244
13326,35412
51594,32801
3338,51870
51892,51893
23398,23397
6622,20513
6196,52331
317,52353
10251,47939
52488,52489
20964,35713
169,45723
317,52733
8417,31989
17921,23063
50626,6850
6622,23506
53325,42461
13326,53515
50970,22103
15410,830
54021,54022
8417,9854
10087,19004
29899,33908
39491,54721
317,12300
9951,34198
