emotionassociatedwithdisease_i_1,emotionassociatedwithdisease_i_2
10,11
1848,1849
2069,2070
2142,2143
380,2070
380,1342
5556,2070
7156,7157
2142,7897
8278,1342
2142,9834
2281,1342
1975,12843
13322,11
9666,11
2142,13395
2142,13531
13702,2070
2142,12118
2142,15129
3817,1342
15268,11
15284,2070
2881,1342
3817,1849
16009,1849
8101,2070
8101,11
2142,18595
2881,2880
19300,11
20546,20547
21097,11
21593,11
22357,2143
7156,7897
22827,2070
1343,2070
1975,7897
2142,23725
23923,11
2142,11
2142,24416
25093,2070
25192,2070
11914,11
26025,11
8101,1849
26542,25990
7212,26733
13322,1342
28065,11
5132,11
29805,1342
29961,2070
30301,11
30855,11
5132,25990
7279,2070
30971,13531
31296,2070
12425,18718
2976,2070
2142,33444
33484,2070
33589,15129
13322,25990
2881,11
380,1849
15268,2070
2142,34373
32335,2070
29805,25990
1975,35873
36008,2070
36335,6350
36624,1849
7156,38358
38567,1342
38745,2070
12425,1342
2142,39217
10118,1342
18580,1342
2281,39217
8278,25990
42072,9834
2142,38016
26542,9834
7156,33444
28238,2070
20363,2070
1975,25990
7156,2070
2142,26608
1848,39217
14203,2070
9499,2070
1975,42495
41408,2070
47196,2070
213,2143
2976,48338
36114,11
22565,2070
2142,49045
7156,11
26542,1342
2142,50413
1975,50481
32539,23685
16582,46622
10487,11
51855,11
1975,1849
2142,38358
24712,1342
2281,7157
2142,46622
2976,2880
1975,9834
22102,11
54368,2070
1975,11
28533,9834
7156,50413
33589,48338
24712,11
18042,2070
2881,2070
7156,18718
57029,2070
27970,9834
36114,2070
380,48338
1343,1342
11279,23685
2976,1342
26403,1342
2281,11
57938,11
12425,11
2142,58269
55297,11
17599,11
15119,2070
58518,11
28533,1342
380,11
60042,11
2881,25990
60259,2070
60280,2070
16582,1849
11279,60521
18580,25990
48500,1342
2976,2975
2281,25990
61587,46622
47128,1342
16582,58269
855,2070
213,2070
62248,11
62422,46622
60908,11
1975,46622
49591,11
2281,18718
2881,7157
1975,23685
48500,11
63328,46622
41033,2070
7156,63416
2881,2975
14203,9834
12425,25990
1975,64335
30912,2070
53163,2070
19541,11
14557,23685
2976,8344
65934,2070
54264,2070
33286,11
66287,2070
3817,23685
62950,2070
66887,46622
2142,50909
7890,2070
1343,28953
12425,48338
32539,1849
7156,2880
32713,11
19404,11
63007,2070
12813,2070
2142,42995
45632,2070
2281,9834
380,8344
2976,7157
14203,11
22357,2070
7279,28953
57612,11
23582,46622
2142,31047
35632,1342
2142,70203
19266,2070
70278,9834
36114,46622
7156,70449
7156,25990
5132,1342
20546,26733
70812,2070
2142,7157
2142,51645
7156,35873
71291,11
7156,6350
40458,11
47368,11
11311,11
1848,23685
7156,26608
42072,11
33793,13531
2281,46622
71862,2070
1848,1342
2976,25990
2142,6350
380,25990
1975,2880
16582,9834
2281,65284
2142,17564
70278,11
2142,18718
12425,2070
1975,72598
1637,6350
2976,11
48536,11
7156,8344
30971,23685
67930,11
7156,2975
18131,2070
7156,1849
33589,23725
2142,48338
2976,18718
66930,2070
7156,57950
51253,2070
33589,11
42072,1342
42393,11
15268,1342
1975,7157
2142,28953
2142,25990
3817,6350
69180,2070
2142,2070
1848,26733
73313,2070
43528,2070
1975,18718
60280,28953
7156,48338
59039,2070
2142,73959
69005,2070
2281,33444
5132,2880
35632,11
19541,1342
7156,68755
11279,1849
7156,9834
2976,7897
2976,9834
33793,23685
33589,2143
51689,11
17478,2070
49919,2070
7279,2143
8278,9834
2142,74949
30301,23685
1975,8344
2881,18718
1637,23725
18580,11
2281,57950
70783,2070
22102,9834
29805,9834
1975,75146
8101,23685
2583,2070
18580,9834
45422,2070
36335,1342
2142,1342
7156,46622
22102,2143
58494,2070
30971,11
45327,1849
74583,2070
27970,1342
2281,7897
45077,1342
2142,1849
380,7897
7156,1342
3817,75370
62061,17564
28479,2070
40059,11
2142,65284
7156,65284
14279,11
38778,2070
2142,42495
30890,2070
33793,1849
33589,2070
1975,1342
67662,11
6849,23685
19541,25990
71887,11
2142,49443
801,2070
20546,1342
15560,1849
29048,2070
380,46622
1975,33444
