fatherofperson_1,fatherofperson_2
640,641
4922,4923
5307,5308
6590,6591
8253,8254
8536,8537
8546,8547
11930,11931
13932,13933
3659,4922
16927,7437
17588,17589
267,14673
4922,24093
16148,25921
6590,19776
11499,11498
31698,31699
32681,32682
32891,32892
4922,33724
8546,33254
8546,15748
14535,35336
16149,640
35336,35921
5308,36262
29923,29922
37407,37408
37777,37778
437,22566
8546,40273
14387,14386
15,14
8546,37604
267,2888
2925,2924
25246,18231
45072,31091
30992,3209
25246,14631
35526,5559
18231,7109
17235,17234
48407,48408
46049,29923
45072,48690
4922,25290
4922,20518
4922,15662
8536,45718
51820,51821
3659,52145
54397,46706
55826,55827
4922,16315
2875,57213
8253,37777
51028,45072
53598,50063
41973,59508
15,20968
5559,5558
60364,38050
21964,21963
17589,53787
62017,1858
22733,9894
62446,1749
25246,1652
18231,51391
3209,3208
62987,33137
31091,32912
15662,41973
58671,58670
8576,37490
18231,2308
1652,46767
65079,12656
3659,3658
61508,39793
49883,5405
38050,38049
3659,2968
40852,25030
1652,26954
16149,16148
18231,67222
25921,18484
3659,1122
4922,67370
16149,14387
34681,51236
68254,39180
37407,68379
34681,34680
8546,42097
14535,31183
35336,43900
3659,13093
46316,71008
14535,35526
2717,25504
14386,34681
8546,34886
51528,8734
50063,50062
18553,2875
4981,4982
640,39603
13329,32733
18553,30904
37604,59635
32912,32911
16150,16151
18231,8253
26711,73720
41973,9999
13153,13152
5558,17810
17589,10085
8546,71533
3659,123
59390,59389
25246,4044
38540,6014
47620,47619
18231,2717
17810,30992
30992,51820
14535,36742
18231,25246
15860,15859
2717,8594
14535,46306
4922,62656
40852,9296
8546,68281
57213,73490
43899,68120
5559,46049
31381,62559
43900,43899
46316,46315
3209,16149
51236,51028
