fatherofperson_inv_1,fatherofperson_inv_2
14,15
2888,267
2924,2925
3208,3209
3658,3659
5558,5559
13152,13153
15859,15860
16148,16149
17234,17235
2875,18553
14673,267
4982,4981
21963,21964
22566,437
9894,22733
18231,25246
25290,4922
20968,15
8537,8536
29922,29923
32733,13329
32911,32912
33254,8546
34886,8546
5559,35526
123,3659
37490,8576
37604,8546
37778,37777
39603,640
37777,8253
16315,4922
14386,14387
43899,43900
1652,25246
46049,5559
46315,46316
47619,47620
16149,3209
25504,2717
5405,49883
50062,50063
51028,51236
51391,18231
38049,38050
43900,35336
8547,8546
8734,51528
18484,25921
9999,41973
31183,14535
51236,34681
36262,5308
35526,14535
13093,3659
640,16149
4922,3659
32912,31091
37408,37407
4923,4922
31091,45072
32682,32681
59389,59390
59635,37604
24093,4922
2968,3659
45718,8536
13933,13932
39793,61508
34680,34681
51820,30992
41973,15662
62656,4922
8594,2717
8253,18231
29923,46049
3209,30992
26954,1652
15662,4922
52145,3659
48408,48407
33137,62987
19776,6590
14387,16149
46706,54397
53787,17589
7109,18231
32892,32891
67370,4922
1122,3659
7437,16927
25030,40852
25921,16148
68120,43899
55827,55826
46767,1652
1749,62446
10085,17589
68379,37407
31699,31698
20518,4922
14631,25246
6591,6590
5308,5307
6014,38540
71533,8546
62559,31381
35921,35336
57213,2875
34681,14386
25246,18231
38050,60364
30904,18553
1858,62017
73490,57213
33724,4922
9296,40852
73720,26711
39180,68254
46306,14535
11498,11499
42097,8546
11931,11930
36742,14535
48690,45072
17589,17588
71008,46316
67222,18231
59508,41973
16151,16150
51821,51820
68281,8546
8254,8253
12656,65079
641,640
4044,25246
40273,8546
45072,51028
17810,5558
50063,53598
30992,17810
58670,58671
35336,14535
2717,18231
15748,8546
2308,18231
