fishservedwithfood_1,fishservedwithfood_2
1406,1407
1152,1580
2011,2012
1152,6502
808,8998
808,9289
1152,9384
10110,8940
11583,1407
12404,8940
808,6209
11180,12996
1152,13158
808,14156
1152,9289
14468,8940
6897,14848
1152,3989
17324,17325
1152,9879
1152,20237
808,22992
808,23035
23087,8940
1152,23709
1152,24153
1152,26252
16964,8940
27162,27163
808,1580
1152,28858
1152,21594
808,12662
1152,33044
17324,22658
33765,8940
808,34267
808,807
1152,25910
1152,36607
1152,37017
1152,35535
1152,37518
37744,14156
808,6896
20127,14848
1152,37980
1152,28134
1152,10757
808,38947
1152,13455
808,21969
27698,8940
1152,40613
808,40829
41353,8940
41670,8940
1152,37786
1152,42376
1152,43842
1152,45511
808,7589
1152,45720
808,34610
1152,46672
1152,1982
808,48231
1152,12714
1152,8998
1152,49941
808,36607
1152,50348
38146,8940
1152,35712
51151,6896
6897,6896
1152,31689
808,22872
1152,52106
8905,8940
17324,6896
53131,8940
1152,15714
808,5115
37744,8940
1406,24779
1152,53443
53539,8940
11180,40613
54343,45511
6519,13286
1152,11660
808,49785
808,33622
10992,8940
1152,48499
1152,2381
19706,8940
1152,263
27911,8940
808,50348
1152,57062
1152,49785
1152,57217
1152,2074
57322,17325
1152,58804
36652,8940
1152,59246
808,46672
1152,58316
577,8940
59542,8940
1152,37202
808,32262
1152,24881
1152,60628
808,16361
1152,6896
44156,8940
1152,45535
1152,57543
62451,8940
1152,807
1406,13198
808,62849
1152,42435
1152,51729
1152,63075
13456,6896
1152,22276
64280,1407
1152,64522
808,9924
808,60318
2011,8940
808,17325
808,60628
39104,8940
1152,11776
808,52106
808,7002
1152,40634
18012,8940
1152,41278
1152,9211
44406,8940
1406,263
2011,17325
64615,64614
36964,8940
1152,18274
1152,67906
37744,6896
1152,17915
1152,11891
8941,8940
808,36461
1152,55561
22529,8940
808,68681
808,59902
808,24881
1152,21587
1152,69357
808,56204
1152,22872
808,12714
27911,1407
808,58316
13456,8940
41353,64522
1152,44397
2011,5553
1152,8940
13456,49785
1152,48015
6897,22658
1152,45658
808,27334
808,71119
808,35006
1152,47067
1152,63156
3183,8940
1152,61319
808,8940
22529,1407
1152,71680
1152,14848
1152,4464
1152,4354
37744,35712
808,21587
49786,49785
17324,8940
808,52415
1152,27231
808,72499
808,22276
1152,34267
64129,8940
1152,32262
36964,17325
1152,19939
53131,4573
56992,8940
1152,30716
1152,12662
808,69627
1152,38947
54343,8940
59542,22658
71982,8940
1152,9578
1152,3349
13456,13455
1152,16044
808,67294
1152,14156
808,73902
49786,8940
1152,26264
1152,23035
27162,8940
1152,74189
22529,6896
1152,74281
1152,71430
808,57543
1152,74039
39624,8940
1152,9718
1152,17325
1152,9924
808,37518
1152,67183
1152,35006
1152,14740
36964,6896
1152,63325
52921,8940
1406,6896
8941,6896
1152,69627
1152,7589
1152,60318
1152,71590
808,6502
1152,12410
1406,17325
37744,22658
808,13902
35008,8940
808,13455
6897,8940
1152,15456
1152,27334
75153,8940
1152,22658
13456,14848
1152,74700
1152,68666
22529,34267
64615,8940
75225,8940
1152,73594
808,71913
1152,62817
1152,64911
2011,1407
17324,14848
808,20237
14468,6896
1152,3977
1152,54503
59903,8940
1152,34084
30710,8940
1152,43487
1152,73485
1152,9445
6519,8940
1406,8940
808,6347
1152,71458
75366,8940
1152,61405
1152,33622
