foodcancausedisease_1,foodcancausedisease_2
4626,2764
5477,5478
8622,5801
8642,8643
8622,213
3243,2764
8622,10098
11372,3817
2958,2764
8642,1637
8622,15284
18254,2764
14354,2764
16674,2764
8642,21352
6364,21606
8642,2142
8622,7156
8622,380
25234,1637
26159,2764
8642,8130
8622,2281
8642,29069
19221,29167
8642,29521
25994,2764
9279,31817
31884,2764
8622,33270
6364,5801
34905,2764
8622,19333
36002,2764
8622,15268
8622,2142
6267,2764
33294,2764
24881,16299
12847,2764
4733,2764
8642,40320
13477,2764
8622,801
6079,2764
32609,43065
7152,36618
9279,2764
8642,21606
44898,2764
8642,45379
4128,10118
28244,1637
9086,3817
6267,48578
8622,10487
8642,29167
6267,20752
7601,21606
8622,14203
8642,6626
7601,2583
8622,21606
6364,4117
16734,8130
54001,2764
8622,28830
7601,3817
32609,16299
54438,8130
9279,5801
54438,2764
8642,801
8642,10098
4733,7890
8622,8643
19221,2142
19273,2764
4128,2764
8642,38544
8642,16582
8642,58206
58233,2764
8642,58519
2012,10118
35379,3817
10504,2764
26654,2764
856,2583
8622,59918
49276,2764
8622,19159
19221,1637
60745,2764
8622,14961
5502,2764
61211,10118
11635,2764
2885,2764
13477,6626
2374,3817
8622,4117
19221,15284
3292,2764
16734,2764
27334,2764
8642,380
8622,29167
8642,19333
5477,48857
7152,2764
8622,65220
244,2764
19221,19333
66694,2764
8622,10118
34704,2764
8642,20013
4733,68097
14834,3817
6287,20752
13477,8130
14354,31817
25234,2764
856,1637
8622,48857
9279,20752
32609,14587
7634,2764
4701,42874
5089,2764
26264,10118
69659,2764
25994,20752
5273,31817
56484,4117
45640,2764
5477,2764
8642,2764
1580,608
856,855
49276,36618
37640,20752
8622,38544
16734,20752
19221,16582
856,10118
1636,2764
8642,15284
7601,20752
14834,9591
5477,6626
8622,72791
8622,2764
7601,2764
5273,20752
8622,1637
8642,68932
1636,3817
43610,2764
14354,20752
46956,2764
32609,3817
6287,2764
5477,1637
6019,2764
53602,2764
37640,2764
45075,20752
54438,6626
8642,48857
8622,20013
5273,2764
6287,8130
1407,3817
8622,43810
5477,8130
4733,35570
9868,2764
7601,31817
8642,3817
14354,42661
8622,3817
8622,2583
55270,1637
9617,2764
12800,3817
74765,20752
28244,19159
8622,16582
39149,2764
2765,2764
