foodcancausedisease_inv_1,foodcancausedisease_inv_2
855,856
2764,2765
2764,4128
2764,5273
10487,8622
3817,7601
10118,2012
3817,12800
10098,8642
8130,13477
14961,8622
19159,8622
2764,19273
19333,8622
10118,856
20013,8622
20752,6287
2764,5089
3817,14834
15268,8622
8130,8642
5801,8622
10118,26264
2764,26654
8643,8642
10118,8622
2142,8622
2764,5477
14587,32609
2764,33294
29167,8642
3817,35379
35570,4733
29167,8622
3817,8642
2764,37640
38544,8642
2764,5502
2764,9279
2764,7601
2764,9868
42661,14354
2764,43610
1637,25234
801,8642
9591,14834
6626,8642
16299,32609
16582,19221
6626,5477
5801,9279
2764,25994
10098,8622
2764,46956
8130,16734
48857,5477
2764,49276
2764,16734
2764,8642
16582,8642
5801,6364
1637,5477
2764,44898
10118,4128
28830,8622
21606,7601
31817,5273
21606,8622
2764,7634
2583,7601
2764,8622
2764,4733
20752,5273
48578,6267
31817,14354
7890,4733
1637,856
20752,7601
1637,55270
3817,32609
16582,8622
20013,8642
2142,19221
2764,45640
4117,6364
801,8622
36618,7152
380,8622
2583,8622
5478,5477
20752,37640
29069,8642
213,8622
2764,6079
48857,8642
3817,11372
2764,13477
6626,13477
2142,8642
21606,8642
2764,244
2764,26159
2764,10504
58519,8642
29521,8642
2764,25234
65220,8622
20752,9279
19333,8642
19159,28244
2764,11635
2764,6287
20752,16734
8130,5477
2764,60745
2764,58233
14203,8622
20752,25994
2764,18254
1637,19221
68932,8642
2764,31884
68097,4733
2764,54001
2764,36002
20752,14354
15284,19221
1637,8642
1637,28244
36618,49276
21352,8642
2764,2958
2764,14354
10118,61211
2764,34704
15284,8642
19333,19221
3817,2374
8130,54438
2764,3292
2764,1636
31817,7601
3817,1407
43065,32609
2764,53602
2764,4626
2764,9617
21606,6364
42874,4701
2764,69659
48857,8622
43810,8622
29167,19221
3817,9086
33270,8622
380,8642
72791,8622
2764,66694
2764,6267
2764,34905
38544,8622
15284,8622
2764,2885
2583,856
7156,8622
20752,6267
20752,45075
1637,8622
20752,74765
6626,54438
59918,8622
31817,9279
58206,8642
4117,8622
608,1580
2764,3243
2764,39149
2281,8622
2764,16674
2764,12847
2764,7152
2764,54438
40320,8642
3817,8622
8643,8622
4117,56484
2764,6019
45379,8642
16299,24881
8130,6287
2764,27334
3817,1636
