fooddecreasestheriskofdisease_1,fooddecreasestheriskofdisease_2
395,396
1636,1637
2582,2583
3816,3817
4733,4734
395,6146
6267,2583
395,7890
4733,3817
395,7279
9123,1637
9279,3817
9340,3817
244,9406
11149,3817
395,12168
9086,12285
3292,3817
13524,7890
13947,2583
395,14203
5389,3817
395,6626
15313,3817
2582,9591
395,15106
12976,9591
2947,3817
16734,6146
17239,3817
9123,17847
395,11279
18130,18131
395,18774
19398,3817
1636,14587
395,20174
21397,3817
21632,3817
9279,8101
7634,14587
6287,3817
24197,3817
24208,17478
12093,3817
395,25211
25994,3817
395,26465
16734,9591
13618,2881
26685,3817
395,28148
6267,10426
395,8101
9279,14587
6267,9591
4777,1975
395,1975
4777,23582
31689,3817
24208,32578
395,32804
395,33286
5477,3817
9279,9591
4777,4776
395,7212
395,22357
4260,3817
13618,1637
1636,9591
1636,36752
29109,20546
37241,3817
4777,2142
4777,14587
6267,14587
13477,3817
395,16850
13524,6146
40325,2583
18130,40952
6287,22827
13618,2583
244,41633
395,42164
42192,3817
14354,9591
38539,3817
42797,3817
9279,9499
9123,43810
395,33270
395,44433
13618,22102
44994,2583
1636,20013
6267,3817
1636,32578
24208,2583
9279,2583
395,2281
24208,3817
13524,9591
395,38567
15313,10426
244,20013
13618,3817
25994,2583
4777,49960
395,50434
46956,2583
395,5300
244,1637
1636,18042
1636,10426
34704,3817
395,49119
24644,3817
13618,51716
395,5417
395,10426
26263,2583
7634,3817
39389,3817
395,14587
4777,33023
3896,9591
13618,14587
24559,14587
42797,50190
54621,3817
9279,6146
26685,21352
7121,3817
6079,3817
16734,3817
244,2583
1353,3817
395,36765
45640,9499
27334,2583
395,2976
57359,3817
24208,14587
395,801
54621,21352
3303,3817
395,58472
395,13243
4777,16550
395,18131
4777,8101
7634,32578
1636,2583
6287,32539
29109,21352
3896,3817
45640,9591
9086,2583
4777,61814
3349,3817
36002,3817
29109,3817
4777,16299
2947,1637
6354,3817
395,307
395,32578
3896,10426
25994,9499
4777,2881
395,63668
395,33544
395,1848
9123,64058
395,56832
395,23527
395,48771
45640,2583
64844,3817
9123,307
9123,24904
2582,14587
395,20546
65283,3817
10057,3817
4733,2583
29109,33270
9123,16582
14502,3817
395,56953
395,855
9279,33803
59289,3817
9868,2583
395,19541
13524,10426
18130,14587
1146,10426
9868,24904
1636,3817
62426,3817
13618,33544
24197,8101
13524,2583
395,53502
1636,6146
14354,17478
9123,22102
395,68490
4777,5132
38539,2583
395,19300
4777,40520
7601,2583
13618,7279
39149,3817
29109,24904
4777,9591
69145,3817
395,29992
2958,2583
395,18042
24208,21352
14354,69591
3243,3817
4777,380
16324,3817
9868,3817
1636,8101
395,20013
25994,9591
9123,4117
395,46917
7634,21352
33064,3817
23035,3817
395,8130
18130,40520
395,17808
395,41633
4777,71559
4777,1560
395,5132
6019,3817
5389,14587
4777,16582
7601,3817
395,33484
395,71872
395,32539
18130,3817
29109,2583
1636,22357
395,3817
72420,2583
3896,6146
395,72531
395,72593
395,30301
14354,2583
1636,6626
7121,2583
9123,2583
4777,2976
922,3817
395,2844
17541,9591
29109,53502
7634,2583
395,66971
4777,18131
395,68447
43734,43733
5273,3817
4777,3817
2582,8101
3896,51195
18130,16582
27334,3817
3896,18042
43940,3817
4777,30366
9123,8101
395,2881
58123,3817
37114,3817
18254,2583
1636,35727
395,42661
18254,3817
3896,69356
6079,2583
14987,3817
4626,3817
395,9591
9123,14587
4777,65412
24559,3817
4777,22102
395,48479
4777,801
6079,1637
4777,74662
139,2583
61567,8101
395,21606
50817,396
9123,3817
64764,3817
27862,2583
1146,3817
13618,32539
17541,2583
29109,8101
395,1637
9279,41033
13618,6626
6287,2583
6337,6146
395,22102
1636,53163
1636,21606
11635,2583
29109,14587
1012,3817
6287,9499
4777,27840
54087,3817
13618,8130
45640,3817
13618,18131
4733,7890
60745,3817
4777,74412
2947,2583
34025,3817
7121,18042
2582,3817
4777,71337
36002,21352
3896,7890
4777,75371
17239,10426
16734,2583
395,9392
43734,7890
395,42874
75208,2583
39149,2583
