hashusband_inv_1,hashusband_inv_2
2992,2993
5794,5795
6945,12633
13638,1995
4717,4716
15603,15604
18191,18192
3912,19071
18040,19551
10102,1784
20559,7692
13440,20875
22587,22588
18553,19646
5064,25919
15660,18922
30288,15992
30303,30304
18814,18813
31454,31455
4922,1651
32451,17513
32644,32645
32660,32661
36129,36130
33177,33176
30493,30492
38292,38293
39388,36858
40852,25670
41623,1076
18979,41987
44401,34424
3242,3241
21160,25232
48056,27892
49351,49352
48783,48782
18818,49491
33315,49572
3212,13112
28921,28920
15472,52957
1986,32
43503,20795
54807,22175
47002,41776
5307,33662
3101,3100
57003,1749
57636,15687
8253,29244
35710,13994
58224,11825
15662,51391
778,50203
31456,18200
60653,42970
59553,61778
17644,61829
47440,9579
26567,26566
7260,7261
37488,37487
22575,22576
52940,52939
55817,55816
64262,37718
20190,20189
9356,9357
25606,25607
437,13068
36871,15195
8546,5925
65634,16454
45012,64880
51474,1566
15971,1442
41973,9998
35777,15133
63747,63746
41325,41324
66235,66234
69276,52422
12774,12775
24867,35403
69365,42550
21816,21815
51429,51430
37196,12880
22808,61081
14612,1303
71701,71700
48752,48751
27132,27133
23020,42648
47528,47529
13993,65308
61475,33760
12071,12070
36727,16345
66355,66354
42452,43958
19853,19852
21158,52946
74462,74463
7075,27363
10521,56407
9039,9120
12053,12054
74600,28839
7127,73162
70474,20159
23929,46651
2717,18727
72591,27404
8576,63606
15,30019
35318,11196
47116,47115
21,20
33030,26281
39044,39043
45569,53040
