hasofficeincity_1,hasofficeincity_2
215,114
340,341
1,909
1875,1876
2073,528
2559,2558
1,2839
1,3455
1,3488
1,3599
1,3372
1,4388
4476,4477
1,4491
1,5040
5622,1916
1,5708
6221,2605
1,6373
1,6181
1,436
6571,4099
6847,207
1,7330
7352,4099
7374,225
1,7543
7798,299
7837,5017
7938,7939
1,8154
3184,8310
1,9487
9610,731
1,9661
7270,7220
1,9790
8948,5086
1,10099
10181,751
10276,7939
1,10295
1,10470
1,10496
3168,10538
1,4440
1,10882
1,10903
1,10327
1,11128
7938,299
1,11556
1,11723
1,12478
12683,133
1,12704
11428,914
12791,3452
13108,133
9402,330
1,13280
13283,7135
13683,13684
14135,6119
14273,1131
1,14374
1,14497
8703,250
14579,14580
10588,133
1,8764
910,15140
4151,42
1,15401
15702,5896
1,16284
1,15760
1,5896
813,6883
16631,183
1,16645
17154,133
1,17374
1,16370
11160,133
1,5577
17714,9500
17805,1876
340,751
1,18206
18356,6379
1,18381
7270,2662
5359,250
1,5339
5460,299
1,17709
18980,7220
19000,731
16631,19029
1,17033
238,19191
1,19250
7270,299
19680,225
1,1722
1,7761
238,19982
17105,7057
20521,14988
8948,20570
816,5896
20809,1916
16426,7579
1,21000
21050,21051
1,4819
1,21088
1,21137
2081,6379
16426,21729
21755,4723
1,22280
1,8990
22495,410
13683,42
18422,5459
15447,14914
23451,3483
1,17790
340,1668
4151,6736
1,16320
24038,1876
1,19918
24244,133
1,17928
1,16942
24162,133
340,114
1,8276
910,25017
1,7826
1875,25305
1,7860
21078,21077
1,849
1,460
1,10669
1,6968
1,27024
3152,751
16426,2953
9539,207
1,12278
1,27601
4947,4272
5460,1882
1,21215
1,19309
1,28272
19529,235
28478,14704
16631,815
1,28592
1,20588
1,28669
1,3930
1,6456
1,28843
1,28861
3551,133
1,28935
1,29076
2772,917
1,1593
1,918
1,29603
1,3950
1,29667
29740,114
1,13091
1,22651
1,17974
1,12223
572,207
16426,22525
1,6481
31423,9500
3887,3886
31462,133
1,31515
4881,133
32127,133
1,14107
1,23121
10816,3115
32481,133
24038,32669
6136,11187
32793,7208
32964,299
1,9486
33080,5121
24162,751
910,31640
1,8308
1,17219
1,8888
1,9549
29731,6379
340,5896
33663,250
1,4499
1,33893
572,299
1,34315
1,34320
1,4561
4151,17621
24034,6422
1,34455
9175,34460
34461,2740
1,24693
16374,16373
1875,24454
34923,13568
34952,133
8736,751
1,16490
35031,7957
1,12544
1,35174
6928,1399
1,35465
3175,341
6536,4546
1,2425
16426,28580
9013,9012
1,35880
1,19203
2803,6422
1,1936
10876,133
13457,133
36580,3222
1,13148
1,1915
1,17834
1,8698
37136,479
1,5493
1,4880
1,2544
1,5756
3082,250
1,22109
16631,37877
1,37907
37998,1916
28198,6386
26677,751
38176,310
4151,38195
1,31379
18810,6379
21010,133
1,38370
21375,3709
3168,38591
5460,133
1477,35919
39022,5896
1,31737
2659,8647
1,28880
3184,133
1,6333
39311,556
1,34010
1,39349
1,21934
6250,4499
7651,7650
39663,225
8948,10590
1,39804
1,39817
2772,751
1,12398
1,40244
1,6116
1,1131
1,40390
40479,16432
1,40611
40783,7957
2772,250
1,29231
1,2113
1,31753
1,34614
41068,815
15447,19953
4881,19886
9266,42
12666,4723
7270,3563
1,7452
10388,7480
41643,5017
1,2082
5460,3930
1,26379
1,26961
1,34345
1,42038
12791,250
42098,133
40538,8647
21945,22718
42328,5019
1,28721
1,12951
1,33448
340,8614
19301,751
42918,6181
43072,133
1,43129
9919,2410
43229,2113
1,20859
1,14843
4151,4150
16426,235
1,28247
1,36259
1,235
1,353
1,9704
43328,250
1,24282
43860,225
1,23206
1,22141
1,44021
3168,2708
19744,225
2073,3639
9564,133
1,44234
10505,751
1,6379
3184,565
1,40198
1,26935
17860,815
1,2078
4881,27720
1,1706
1,649
2917,133
1,40262
15447,751
1,2599
1,17351
1,8745
3168,45488
4,751
1,25772
9362,80
5122,17253
2659,207
5952,17604
5460,8047
1,1377
36451,133
1,28559
4151,46359
1,5206
46413,133
1,46631
46791,10503
1,35929
1,18182
910,46031
14252,133
1,16337
5460,751
1,46259
1,2117
1,47283
16426,16490
47350,250
1,9037
1,47467
1,21054
4105,250
1,47542
17233,17232
47630,47631
1,1772
11079,8614
47866,914
43542,133
1,6064
4947,133
48357,6379
13888,751
1,7832
1,10315
4151,48728
48735,7208
1,37499
1,28990
1,35093
1,42834
910,49271
6221,35919
1,36224
40178,751
5253,49486
40194,1134
42907,299
1,2205
1,11579
1,49940
18772,225
1,18746
47130,133
1,38576
39663,45938
50280,7208
1,4482
1,32510
1,5459
41207,4053
50432,225
9781,751
1,29391
1,41345
50674,225
50678,225
11726,4099
1,50732
1,4074
1,20836
3168,18472
9564,50983
9564,10503
26266,6698
1,46860
1,26043
51193,6422
25024,2113
40526,225
1,18910
1,51533
3168,20570
47155,2113
1,17744
15380,250
41678,133
13683,19886
1,3579
1,23428
3403,133
52137,21785
1,2760
1,3711
9266,30587
4151,20379
1,16705
1856,4272
4151,52316
1,35167
7036,32425
47968,299
1,25063
46865,13310
1,17595
1,2492
