hasofficeincountry_1,hasofficeincountry_2
842,843
1,989
1840,494
1,703
1768,2626
6261,1885
6690,614
7377,1901
911,1885
8304,700
8436,642
3052,494
8044,245
1,10172
1,309
2083,13305
13121,3124
14930,116
11143,614
17656,614
17688,3124
10297,9390
19160,494
19451,1098
2627,494
1,19991
493,494
20892,1885
2,1885
10297,901
21453,20515
6374,614
13597,614
11267,1098
1,17461
5585,2626
1,11665
15577,614
10297,13980
1,25107
11267,6097
5739,614
1,15355
1,987
10417,614
498,245
27897,1885
21453,494
29561,319
1,27083
10297,28474
1,17625
2960,700
1,5646
1,4736
1,2723
10297,1811
1,3040
21143,1885
13121,614
1,9393
1,23990
6023,5010
10578,614
36699,700
36831,1885
19134,614
1,3124
21883,614
16787,901
16592,8473
10297,20746
1,1824
1,40342
1,2626
17688,4884
1,10895
13231,8459
1,33742
1,8027
1,1817
42688,1885
24561,116
44914,4884
1,1059
1,8749
1883,1885
9148,2626
46245,1885
14930,843
20729,901
36185,1885
1,1158
1,1884
5506,614
19134,3124
1,14350
1768,6431
48314,614
4642,614
1,4597
49167,8459
9501,4884
15083,614
1,901
8354,614
6794,1885
10297,295
21368,1885
11267,90
32143,1885
1,13980
1,295
15994,1885
1,43467
4024,1885
6762,614
16592,8459
52875,614
52998,1885
5109,5108
1,6097
1,2342
21285,1885
2627,614
1,3501
6931,1885
1,1188
15500,1885
1,2401
1,127
7756,1885
11267,494
5774,1885
1,33013
27919,1885
584,494
1,14069
11267,127
17108,2701
1,15152
16,1885
1,9080
19962,843
36254,3040
24561,349
8077,614
5113,20515
910,977
39480,1885
10008,614
44914,3124
5370,614
1,19665
58701,1885
2659,901
1768,12015
1,3348
48852,1098
1,3273
15079,13980
12547,1885
7991,1885
1,4915
35573,614
21040,20515
5113,494
5952,614
61059,614
910,1885
8195,3124
1835,3124
26713,614
1,53547
9749,700
1,2129
24263,116
1768,27083
3607,1885
1,5505
1,15880
33560,614
1768,3124
1,9767
63448,494
19160,20515
1,787
11276,494
57962,1885
1,5995
1,6614
19451,90
1,9274
1,13305
34377,700
1781,614
26127,1885
21368,494
27919,3124
16071,494
16071,1885
65705,1256
27910,1885
14205,977
1,3062
1910,1885
11267,116
7530,116
10297,116
14200,90
1,137
13231,13099
4931,700
1,15627
1,10296
8928,614
13231,116
15561,1885
50411,349
7883,23402
1,20204
5585,1098
1,12369
842,614
17073,1885
1,11628
1216,901
1,2216
981,614
19787,3124
4429,700
1,636
1835,614
19321,20515
1,21925
44465,2626
21368,20515
8920,614
3051,700
48852,90
1,6437
2176,614
1,116
1,35911
13231,494
2224,3124
493,14018
10297,614
11118,3124
11267,9393
44173,843
11118,614
10297,13099
1,614
1,8036
2627,901
32805,700
33494,700
13231,843
6215,1885
1,1320
1,16675
1,1321
13231,13230
53849,1885
11267,5863
24244,3124
71991,3124
34390,349
1,128
14183,5593
11125,614
1,17850
16071,20515
698,20515
2627,3124
10297,700
71991,614
1,245
1,7660
1,6069
52624,1885
1,22385
1,1157
1,13037
1,642
1,3797
16377,494
1,12277
10297,7679
1,5043
11267,5108
26269,103
1,3982
902,901
6789,700
3607,11103
14070,14069
1,4884
27070,614
15810,1885
138,494
138,8459
11267,4556
11267,843
1768,614
4380,614
1,465
1,10523
354,614
1,21197
68826,614
1,22782
72374,614
26903,20515
21040,494
74602,614
5585,494
13231,614
55993,1885
1,972
1,10940
43025,3124
14930,2701
16377,20515
1,23402
7756,4556
1657,494
45073,1885
1,700
1,678
1,908
1,1062
14070,1188
59907,614
698,494
62823,1885
1,4556
1,843
44073,700
1,20515
1,19288
1,44026
584,20515
7974,700
54238,614
64431,614
11267,977
11143,3124
5113,1885
1,13099
1,13865
24348,1885
1,17758
1,7836
19321,494
1,891
1,6071
11267,13230
1,724
138,1885
69463,614
1,3832
3052,20515
10064,614
48737,614
1768,6044
1,5593
20661,3078
6215,614
2627,8459
10297,7473
23039,700
1,12194
53055,1885
1768,1884
26903,494
32452,614
