hassibling_1,hassibling_2
2600,1995
1996,2997
1995,2600
1996,9479
12555,12556
12756,12757
1996,13993
14673,2888
1996,16435
1234,19462
19549,19550
18340,25030
9296,25030
10085,15603
1996,33283
26329,1858
1996,35338
35799,1234
1996,37689
35338,40187
40426,40427
19462,1234
1996,9296
1996,45057
5325,2308
34529,1122
1996,5405
50661,35526
1996,51552
37407,52039
1996,52265
19550,19549
1858,1234
18340,1234
8734,2875
32899,27710
2875,9215
27710,40578
39392,12756
53599,20425
1995,57395
25504,8594
54231,52821
25030,9296
34529,5405
1858,3787
8546,55070
16315,4044
1996,64248
40187,35338
18231,41973
25030,18340
1996,20293
8734,9215
1996,68251
1996,52796
27282,41137
1996,69606
26329,26328
1996,56756
8546,70532
46767,26954
1996,57457
2888,14673
49854,2875
2924,19349
70384,72196
37856,14087
35526,51741
27710,26328
70384,70383
1234,1858
44669,2600
66170,37856
2308,5325
26329,3084
9215,8734
74048,74047
1996,62616
41137,41136
1996,1122
12556,12555
74799,2373
51741,35526
1996,1995
42167,18340
2875,8734
1996,66975
46663,46662
26328,26329
16848,8576
8594,25504
