hassibling_inv_1,hassibling_inv_2
1995,1996
1858,1234
3787,1858
9215,2875
20293,1996
26328,26329
19549,19550
2308,5325
15603,10085
27710,32899
12556,12555
5405,34529
12757,12756
25030,9296
14087,37856
1234,19462
12756,39392
2875,8734
16435,1996
40578,27710
41136,41137
18340,25030
2600,1995
2600,44669
45057,1996
46662,46663
8734,9215
19550,19549
51741,35526
13993,1996
52796,1996
20425,53599
52821,54231
9296,1996
55070,8546
1858,26329
56756,1996
52265,1996
57457,1996
8734,2875
19462,1234
3084,26329
8594,25504
62616,1996
26954,46767
19349,2924
2875,49854
1122,34529
35338,40187
1122,1996
12555,12556
37856,66170
66975,1996
9215,8734
35526,51741
5405,1996
5325,2308
68251,1996
41973,18231
4044,16315
70383,70384
40427,40426
35338,1996
35526,50661
26329,26328
37689,1996
52039,37407
72196,70384
25504,8594
40187,35338
1234,18340
70532,8546
57395,1995
25030,18340
33283,1996
74047,74048
1234,35799
51552,1996
1234,1858
2888,14673
41137,27282
2997,1996
2373,74799
26328,27710
9479,1996
14673,2888
9296,25030
1995,2600
69606,1996
8576,16848
18340,42167
64248,1996
