haswife_1,haswife_2
6187,6188
9039,9040
9334,9335
10322,10323
11638,11639
12037,12038
12053,12054
9048,14105
15241,15242
19174,19175
19614,19615
11597,19646
9777,1995
21,11994
22174,22175
22575,22576
23870,23871
24443,24444
25665,25666
28172,28173
28472,28473
28488,17553
2992,27238
16947,29415
26059,30157
32594,32595
3242,3241
9356,33829
34412,34413
11510,34424
3230,10383
36462,36463
34564,34563
37566,37567
20838,22451
38709,38710
38816,38817
39685,39686
39766,39767
28651,28650
13754,33420
42214,42215
4879,9120
39526,36130
43704,43705
36859,44426
8683,41987
1858,7867
13122,18036
34845,45956
19106,19105
46231,46232
47988,42590
14108,14109
24267,34261
9580,9579
50842,49572
3627,4965
51174,51173
2997,52593
12155,19879
35542,53335
18300,37718
7050,12480
33734,54632
7841,25100
5886,27669
10086,45596
18814,18813
437,13068
10336,45552
19632,56162
30020,30019
57981,57982
23331,49369
17524,28784
4537,58488
33665,25919
9931,59063
49695,49694
51474,1566
187,59662
59722,59723
25601,57408
60159,60160
52423,48045
1652,1651
33629,33628
60837,60838
12071,60930
58938,61081
42783,42782
7456,47294
61675,61676
25606,58705
18510,39413
62897,62898
31642,46040
62990,30304
63118,63119
41086,41085
20150,20149
18040,19551
24542,64513
64633,64634
64967,23529
46545,56648
22303,16930
66068,66069
61092,61091
5648,36877
42452,43958
32660,60211
60699,60698
67480,67481
9296,10930
51382,51381
6945,18897
23800,68378
33518,36832
45569,68157
23536,61188
3525,2393
13440,69267
55222,69543
69653,69654
48783,48782
6590,67921
64827,64826
27405,52111
29243,36091
43503,59619
59998,70488
25999,39986
21158,71255
11360,17311
22587,19759
65958,65957
19760,71585
45213,38293
8546,16588
27132,27133
4850,40690
56408,56407
67471,67470
24564,24563
33369,70907
67595,67594
20164,55609
33030,26281
23442,26545
7691,71434
778,12880
6607,33545
29310,73166
51429,51430
5793,25520
8850,69650
44185,44184
73779,73780
56214,56213
20559,5433
38715,18186
71586,15024
18592,72165
41973,9998
69884,69883
16877,18200
8370,22039
45012,45011
22844,53403
13790,66234
13308,11471
73381,73380
16302,63109
68262,68261
42155,42154
74349,74348
38580,17153
36871,39068
935,41515
30288,15992
1712,46755
72162,72161
63479,49291
58617,68539
37488,44308
19243,74749
55726,55725
7182,7181
29960,29959
16346,16345
64829,64828
8498,6213
21160,52629
15068,39237
36948,52287
25676,65278
267,266
65595,32413
64685,64684
42971,42970
49173,70167
