hotelincity_inv_1,hotelincity_inv_2
133,950
235,1195
250,2370
4007,4008
751,4084
4723,6451
235,6777
6994,6995
7921,7922
944,8279
751,3863
9021,9022
751,9408
4723,9548
2514,9727
8614,9778
5121,9914
10231,10232
8592,11310
565,11407
751,11433
1454,11611
133,11858
1454,11912
751,12131
133,13213
8592,13447
133,13591
731,14073
235,14981
15237,15238
133,16192
565,6655
528,16956
235,17245
1454,17428
207,18061
235,18219
133,19841
19901,19902
299,19952
4723,20344
1454,20930
528,21591
299,21855
731,21882
3742,22481
3930,22609
2514,2513
565,22952
299,23276
10503,23965
751,24409
2113,21693
6379,25609
565,26042
751,27022
528,27036
751,27527
5228,27753
80,27950
133,28041
13394,28072
751,28083
235,28164
4861,28262
4723,29168
10503,29171
751,29189
751,29663
1399,29838
751,29862
183,30171
10244,12426
74,30629
565,31932
24781,31990
32877,32878
751,33275
299,34111
751,26722
133,34855
565,34931
565,35113
133,27202
5896,35722
17089,35865
250,36034
235,36397
4723,36606
299,36709
133,36927
815,37087
5790,37376
299,35347
13981,19130
815,37690
751,32301
19932,38414
5121,38656
7906,38673
133,31098
13568,39524
36835,39533
250,39752
299,39781
39901,39902
235,30983
565,33820
3992,40593
565,16711
40872,40873
41020,41021
17750,41218
3992,41246
299,41259
565,41793
2514,42143
2514,31163
611,34326
2662,14545
1916,37712
731,43219
133,41034
3563,43620
1891,43856
1916,44011
207,44068
565,44141
528,44723
1916,44871
133,45694
751,45749
133,46033
4723,43223
6386,46137
7579,46301
5896,46424
299,46788
751,12003
731,47045
28299,47086
1377,43394
5372,5371
133,47510
1916,5229
1454,8224
751,28450
6379,41574
565,48820
528,49262
4723,49490
183,49502
114,49544
299,49884
3992,50139
731,50352
299,50583
914,50591
1454,23549
751,50947
74,51061
36778,51159
1134,45902
133,51275
731,51302
751,45756
8990,51372
751,51600
40872,42879
20748,52048
133,289
299,52077
6422,52218
815,17954
1916,52368
4861,4860
7220,52555
299,52989
528,24154
731,17381
299,49367
4723,22339
299,53305
8647,53376
299,27213
9500,53723
235,44575
34272,54086
183,54222
1399,54354
3930,46613
299,2650
4723,54049
751,50870
133,23880
565,21255
1454,55035
235,55800
133,50953
5896,13808
751,56154
1399,43766
751,13426
751,54418
183,56517
237,38614
19596,49320
20748,53355
4723,56891
565,56986
731,57008
299,15534
751,57214
1916,23493
11505,11504
565,37896
751,25347
133,57621
565,57687
528,42078
751,29462
133,57914
7921,58311
41407,56788
235,58506
4236,58597
10359,58644
299,58815
565,58952
6938,58969
133,59120
751,59156
3222,43621
56462,56461
59284,59285
4723,59381
565,59442
9500,11792
11225,60137
133,60224
9500,60281
528,527
235,60678
2740,38916
1647,60946
7057,60995
4053,45346
731,51066
250,61139
2514,61282
3992,48052
133,43718
751,61638
8310,62006
7220,47034
1399,62142
6386,30413
1421,62375
235,62406
5790,31501
731,15566
133,53143
299,63027
5459,63046
299,18764
114,63180
3930,21723
235,63187
133,63339
565,50867
611,63450
183,47150
751,17836
19596,63754
133,58437
751,63956
15246,53591
