invertebratefeedonfood_1,invertebratefeedonfood_2
2088,4139
1793,4188
386,1023
3131,5389
1976,6318
5318,3996
27,6699
8857,8858
27,8963
386,10424
1029,11382
5612,13546
17373,3269
6128,6699
2774,17942
2088,8858
1029,12828
996,6699
19993,8858
23424,4188
386,24908
24721,13984
17940,8858
5486,12828
13372,26878
2273,6699
782,16674
1160,27630
16019,363
2462,701
27,8858
1976,11382
5290,11382
30420,6699
23390,11382
17940,3130
9041,3130
9350,8858
386,6699
386,33659
24721,34609
35095,8858
12501,3996
7885,11382
29492,11382
36376,11382
37397,6699
27,32319
6864,3269
39501,8858
9041,19501
1159,39895
16019,3130
10425,10424
2088,42048
2462,3996
9041,363
386,4188
7153,8858
386,43511
24721,3130
2461,3996
9041,3996
44301,3269
2088,3545
32119,11382
12501,6699
34167,3996
7669,12828
49726,10824
22288,8858
27,3545
2461,363
386,32319
386,1636
1976,12828
2088,223
996,4188
3131,3130
24721,6699
5486,11382
6463,3996
386,8858
2461,6699
6127,8858
2273,7306
23673,3269
13372,6699
3696,8858
1159,6699
35620,4188
27,701
6864,3996
11381,13546
9229,13546
59089,6699
996,8858
27,18995
8871,6699
31527,11382
32356,8858
2462,2754
2462,363
40918,13546
2461,3269
7669,11382
2088,12828
6127,363
2273,701
8298,13546
27,363
4979,4188
27,64229
64401,3269
17837,363
386,13815
60941,10824
6127,6699
3696,6699
1159,17942
6864,701
2922,3303
2088,701
996,67045
2273,4188
63204,6699
9350,6699
67773,3269
24721,3996
2088,18995
13372,8622
38120,6699
386,363
4829,8858
27,2423
17837,3996
782,17942
3696,69143
6864,32319
386,59880
70165,13546
13372,13984
27,11382
6864,6699
2088,363
996,3269
3696,18995
2916,11382
996,7306
17837,3269
996,3996
386,1139
72312,3996
2088,11165
386,3847
27,62824
27,34609
386,12733
386,3269
17373,363
5256,3996
1300,11382
2088,32319
2774,16674
30121,6699
2462,7306
9041,50036
2462,32319
2916,12828
12877,6699
1300,701
27,52838
9041,8858
386,3996
23832,11382
10425,6699
886,13546
886,11382
23813,6699
3696,61850
37397,3130
12877,8858
38017,5389
3696,34609
6864,363
386,16324
27,48082
19196,5389
1976,8858
27,7306
1159,16674
386,45609
45337,8858
9041,4188
27,57018
74335,3996
3131,11382
30189,3269
996,13546
386,701
72979,8858
60397,8858
6127,10424
21846,8858
3696,4188
27,4188
5841,6699
1300,3996
3696,701
27,12828
27,13546
1159,701
1159,3996
