itemfoundinroom_1,itemfoundinroom_2
505,506
693,921
1010,93
1290,1291
1606,1607
1619,1620
1742,1743
693,2090
2183,2108
1606,2325
693,2560
693,3036
3270,3271
3270,3316
1838,3495
2684,3510
1838,3802
693,3812
3940,3941
3984,3985
1838,4043
4361,93
693,4381
4594,1584
693,4687
4909,4910
693,5049
693,5072
5090,5091
693,5124
5184,5185
1838,5208
2651,2108
1606,5241
3557,2838
693,5683
3270,5831
3557,2187
734,6247
693,6392
693,6447
6503,6504
693,5730
7169,7170
1606,7439
7584,2108
3270,7636
7722,7723
693,7963
734,8229
693,1787
693,3202
3270,8930
693,9000
734,1584
693,8419
1606,9412
734,9593
560,5785
9844,5187
693,5741
3270,9992
693,9994
693,10143
693,10226
10301,7033
10342,93
1838,10357
693,10666
10693,2108
10696,2108
1606,10718
693,10751
693,11100
11115,7536
693,11458
3557,11518
7722,3510
3270,11599
3940,6504
693,11901
693,11935
1606,998
12162,2108
560,12212
734,506
12620,2108
693,12679
693,12939
23,13024
693,9572
3270,13663
1606,13781
693,13814
13953,13954
1290,13985
693,14039
693,14054
1838,14197
12173,14343
1838,13080
734,12470
5090,6934
3557,1779
6473,13781
3270,15048
734,5240
693,15148
15233,1779
734,15308
734,15335
693,15443
734,15565
15588,2108
1838,15812
3557,15854
693,12907
693,15591
1606,16427
5184,16430
23,1196
16635,1620
693,16751
693,16888
734,16979
2040,5187
1606,17076
560,17167
693,17259
693,17346
734,17360
3584,1291
1606,17410
693,17435
3584,17509
1606,17511
734,17558
7025,3274
734,17763
693,17910
18170,93
18435,2108
734,18463
693,1743
645,18958
693,19045
1838,19161
19187,5187
19215,6504
1606,10544
18405,2048
734,19365
693,12234
693,7723
3557,17167
1838,16116
1606,3417
645,6504
1838,11305
20030,1620
4594,19477
20053,5187
1838,18520
20125,2108
1606,11091
3270,20311
693,20406
3270,20770
1606,20844
693,5154
5248,20902
693,15834
21001,1620
693,21013
3270,21119
1742,16430
20030,21560
645,8719
1838,21793
1156,1779
21822,2108
693,8190
7025,7024
734,12787
22261,506
693,18267
693,14479
693,746
693,22300
693,8930
693,22413
15346,93
3270,22478
2040,3316
693,6452
1606,22769
734,22800
3940,22809
693,22884
1838,23042
734,19045
1838,23079
1290,19915
734,2776
693,23353
693,23555
693,23649
693,18974
23838,6663
4909,23899
693,23901
5184,93
24158,2108
1548,5187
734,13246
18129,11518
1606,8140
24568,1779
4909,24590
3557,19724
7722,2108
693,24691
693,24759
3270,24772
1606,24936
3270,24948
2040,16430
693,7880
4361,7527
3270,25169
1780,2108
693,25289
734,25364
3940,2108
25564,2108
693,25668
3557,23686
1606,25840
1742,644
693,25947
560,25950
3940,7170
693,26300
25942,2108
3557,26518
1606,18463
1606,15081
1606,26610
734,23042
7722,3941
693,10632
1838,26825
3270,22809
693,7087
5090,3941
27147,2108
645,11518
1606,93
693,27290
693,27397
693,27423
560,93
1838,27525
3270,27536
693,27639
7025,10751
1606,8719
27884,1743
1606,27898
4909,13954
693,18520
2040,28220
21777,2108
560,2187
1156,93
1606,28365
3326,3232
24311,2108
693,29004
3557,1743
734,28900
693,29094
693,6247
7722,9593
1838,13111
734,1743
1197,13954
3270,28135
693,7496
645,3910
94,93
693,11676
29551,1779
693,29559
645,10135
1606,5831
693,29882
693,15418
1606,30101
3270,30110
7391,3910
1606,29064
2040,18128
3270,30260
3270,20625
1838,3036
734,2108
30444,7390
3270,12971
30542,5218
693,30576
3940,13781
19331,2184
693,30678
693,4962
3326,506
2040,21441
693,3232
1838,13778
31107,506
560,17690
9849,3910
25323,1291
1156,5187
693,31302
18129,3910
3984,8713
693,7536
693,31396
3557,27485
734,2187
693,31473
734,10135
1606,31524
19215,6663
693,3048
31624,2184
1290,3232
693,15308
18170,5187
734,23248
693,32004
693,32010
734,29882
29931,5187
693,32536
32570,3910
2551,2108
32690,2108
32710,1779
3940,6663
560,28187
693,20375
693,13111
3270,33165
1606,32900
3326,3325
693,26530
1606,33451
693,506
560,21119
4563,2187
693,33988
7722,21062
1606,16980
2040,506
34077,2108
560,5831
693,14504
693,15995
1606,18958
693,34354
693,34361
734,18904
1606,2028
3557,11774
734,15995
3270,34483
3270,644
734,3202
693,19915
693,28135
23,1620
1156,18128
12562,15995
34932,2108
1290,34933
3270,34959
693,32040
34980,15148
1838,35137
34980,2108
1606,35252
35311,1779
560,23756
35349,1584
693,14669
1606,28187
734,2120
693,22226
36026,7390
3270,31795
1290,36127
3557,10668
3270,3985
560,23279
27884,5187
734,36340
36393,2108
36500,5187
34019,5785
7722,5785
36622,506
734,10751
1838,36744
8248,8247
645,36760
693,36764
693,36784
3270,17076
734,27649
734,36915
734,2982
21581,2108
3270,37121
734,11542
734,34804
6473,16430
4594,13080
1606,7382
693,24725
693,37589
693,37606
1838,37616
1606,2184
734,37703
34019,20625
560,6663
3270,2184
693,37796
1010,7033
693,15632
3270,21441
693,14343
734,3812
1606,38002
32710,2108
693,38064
38079,1620
560,30753
1838,24220
693,21912
693,30839
3270,10135
3270,32003
645,7170
30542,2184
3270,93
693,5341
693,38860
3270,11518
3270,20753
734,11859
39039,2108
1606,20365
3270,39084
39090,93
693,31250
1742,22850
693,20407
3557,7170
693,36317
4563,16430
693,30294
3270,22571
693,39478
1010,23279
693,14197
693,21722
1606,39602
3326,3417
16639,10382
39813,2108
693,32133
560,621
734,39878
1742,5185
734,9780
32570,1779
3270,7390
693,27900
3270,22850
693,39878
1606,1743
693,7174
1838,40267
40339,3910
693,14791
40677,1620
40708,2108
16067,23279
693,40833
1606,32003
693,17763
1606,32361
693,10333
1606,5185
693,5218
560,3316
3270,41257
29931,16430
1838,21441
693,41732
693,11773
693,41763
