itemfoundinroom_inv_1,itemfoundinroom_inv_2
22,23
93,94
559,560
644,645
692,693
733,734
1155,1156
1196,1197
1562,560
1584,1585
1779,1780
2025,734
1779,2040
2048,2049
2086,734
2108,2109
2184,693
2538,1838
2108,2551
2108,2651
2838,1838
2926,693
93,3112
3325,3326
2323,734
3414,693
3520,693
1779,3557
1584,3584
3910,3911
4194,1838
4214,693
1779,4509
93,4563
4840,734
5187,5188
1620,5248
2108,5520
5664,560
5831,560
2108,6404
6452,734
5187,6473
6663,1010
6756,693
2982,693
6934,5090
7024,7025
7065,3270
7087,693
3910,560
2108,7236
7382,1606
7390,7391
7527,4361
644,1742
2108,7851
7908,693
8070,734
8140,1606
8247,8248
1779,8294
2108,8248
8411,693
8476,1606
5196,693
8557,693
8713,1606
8719,3940
1291,3723
8833,560
8921,693
9595,1838
9648,1606
9842,693
3910,9849
9856,693
10130,693
10135,10136
621,560
10135,734
10382,1606
10544,734
10654,693
10668,3557
11091,7391
11305,1838
3802,693
7033,11385
9593,734
11542,693
11774,734
11859,693
621,693
12172,12173
12234,1838
5185,5184
12288,693
12470,1606
506,12562
673,693
12787,693
12971,1606
7723,3326
13246,734
13367,693
6934,3940
13707,1606
13867,1838
2025,693
13921,3557
8833,1606
14341,693
14479,693
14504,693
14717,1606
14747,1606
2108,14829
14868,693
1155,2040
15081,3270
15115,12173
15125,734
15139,1606
8930,693
15303,560
3910,15346
15418,693
7723,12562
15569,693
15570,693
2108,15651
733,3557
146,693
2108,16067
16101,693
506,2040
16116,1838
16174,693
16330,1838
1584,1548
1779,16639
16980,560
17041,693
17084,693
2108,2940
17660,3326
17690,560
12907,693
1779,560
15303,3270
1620,18112
18128,18129
8442,3326
18411,1606
10357,1838
2108,18632
7880,4909
18781,693
18838,693
18892,693
8313,693
506,4594
19121,693
19230,734
15308,19331
7174,693
19598,693
19649,1606
1779,3984
7390,19683
2108,2320
2108,4509
19915,1290
5187,19979
20006,693
20099,3270
20287,3326
4616,693
20365,3270
5072,734
7880,734
20516,693
16979,734
3910,3940
20625,3270
7390,19215
20753,3270
2108,10301
2108,21581
5785,7722
16342,734
14504,12617
2108,6503
8719,9849
93,21777
3048,693
10718,3270
2108,22037
2028,1606
22295,7025
10751,22301
8719,693
12234,693
22472,693
22527,734
12212,1606
10333,734
22850,1742
15148,1606
22979,3270
22985,693
1779,23178
23248,693
23279,3270
7170,1010
8719,4563
15335,734
3941,1606
23756,1606
17408,693
19915,693
1620,23980
5831,3270
24198,734
24220,693
2108,24311
24412,693
2108,24477
3036,1838
2184,3940
24591,693
19477,734
18564,693
10135,3326
24797,693
1562,1606
15995,4594
21119,560
1155,4563
22478,3940
23079,1838
5091,1606
3510,2684
3941,5090
21062,693
2120,3270
5785,5217
2108,25942
17509,1548
10135,1606
6504,1010
93,2040
18411,560
6504,6503
93,10301
16430,5184
1779,26261
8411,3270
5187,9844
5185,560
21441,1838
1620,693
18345,693
26865,693
26973,693
1196,23
27004,1606
1779,27104
18781,7722
27236,693
18128,1156
11091,14829
2048,18405
2447,1838
27485,3557
20625,560
27582,734
27582,693
27865,693
6504,3270
27924,693
27958,3270
23694,693
2108,28047
28135,734
28182,3270
28187,1606
7170,2040
15591,12617
28276,693
26865,734
28482,3557
26672,19979
2108,645
28700,693
28835,693
3812,1838
29064,3270
6504,645
25490,693
16427,1606
1743,1742
29362,693
24725,734
12470,3270
29728,1606
22527,693
29811,693
2187,29931
5091,4563
30294,693
30300,3557
22850,1606
27004,693
25168,3557
30581,1838
30664,693
17387,693
2184,19331
7170,5184
30753,1606
30839,693
20516,734
30950,734
22769,1606
13778,1838
31090,560
5683,693
31250,693
8719,1010
31327,693
5187,1742
5154,1838
31416,3270
9572,693
2108,15233
31500,693
31617,693
1584,31702
31795,1606
32003,560
32040,693
32049,734
2108,32098
32133,734
31738,693
1620,32251
32341,3270
32361,2040
22809,3270
2108,734
9593,7722
18781,3270
25950,560
32647,693
32680,1606
1743,1606
11458,693
15148,734
32900,1606
8719,3984
33042,693
2108,19215
93,693
10751,1548
4989,693
5187,3940
1743,2040
33356,560
30631,1606
9000,693
33416,693
33554,734
25950,3557
21013,693
8442,734
12485,693
3316,1606
33967,3557
24948,3270
621,1838
10382,16639
34073,693
3232,3326
19915,734
34139,693
23686,693
