lakeinstate_1,lakeinstate_2
9354,9355
9671,3805
9766,2366
11243,844
12825,6329
12838,2366
15110,6288
19799,1868
21789,321
23486,1868
24223,1868
24272,3005
26526,2855
27940,6329
28411,321
28864,6329
29998,270
21916,1092
31656,1953
31692,1868
33488,1868
33728,8272
35628,4299
12407,9972
37036,1868
20252,904
38792,904
41471,6288
26054,1868
41805,1868
17273,321
42148,42149
41040,321
12146,2366
26454,904
46303,2366
49040,6329
50017,321
42695,1016
37756,3805
33243,1270
11595,904
52127,1868
52644,6288
53018,1868
15262,6329
54839,2855
51489,1270
16525,3805
56932,1868
55799,904
57496,3805
42689,2366
18597,6329
58732,321
59257,6329
33351,12642
59643,3262
60404,3805
61032,6329
57591,6329
41485,6329
18648,1868
21085,2366
27717,3805
17638,6288
11562,6329
24155,1868
63967,6329
64473,6329
3825,1868
55970,1016
47989,3805
66648,2366
66728,6329
67802,1868
22736,1868
68011,3805
55719,6288
68327,2366
68516,321
53550,2855
64226,6329
56776,1868
69719,3805
69842,904
69911,344
32988,1270
27657,6329
70336,904
63186,2366
70446,1868
70502,9972
70580,6329
70921,3805
69851,1868
71047,6329
71118,1868
67034,1868
71173,2366
71308,321
71344,904
25824,1868
62042,1868
71261,1270
28841,1868
53152,270
69494,25471
61205,6288
66167,904
58245,4299
72778,3805
72857,1868
43443,3805
70304,6329
39599,2366
9528,2855
33186,321
32202,1092
12229,6329
74062,2366
69318,1868
74264,1270
49698,321
53978,5802
71038,1270
64886,1868
72636,6288
42398,904
74957,6288
72399,1868
70512,4299
28207,6329
47305,1868
65140,904
73174,321
71239,904
59201,1568
72787,1868
73538,1868
66828,6288
55024,9355
45070,1868
56012,321
