lakeinstate_inv_1,lakeinstate_inv_2
1868,3825
2855,9528
6329,11562
904,11595
2366,12146
6329,12229
9972,12407
6329,15262
3805,16525
321,17273
6288,17638
6329,18597
1868,18648
904,20252
2366,21085
1092,21916
1868,22736
1868,24223
1868,25824
1868,26054
904,26454
6329,27657
3805,27717
6329,28207
1868,28841
6329,28864
1092,32202
1270,32988
321,33186
1270,33243
12642,33351
3805,37756
2366,39599
1868,24155
321,41040
904,42398
2366,42689
1016,42695
1868,23486
3805,43443
1868,47305
6329,27940
321,49698
1270,51489
3805,9671
270,53152
2855,53550
5802,53978
1868,33488
9355,55024
1868,52127
6288,55719
904,55799
1016,55970
321,56012
1868,56776
6329,57591
2855,54839
4299,58245
1568,59201
2366,12838
1868,41805
6288,41471
6288,61205
1953,31656
1868,62042
2366,63186
6329,64226
1868,64886
904,65140
2855,26526
904,66167
321,50017
6288,66828
1868,67034
2366,9766
1868,37036
6329,66728
6329,63967
9355,9354
4299,35628
6329,64473
1868,69318
844,11243
1868,56932
25471,69494
1868,67802
1868,69851
6329,70304
321,68516
4299,70512
1868,53018
1270,71038
9972,70502
904,71239
1270,71261
270,29998
904,38792
1868,45070
2366,66648
321,28411
1868,72399
904,71344
1868,70446
6288,72636
3805,70921
1868,72787
3805,68011
1868,71118
321,73174
1868,73538
6329,61032
3005,24272
321,58732
3805,72778
42149,42148
2366,71173
6329,70580
3262,59643
1868,72857
1270,74264
6329,12825
6329,49040
321,71308
344,69911
6329,71047
6329,41485
3805,69719
904,69842
8272,33728
3805,47989
6288,74957
1868,31692
3805,60404
321,21789
2366,46303
904,70336
3805,57496
6329,59257
2366,74062
6288,52644
1868,19799
2366,68327
6288,15110
