languageofuniversity_1,languageofuniversity_2
228,229
711,3397
711,3514
711,6320
711,7816
711,8210
711,10532
711,10966
711,12096
711,710
711,12621
711,13392
711,14405
1060,14509
711,14905
711,15402
711,15637
711,14261
2930,17605
2930,17467
1060,19092
711,19356
19481,12269
19543,928
711,19622
711,19676
1650,21786
711,1751
711,22401
711,5326
19481,23094
10608,23459
711,23853
711,928
711,24322
711,24378
711,11846
711,25850
711,26809
1060,27292
711,28126
711,9770
711,30095
10977,17467
19481,710
711,31861
711,32113
711,28652
2930,12269
711,33194
19481,17467
711,33391
1650,34332
5554,8438
711,26174
711,32543
711,36253
5554,36273
711,36631
10608,5326
711,37879
711,38302
711,38732
10977,34332
711,39157
1650,27918
1650,11846
711,1461
5554,9770
711,41830
711,42054
711,42445
10608,23200
711,42573
711,6606
711,43148
711,43964
711,3252
711,24877
711,45093
711,45351
711,45556
10977,29290
10608,45702
2930,8438
711,31512
5554,45915
1060,46580
711,3503
711,46694
10608,46708
711,26805
711,34332
711,47264
1924,47325
711,47681
1060,43731
1650,3252
19481,6606
711,48974
711,43107
711,46531
711,15601
711,49586
711,49899
711,49952
50113,43731
711,8438
711,43189
1060,23516
711,50883
711,15069
19481,19356
5554,23853
711,11943
711,29344
5554,34946
711,47325
711,23094
228,42315
711,53702
711,48455
19481,49033
711,53972
1924,1923
711,54431
2930,19485
21131,24248
711,12269
711,41184
1060,55198
5554,55429
711,55447
711,55462
19481,5326
1650,8438
1650,9018
711,40245
711,25808
711,56988
711,23769
711,48424
711,57158
19481,15069
19481,54299
711,57473
5554,23769
711,27918
5554,32135
1060,6982
2930,5326
5554,22007
711,58044
1060,58863
711,49033
711,49178
59641,59642
711,59796
711,51452
1060,22971
2930,1694
711,19485
711,50544
711,24041
1060,2525
19481,9770
711,32281
2930,2929
10977,36273
1650,15069
2930,11846
2930,39748
10977,62992
711,28281
711,27292
5554,17649
711,39748
711,54428
19481,17605
8,33391
711,63699
19481,14275
711,20750
711,25966
711,36233
711,52312
711,17168
711,36188
711,10993
711,65184
2930,9770
1060,17467
19481,2525
2930,14275
711,54573
711,21130
711,1694
711,38687
711,9188
10608,8438
711,63999
19481,11380
711,66839
19481,11846
711,67203
19481,6784
711,2929
711,41186
711,30900
711,67763
711,24037
711,60391
19481,39748
711,50760
1650,56801
711,58895
1650,14275
5554,62250
711,68938
11555,5326
711,23779
19481,23769
711,17432
19481,32135
711,21786
1650,6606
711,6784
711,67423
711,39913
1060,710
711,69770
711,1649
711,44721
52019,36273
10977,9770
711,7959
711,68729
711,70329
711,11380
5554,50883
1924,14509
711,70696
711,70740
711,70753
1924,70792
711,70799
711,30458
19481,23853
711,61793
1650,61471
711,6982
34502,28281
711,13906
711,36555
711,43731
5554,36188
711,43677
711,68554
11555,9770
711,72112
711,60730
69506,17467
711,71442
10608,17605
711,6468
711,45249
711,65727
8,43731
5554,48974
52019,9770
711,20369
711,14509
1650,1649
711,51192
5554,6784
711,49961
711,65677
711,40079
711,72740
2930,66785
711,57771
5554,60084
711,54299
1060,73946
711,57682
711,72046
711,58881
8,41582
8,22971
1650,3503
711,47018
711,57855
711,69208
5554,66839
711,9208
19481,29290
711,29290
711,50080
711,72530
1060,27711
19481,19485
19481,1461
21131,21130
711,47364
1060,9770
1060,74520
711,14574
711,41496
5554,36555
711,22971
711,74761
711,55775
1650,14509
711,42342
711,69439
711,12344
711,17649
19481,1694
711,66992
711,23602
711,36273
711,50441
711,27411
711,43027
711,61998
711,17605
10608,1461
59011,66511
1650,23853
711,41582
711,70906
19481,188
1650,39748
711,14275
1060,24378
711,35850
711,51688
52019,8438
5554,21130
711,73709
711,19722
711,75109
10977,26174
711,74021
711,30258
711,5880
19481,20750
19481,28281
10608,19485
711,24927
711,4610
711,30923
711,74478
711,4209
711,28202
2930,14509
19481,2929
5554,12269
711,43837
711,22007
711,13650
711,64980
1060,5326
19481,928
5554,14275
10977,6784
711,17467
711,66785
711,1923
