languageofuniversity_inv_1,languageofuniversity_inv_2
710,711
1649,1650
1923,1924
2929,2930
3252,711
4610,711
5326,711
6982,711
9018,1650
9770,11555
5326,11555
14275,2930
15601,711
14405,711
5880,711
12269,5554
17649,5554
3503,1650
19722,711
14261,711
17605,19481
20369,711
21130,21131
19485,19481
22971,8
23200,10608
15069,19481
23516,1060
23602,711
23769,19481
11846,19481
24248,21131
17467,2930
19676,711
24877,711
24927,711
25808,711
26805,711
14574,711
5326,19481
27411,711
21786,711
27918,711
19485,2930
28202,711
14275,711
28652,711
29344,711
6784,19481
30258,711
23853,1650
15069,711
30900,711
30923,711
31512,711
17605,711
32135,5554
32281,711
30095,711
34946,5554
6982,1060
27292,711
27918,1650
35850,711
36188,5554
36233,711
33194,711
29290,10977
33391,711
710,1060
20750,19481
14905,711
38687,711
8438,1650
9770,711
40079,711
40245,711
41184,711
8438,711
41582,711
41186,711
14509,711
42315,228
928,19481
42342,711
43107,711
43189,711
43731,1060
43837,711
14509,1924
44721,711
15637,711
17467,1060
45249,711
36273,10977
34332,1650
2929,711
9770,5554
22007,711
11846,1650
46531,711
47018,711
47364,711
48424,711
23853,5554
9188,711
11943,711
49033,19481
49178,711
14275,1650
43731,711
19622,711
50080,711
50544,711
50760,711
23853,711
38302,711
6784,10977
36273,5554
43731,8
51452,711
8438,2930
51688,711
36273,52019
52312,711
17605,2930
8210,711
50883,711
25850,711
2525,19481
31861,711
30458,711
28281,34502
36631,711
54299,19481
54428,711
15402,711
23769,5554
24378,1060
46580,1060
53972,711
3503,711
23769,711
55775,711
28281,19481
22971,711
25966,711
6784,5554
1461,10608
56801,1650
43731,50113
27711,1060
32135,19481
34332,711
57682,711
57771,711
39748,1650
57855,711
58044,711
39157,711
58881,711
58895,711
17432,711
1694,2930
60084,5554
60391,711
60730,711
43148,711
59642,59641
12269,19481
46694,711
12344,711
45351,711
49033,711
61471,1650
61793,711
61998,711
54431,711
57158,711
23094,711
62250,5554
55447,711
55429,5554
6606,19481
48974,711
229,228
24037,711
928,19543
45915,5554
34332,10977
1694,19481
28281,711
47681,711
26174,10977
63999,711
54573,711
1461,19481
14509,1060
17168,711
42054,711
51192,711
62992,10977
9770,10977
65677,711
65727,711
39748,711
12621,711
36253,711
37879,711
66511,59011
66785,711
49952,711
17605,10608
26174,711
66992,711
36555,711
188,19481
6784,711
54299,711
22401,711
39748,19481
67423,711
19356,711
4209,711
45093,711
6468,711
68554,711
5326,1060
68729,711
24322,711
13906,711
50883,5554
6320,711
36555,5554
69208,711
69439,711
17467,69506
41830,711
22971,1060
39913,711
59796,711
29290,711
46708,10608
8438,52019
55462,711
48455,711
58863,1060
43964,711
70906,711
43027,711
23853,19481
71442,711
45702,10608
9770,19481
47264,711
6606,1650
42445,711
12096,711
69770,711
1694,711
38732,711
72046,711
21130,711
1461,711
19092,1060
70792,1924
710,19481
28126,711
64980,711
9770,52019
17467,10977
72530,711
53702,711
19485,10608
21130,5554
14509,1650
72740,711
17467,19481
49586,711
9770,2930
42573,711
11380,19481
8438,5554
57473,711
5326,2930
67763,711
10993,711
7959,711
41582,8
1751,711
15069,1650
27292,1060
39748,2930
32113,711
55198,1060
13392,711
73709,711
1649,711
9770,1060
32543,711
11380,711
56988,711
70696,711
11846,2930
74021,711
43677,711
3397,711
70753,711
36273,711
9208,711
70740,711
3252,1650
12269,2930
20750,711
14275,5554
17467,711
73946,1060
74478,711
2525,1060
3514,711
66839,5554
21786,1650
24378,711
45556,711
23779,711
72112,711
66785,2930
26809,711
7816,711
49899,711
48974,5554
13650,711
66839,711
11846,711
41496,711
63699,711
17649,711
65184,711
49961,711
36188,711
8438,10608
14509,2930
75109,711
70799,711
19356,19481
23094,19481
29290,19481
74761,711
23459,10608
10532,711
1923,711
928,711
47325,711
47325,1924
67203,711
12269,711
19485,711
2929,19481
24041,711
6606,711
14275,19481
70329,711
33391,8
5326,10608
68938,711
22007,5554
74520,1060
50441,711
10966,711
