leaguestadiums_1,leaguestadiums_2
2618,2619
2620,2621
4456,2619
342,5000
604,6285
5172,6873
5172,7243
2618,7357
1001,7484
105,7637
5172,7670
105,8015
257,7046
1001,8866
5172,9366
257,9791
105,10027
342,10261
1001,10488
5172,11096
5172,12963
105,13177
105,4497
5172,14308
105,14329
257,14427
257,19687
5172,19777
1001,20397
105,20932
105,21208
2620,21923
257,5075
22896,22897
105,7518
105,4360
24296,6873
342,25404
105,20942
604,14618
5172,26427
105,24917
105,27178
2618,21871
105,28201
105,14690
1001,8720
1001,28917
105,13018
105,23107
604,31386
1001,31959
342,17607
105,33732
105,33839
1001,1080
257,18398
1001,22638
257,34549
105,8695
604,6577
5172,35872
604,36282
342,36504
5172,37919
105,37933
105,38605
105,5315
342,24250
105,2234
105,12575
257,16311
2618,26427
604,37068
41530,7357
5172,41979
24296,7357
5172,42694
105,38920
105,23302
1001,35842
105,38804
105,3436
105,13600
1001,16864
257,26115
1001,3636
257,24058
342,45869
342,4061
105,1984
257,46641
4456,9366
105,42193
105,48356
1001,48579
105,26037
5172,48738
604,48754
1001,32097
1001,3021
105,50902
105,50954
2620,51701
342,32212
105,49873
105,19458
5172,53260
5172,53917
105,17912
1001,54037
257,54542
342,8605
342,4874
257,11322
105,42676
257,8753
105,47052
2620,56004
1001,9235
5172,56772
105,8239
5172,58012
1001,11884
604,52524
105,25330
604,4061
1001,8197
1001,39711
342,24895
257,30192
105,29493
24296,9366
257,11022
257,9359
5172,42260
1001,33661
105,60119
257,3577
5172,28050
16697,7357
24296,2619
342,21045
342,13501
257,1440
342,16257
342,18819
105,55973
105,48980
342,17480
604,8942
257,38772
5172,56170
105,27307
5172,63276
257,9235
105,63954
342,9401
342,39780
1001,57647
5172,47238
105,30754
105,36223
1001,21068
257,65785
105,65795
105,60763
1001,34756
257,683
604,66109
342,25936
1001,22737
105,2203
342,8289
1001,51188
257,6093
1001,15424
2620,10059
5172,13912
5172,66923
342,46750
5172,7357
105,44250
105,34549
105,37056
1001,9421
5172,54340
5172,68062
5172,21871
105,31039
105,27604
5172,41149
257,24855
257,24960
257,6256
105,47978
105,68972
604,9401
257,66390
105,39350
342,17693
1001,17067
105,55876
105,22373
342,16603
105,23699
257,56106
342,10705
5172,61734
105,37031
1001,10059
105,7611
105,20830
105,24062
1001,21410
105,70513
257,21351
5172,54635
342,11068
1001,9461
1001,14782
1001,22854
257,51188
2618,61734
105,56744
5172,16832
105,54464
5172,14637
1001,38755
2620,50900
5172,72012
105,8604
1001,36113
5172,47862
342,27765
257,64939
257,13715
257,5015
5172,72392
342,57492
5172,55666
5172,69975
105,2020
105,30761
342,16130
2618,63276
105,26160
105,42506
5172,73006
1001,13070
342,15519
5172,43263
1001,19938
342,14618
1001,18712
105,47966
342,30342
257,31675
105,37127
5172,2619
604,62185
257,8992
4456,6873
105,52209
39221,21871
105,23687
1001,8992
16697,2619
342,3749
257,29503
22896,19434
105,43016
105,19925
22896,43263
1001,29809
105,66072
257,18537
1001,5015
257,36702
105,56843
105,42104
105,66427
257,29213
257,1802
257,64709
5172,19434
105,11526
257,22854
342,59293
105,15777
2620,56391
1001,12949
16697,9366
1001,72850
105,13215
4456,7357
257,48719
257,31981
105,55789
105,64711
105,3009
105,49554
342,20572
5172,55694
105,23801
105,74419
342,8942
105,19526
105,72864
105,62351
257,35151
