motherofperson_1,motherofperson_2
1995,2874
9065,9066
9998,9999
12264,12265
13408,2924
5925,5924
19917,9870
9065,22986
24013,24014
25669,25670
27669,27670
4212,4211
19917,2730
33398,33399
19917,5405
33882,31183
2016,14869
36091,8254
16588,34886
29135,29134
15749,37075
33882,6014
2016,33610
16588,42097
33882,10844
43365,12555
25669,44604
36262,5308
1651,46767
19549,19550
2016,13093
19917,14631
51437,51438
1995,2968
1995,50995
19917,1122
33762,56317
2016,4928
55366,51961
30019,25504
2016,34620
59142,33254
56833,56834
1995,123
15749,15748
19917,2017
10930,10929
62059,62060
1165,62438
13929,19329
33882,14870
16345,63875
33398,50572
5924,5925
44314,44313
25669,52779
51280,8547
19917,67583
67688,67689
2016,2308
13068,22566
1995,55768
19917,1995
33762,33761
41642,37604
25081,25080
68634,68633
2016,13994
2016,70895
2016,57121
65448,65447
48751,40632
9065,22944
1995,64763
63207,36491
21526,21525
2016,25829
33882,2636
19550,19549
64409,64410
35770,35769
2016,54094
68282,40273
12264,40029
15749,64607
45823,3658
68282,68281
25295,39168
55926,55925
43286,43285
33398,72632
1995,13929
