motherofperson_inv_1,motherofperson_inv_2
4211,4212
5924,5925
10929,10930
2968,1995
15748,15749
25080,25081
25829,2016
33610,2016
33761,33762
2636,33882
9066,9065
33399,33398
10844,33882
2924,13408
13929,1995
13093,2016
43285,43286
2308,2016
1122,19917
31183,33882
39168,25295
50572,33398
50995,1995
8547,51280
14870,33882
2874,1995
1995,19917
21525,21526
5925,5924
8254,36091
6014,33882
5308,36262
51961,55366
55768,1995
54094,2016
3658,45823
19329,13929
123,1995
57121,2016
29134,29135
56834,56833
35769,35770
34886,16588
9870,19917
27670,27669
22944,9065
14631,19917
37075,15749
46767,1651
36491,63207
63875,16345
64607,15749
65447,65448
56317,33762
37604,41642
42097,16588
68281,68282
44313,44314
4928,2016
25670,25669
22566,13068
2017,19917
14869,2016
67689,67688
13994,2016
34620,2016
33254,59142
51438,51437
62438,1165
64410,64409
72632,33398
5405,19917
12265,12264
24014,24013
55925,55926
40273,68282
44604,25669
52779,25669
64763,1995
22986,9065
19549,19550
70895,2016
12555,43365
2730,19917
9999,9998
40029,12264
68633,68634
62060,62059
40632,48751
67583,19917
25504,30019
19550,19549
