mountaininstate_1,mountaininstate_2
5906,4047
8271,8272
8700,3738
3263,3262
17456,4089
20972,8672
21094,2079
21336,2079
24084,2625
24305,1724
25948,4047
27137,243
27410,243
28008,3805
28340,4089
28933,3805
29083,904
30652,27991
32459,27991
37425,717
37843,9355
24760,1724
41354,1270
41984,1953
42118,1627
42728,2079
43523,3055
271,270
45627,904
45753,844
3164,3163
46228,46227
46758,819
46803,8672
48741,8272
48882,6288
14950,844
49773,459
45143,3163
49536,2079
48553,35231
50665,3805
50705,344
34708,1724
21461,459
52553,3805
53100,4047
53227,1092
53897,4047
56229,3538
13742,3738
38783,459
41466,3163
54585,27991
54388,3738
2800,2799
60336,844
17140,2366
60497,844
60545,3538
60620,2424
61864,321
36613,3738
62246,270
62740,3163
47918,1868
33103,3738
61919,321
64858,1724
65778,8272
38873,38872
41651,1016
21145,2417
57603,1724
46994,243
67817,3538
38846,844
65858,3805
68688,17
69992,3805
70022,1844
70216,844
62141,4299
71140,2079
14644,1844
56791,5802
57356,344
69865,3805
72063,819
71407,8162
71497,321
72512,38872
70604,270
68015,270
53034,321
58683,1724
73325,6288
13306,3262
38406,3805
71877,866
56264,2417
68335,321
68828,68827
66642,866
74198,3055
58237,1374
75071,3738
58128,3055
58996,1953
12380,2079
51073,321
66150,2079
26676,2417
75221,7905
62335,1868
69672,3262
