museumincity_inv_1,museumincity_inv_2
74,4782
299,9596
479,14597
133,16788
751,20607
133,20931
133,19084
8647,22279
133,27281
133,31410
74,2268
74,34069
133,37446
74,37555
8647,38084
74,40109
133,41131
74,41343
74,41507
74,42596
5228,48502
133,48624
74,49556
5896,49632
133,50744
74,51608
74,35344
5459,53557
74,53824
74,54283
565,54446
4099,50374
74,54739
751,56746
13418,19007
133,25237
299,42157
74,46010
133,62980
565,65154
133,61072
751,33022
4310,66438
5459,58198
74,57352
74,59097
114,45887
31615,31614
74,35057
74,61289
74,47337
74,61117
299,69128
133,70045
5121,13775
74,44467
133,70640
74,35028
74,69396
74,44840
1876,71977
4764,72130
751,51205
299,64576
751,60406
815,13658
74,19122
133,17430
74,68760
133,71166
73366,73367
74,44418
133,73475
751,29678
6837,42990
74,61672
5963,61514
8047,37449
479,49715
5459,60868
133,13874
74,69809
74,71723
565,74754
74,48956
133,58163
133,75233
5228,65786
114,26241
299,51310
565,56035
