musicartistgenre_1,musicartistgenre_2
962,963
1272,1273
2545,1715
2689,2690
1409,1715
3743,3744
3866,3867
4600,4601
4615,4156
4801,963
4904,1273
5041,4601
5281,4601
5446,5447
5933,3744
6351,1273
6352,4156
6424,1715
6852,4156
7513,4156
7806,4156
7856,7857
6141,9155
9168,9169
9190,3744
9423,1715
9847,1715
11164,4156
11207,11208
8763,4601
12861,1715
12890,5117
13261,1715
13278,1273
1830,13507
13765,4156
5856,1715
14102,1273
14399,1715
14531,11480
15201,4156
15462,1715
15645,4156
16037,4601
16091,4601
11481,11480
16447,9169
17047,4601
325,5117
17651,4156
6141,4156
17908,4156
9423,18714
18744,11208
19139,4156
19850,4601
20172,1715
20797,20798
21429,21430
15799,1273
21825,1715
22271,1715
22350,4156
22724,1715
23164,1273
23386,23387
23985,2500
4157,4156
24089,1715
24386,4156
24460,1715
24570,3744
24807,1715
15201,9645
9656,4156
24992,9655
25191,1715
14938,2500
25441,9169
25888,25889
26012,1715
5156,5155
26426,4156
416,9155
27346,4156
25453,3744
10319,1715
28053,1715
27952,14686
8362,1715
28588,4601
28591,1273
11472,1715
6780,1715
15201,1715
29158,22542
29230,4156
29261,4156
29418,29419
29781,29782
29863,29864
29885,1273
4801,1715
15047,5447
30455,1715
30471,1715
30488,1273
29781,1715
3329,1715
18744,21028
31399,1715
13142,4156
31671,2500
13278,1715
32479,1273
32852,9155
9829,9828
14938,14937
4157,9169
33328,8284
33339,1715
17468,1273
33421,3744
33808,3867
33875,4156
34163,3744
9656,9155
15235,1715
34388,22542
18443,1273
35048,4156
1409,35157
16527,4601
35548,35549
35633,1273
35792,18714
35858,35930
28908,11480
21797,4156
36198,2500
22271,35930
32354,4156
9423,4156
20797,1715
37389,4156
37436,1715
37546,4156
37553,1715
29759,963
15235,37631
37639,4156
36756,37650
9059,10602
25888,38101
38279,3744
14525,963
38363,4156
38454,3744
25888,1715
35646,1715
38803,1715
14525,10318
38882,4156
38944,963
39416,4601
35800,2584
3793,2500
20599,20598
35792,4156
23712,10306
29759,1715
39894,1715
8017,3744
38103,1273
35800,4601
416,1715
33996,2690
11113,1715
41261,41262
3653,1715
1666,22542
38944,1715
33339,4156
41932,3744
16447,4156
10603,1715
42840,4156
15559,4601
35633,1715
42840,9169
5446,4601
43371,4156
31996,5447
43505,4156
36707,1715
43870,3744
36198,39848
44007,1715
44049,1273
9352,9351
19139,1715
35858,3744
45620,4156
25888,33026
45833,1715
45905,4156
27218,4156
23386,4156
35476,1273
14102,46601
20044,1273
29759,41673
46740,24018
2501,2500
22271,3744
26426,11208
47008,2690
47189,4156
33127,4601
47246,1715
47369,37515
41788,1715
41829,1715
36263,1715
47948,1715
22113,1715
24386,1715
48381,1715
41829,3744
3875,1715
48489,1715
14938,1273
48827,20598
12890,8361
6351,37650
29161,1715
8709,1273
30573,1273
36198,14937
41829,29782
49255,1715
10603,1273
49395,1715
23712,14686
6352,9169
49797,1273
31393,10420
50476,4601
21472,29672
50684,50685
36183,4156
50908,1715
50946,4156
49917,1715
51119,1273
28117,22542
51234,1715
28336,2500
51406,1715
49395,4601
38762,1715
51837,9351
51978,1715
1409,45495
15275,1715
52566,38101
9676,11208
7856,38101
35576,1715
12064,18714
21472,1715
53158,2690
43026,1273
48293,10602
28591,53361
7063,4601
53302,4601
27218,9155
53588,8361
9059,1715
15462,4601
45461,1715
53961,4156
34722,4156
15645,32651
15559,5447
50946,9655
38508,38507
17908,29649
37968,4156
26426,7934
54987,1715
38001,3744
30549,1715
33081,14686
18084,1715
11113,41673
1830,1715
55267,4601
16441,3744
43413,1715
48381,3744
53737,4601
56127,1715
51062,4156
1666,4601
16527,5447
56276,9655
8763,5447
1409,38101
9656,1715
4191,4156
21797,1715
56946,4601
54312,7062
4801,14686
44190,1715
3743,2690
26426,16821
9059,1273
8763,22542
8250,1715
23712,10305
7856,963
49859,1715
11890,1715
25067,1715
58302,58303
10319,10318
12789,4156
35633,58460
9829,38142
29401,1273
13034,13033
20807,1715
6141,37631
59313,1715
6869,4156
56195,1273
44190,963
59455,9169
58302,4601
18084,18083
48362,9169
25888,1273
21472,4601
59946,1715
2449,14686
35576,3744
12857,1715
47575,4601
35800,22542
40637,3744
17679,3744
29230,1715
60617,60618
50460,4601
56272,1273
9059,20798
15047,4601
56994,4601
9482,1273
3875,4156
1409,33026
59714,1273
33081,1715
18744,1715
39459,3744
34646,1715
27337,4601
46942,46941
1830,55405
25642,3744
37968,9169
18443,1715
31393,1273
46299,46298
325,29782
52319,4601
8404,1715
62764,1273
10739,4156
56117,4156
14102,37515
62922,4601
7856,63030
25441,4156
50946,9155
15799,3744
20797,10602
48632,3744
63290,1273
47575,9645
63577,1715
7856,10909
11481,1715
6026,1273
35858,1715
48362,4156
45283,4156
21814,1273
64273,1715
28053,4156
64556,4156
64794,1273
10739,14686
47910,8284
25453,29782
64943,3744
65003,4156
15201,14686
58866,3744
29401,43965
2250,21028
8709,1715
9676,21028
65457,3744
65479,4156
65578,3744
65736,1273
51898,1273
31996,1273
7856,14686
23374,1715
218,1715
23374,4156
19548,1715
6780,4156
11472,11480
49234,3744
15799,1715
66460,2690
9656,9655
3875,3874
19548,3744
6505,4156
8362,8361
12890,17951
3866,20598
31996,4601
29759,11208
28025,4601
62522,2500
42311,33689
66358,1715
67239,2690
67267,1715
45944,4601
27337,1273
67394,9655
67410,22542
10603,10602
41824,29782
67528,29782
54916,9655
1409,963
43026,14937
416,14686
7856,33838
12965,3744
35633,2690
25453,1715
60546,1715
34974,21028
20384,1715
15559,1715
67997,1273
41403,4601
59859,22542
31393,1715
23712,1715
4191,1715
56108,32652
49627,3744
15047,5330
11113,38670
51927,1273
2250,1715
40769,1715
6869,9155
69019,1715
69093,4156
69094,3744
25673,1715
8250,4156
24920,1715
13347,4156
16145,16144
47962,4156
325,1715
25888,46601
1409,33838
3875,9155
47575,1715
5305,1715
59455,4156
45905,9169
19039,4601
8285,8284
16546,8284
5838,1715
11481,3744
49215,1715
31486,33026
23712,4156
70236,4156
14525,1715
46779,2690
43505,1715
70372,22542
2585,4601
23307,9155
40637,1715
34974,11208
70536,4156
43026,2500
34163,11480
8362,24022
50387,11480
19128,33026
70824,8284
25453,1273
12064,4156
53737,1273
6411,1715
68657,4601
12890,1715
38001,1273
71162,1715
64103,4156
3743,1715
23386,1715
23712,9155
16527,1715
56185,3744
10311,9172
48071,963
3366,1715
29230,9155
62524,1715
21814,1715
7856,9155
38665,4156
7806,1715
56108,32651
31399,8284
1409,7857
45833,43965
34974,14760
1666,5447
34802,4156
15047,1715
66631,4156
68132,4601
67796,4156
16145,8284
9190,1715
46537,4601
1409,37650
39131,38101
11945,1715
58186,4156
19128,963
50859,50858
35421,1715
16441,10602
7856,70273
23386,21995
38665,9169
44163,3744
38103,1715
7856,44189
10603,29782
36756,1715
43081,1715
11418,1715
53588,1715
59107,1715
51837,45229
44190,44189
68200,1273
9352,2690
63174,1715
29759,21028
70217,4156
15235,9155
34974,1715
13347,9155
72844,3744
48414,1715
42924,42923
72425,30572
32852,4156
8134,22542
26426,1715
56195,3867
20807,4156
2585,22542
49234,1715
37917,1715
65445,1715
47575,29840
44190,38101
7856,4156
30573,30572
45944,45943
35132,8361
4072,37650
33181,1715
33996,1715
31486,1715
58714,42923
489,1273
34163,1715
1409,3874
1409,10909
73756,1273
73798,1715
73812,4601
13232,1715
73851,3744
73856,1715
26426,21028
51837,2690
10311,9645
7806,9155
73710,3744
2449,1715
70225,1273
32294,3744
43081,61831
4801,9155
72766,4156
50460,1715
31486,1273
73821,4156
41403,1715
29158,4601
73391,29864
21797,9155
1409,30317
12890,24022
70924,29864
8134,4601
11898,1715
9168,4156
74322,1273
74324,3744
1716,1715
53969,4156
27952,1715
46463,7062
35646,8361
74482,37631
19128,1715
9676,4156
24807,1273
8483,8482
13034,1715
24807,3744
6869,1715
51131,29864
48209,1715
33081,963
41936,1715
2585,2584
68347,8361
29360,1715
10311,1715
9829,60978
34722,9169
73130,3744
25888,963
27692,1273
15645,1715
21151,3744
63519,63518
28336,14937
52476,1273
73442,11480
23386,21430
53666,1715
23307,4156
45283,18714
43548,1273
1409,19807
42311,1273
7466,1715
41000,2690
1409,18416
30314,22542
75063,1273
11164,9655
52566,1715
3875,14686
19908,1715
56108,1715
64688,1715
4801,4156
29401,1715
32385,4156
27218,1715
53864,4601
74871,3744
37436,3744
7856,1715
58251,1715
24388,3744
56587,4601
57180,2500
40473,1715
6869,37631
7856,3874
15235,4156
75326,4601
32658,4601
75161,1715
69136,7062
11472,53613
34646,1273
72179,3744
18443,41262
21472,11480
48190,1715
71648,4601
3653,11208
1409,1408
75379,4601
49566,4156
28098,4156
7063,7062
32168,1715
8483,1715
51237,29649
75410,29864
53549,4156
17777,4156
45666,24018
3653,21028
7640,1715
35132,1715
22113,963
75244,38101
25713,9655
67813,7062
9676,1715
8709,963
69353,9655
72541,4601
25888,49518
70775,2690
45420,4601
72469,1715
9059,4601
23307,14686
218,4156
218,9155
29261,9655
2250,11208
27692,10602
51513,1715
2250,14760
64420,7062
6852,37631
41788,29782
65445,4601
37860,1715
75193,1715
416,4156
47575,1273
8763,14068
32168,1273
10739,1715
33996,45229
