musicartistgenre_inv_1,musicartistgenre_inv_2
1408,1409
1715,1716
1715,1830
1715,2250
2500,2501
2584,2585
1715,3366
2500,3793
3874,3875
4156,4157
5155,5156
1715,5838
1715,5856
4156,218
4156,6505
7062,7063
4601,8134
8284,8285
8361,8362
8482,8483
963,8709
9351,9352
1273,9482
9655,9656
9828,9829
10318,10319
10602,10603
10909,1409
1715,11472
11480,11481
1715,11890
1715,11945
4156,12789
3744,12965
3744,9190
13033,13034
4156,13142
1715,13232
1715,7806
4156,13347
7857,1409
3744,11481
14068,8763
14937,14938
1715,8483
1715,15559
1273,15799
16144,16145
3744,16441
5447,16527
8284,16546
1273,17468
1715,9423
3744,17679
4156,17777
18083,18084
18416,1409
1273,18443
9155,218
5447,15559
1715,19548
1715,15201
963,1409
19807,1409
1715,19908
963,14525
1273,20044
10602,16441
1273,14102
1715,20384
1715,7640
20598,20599
4156,20807
21028,3653
1273,6026
3744,21151
1715,21472
21028,18744
14760,2250
1273,21814
1715,9190
4601,19850
1715,3653
9155,13347
14686,4801
3744,24388
1715,19128
1715,15645
1715,24920
1715,25453
3744,25642
2500,14938
9655,25713
1715,9656
1715,27218
24022,8362
14686,27952
4601,28025
4156,28098
22542,28117
963,962
9169,9168
4601,9059
11480,28908
1715,29360
29649,17908
9645,10311
1715,8709
22542,30314
30317,1409
4156,23307
1715,30549
30572,30573
4156,9168
10420,31393
1273,9059
4601,31996
3744,32294
4156,32354
4156,32385
4601,32658
33026,19128
4601,33127
4156,15645
33838,7856
1715,20807
13507,1830
1715,218
1715,25067
1715,18443
4156,6141
4156,34722
4156,34802
1715,15462
2500,28336
1715,35421
1273,35476
22542,35800
1715,35858
18714,35792
1715,36263
9169,4157
1273,27692
1715,36707
4156,4801
29419,29418
3874,1409
37515,14102
1715,37860
1715,37917
4156,37968
22542,34388
1273,38103
38142,9829
14686,10739
38507,38508
9169,38665
38670,11113
1715,38762
1715,325
14937,36198
9155,7806
4601,1666
3744,39459
1715,31486
1715,39894
9169,6352
18714,12064
1715,11113
1715,2545
14686,33081
3744,40637
1273,23164
1715,40769
14686,2449
2690,41000
1715,9847
41673,11113
9155,6869
1715,41788
29782,41824
1715,41936
1273,32479
17951,12890
42923,42924
2500,43026
4156,27218
1715,43413
1273,34646
1273,43548
1715,16527
1273,10603
4601,15462
2584,35800
43965,29401
7857,7856
3744,44163
44189,44190
4156,28053
9155,21797
4156,45283
1715,38103
4601,45420
11208,3653
45495,1409
22542,8134
24018,45666
9645,15201
10602,9059
1715,11418
45943,45944
14686,416
1273,29401
1715,10311
1715,38944
46298,46299
7062,46463
4601,46537
1715,27952
2690,46779
46941,46942
1715,43081
2500,31671
3744,19548
9645,47575
4156,9656
4156,6352
8284,47910
1715,35132
4156,47962
11208,11207
1715,48209
20798,20797
3744,3743
9169,48362
3744,48632
9169,34722
4156,32852
1715,49215
9655,24992
1715,36756
3867,3866
4156,49566
3744,49627
1715,35633
1715,49859
1715,49917
21028,34974
1715,33181
9155,27218
11480,50387
4601,50460
4156,9423
963,33081
4156,4191
4156,23374
8361,12890
50858,50859
38101,1409
4156,51062
29864,51131
1273,35633
1715,47575
1273,8709
1715,51513
1715,10603
1715,41829
1273,51927
1273,6351
4601,52319
1273,52476
1715,40473
4156,16447
4601,19039
4601,53302
1715,29161
46601,25888
4156,53549
2690,53158
1715,33081
53613,11472
25889,25888
33026,25888
1715,48190
1273,47575
32651,15645
9155,32852
49518,25888
9155,50946
7062,54312
1715,47948
5117,325
963,22113
9655,54916
4156,37546
29782,325
55405,1830
4601,28588
1273,53737
1715,38803
4156,56117
1715,13261
29864,29863
37515,47369
3744,56185
1273,56195
14937,43026
1273,56272
22542,29158
4601,56587
2690,3743
1715,53588
29782,41788
4601,56994
37631,6141
3744,48381
2500,57180
1273,28591
20798,9059
1715,4801
37650,6351
1715,23712
29649,51237
10306,23712
21430,21429
11208,26426
53361,28591
8361,35132
4156,58186
1715,15235
1273,43026
1273,51119
58460,35633
20598,48827
4601,17047
1273,25888
4156,45620
14686,3875
42923,58714
1715,51978
3744,58866
1273,31996
37631,6852
1715,59107
1715,49234
4156,38882
1273,59714
22542,59859
4156,10739
4156,23386
41262,41261
29672,21472
4156,25441
1715,2449
4601,16091
4601,41403
60978,9829
41673,29759
1273,1272
1715,21797
4601,5446
1273,31486
9169,37968
4601,21472
43965,45833
1715,7856
4156,45905
4601,47575
1273,30573
2500,62522
3874,7856
37650,36756
4601,55267
29782,10603
21430,23386
38101,7856
3744,38001
29782,25453
1715,63174
1715,51234
1715,58251
10602,48293
38101,25888
1715,25191
63518,63519
1273,25453
10318,14525
1715,20172
33026,31486
4156,42840
1715,41403
46601,14102
4601,35800
1715,63577
4601,62922
1715,29759
4156,64103
1273,27337
1715,19139
1715,33996
4601,45944
1715,35646
1715,12890
8361,53588
7062,64420
1715,43505
1715,64688
4156,6780
