musicgenressuchasmusicgenres_i_1,musicgenressuchasmusicgenres_i_2
1715,5117
8284,4156
10305,10306
1715,10420
8482,1715
2690,9351
9645,9172
16821,7934
1715,18326
1715,16821
1715,19235
14686,10305
1715,17367
4156,21953
4156,21995
22542,2584
1715,22918
4156,9155
9155,1715
9155,10306
9645,29840
1715,21028
1715,29840
1715,24022
1715,10306
1715,33546
10602,20798
1273,33689
1715,11480
1715,14937
1715,29782
1715,35363
4156,7934
1273,29840
1715,10602
1715,9645
4601,2584
4156,1715
1715,13033
1715,4601
1273,10420
1715,21953
9155,10305
8361,24022
10306,10305
1715,21995
21028,21953
3744,1715
11208,14760
1715,3744
14686,10306
2500,39848
21995,23387
9155,4156
1715,48682
1715,2690
1715,32652
21028,14760
21028,7934
9155,37631
1715,7934
1715,32651
8284,16144
22542,14068
9169,4156
24018,1715
1715,57477
4601,14068
11208,21953
1715,60527
1273,49518
1715,54023
21430,21995
21430,23387
1715,42923
1715,55405
1273,41262
1715,55830
4156,10306
21028,16821
1715,14686
1715,19795
4156,10305
32651,32652
4156,963
1273,1715
4601,22542
4601,29840
4156,9169
1715,11208
1273,3867
4601,1715
1715,33689
1715,38101
1715,9172
1273,58460
1273,53361
1715,58460
5447,5330
11208,7934
11480,29672
1715,5330
2690,1715
1715,43965
1715,9155
3867,1715
45229,9351
11208,21028
1715,39401
1273,25654
4601,5447
4156,23387
1715,63334
1715,41262
21028,11208
1715,22054
1715,17951
1715,33026
1715,61831
1273,25889
1715,20798
1715,18083
1715,25889
4156,16821
1715,23387
1715,14760
1715,10305
4601,58303
1715,25654
4156,37631
4156,18714
4601,29672
32652,32651
1715,41673
8361,17951
1715,1273
1715,10318
5447,14068
963,25889
1715,45229
1715,5447
11208,16821
963,49518
4601,45943
4156,14686
4156,32651
7934,16821
2500,14937
1715,8361
29782,5117
1715,963
1715,49518
1715,29672
4601,5330
14686,1715
2690,45229
963,1715
23387,21995
