musicianinmusicartist_1,musicianinmusicartist_2
324,325
488,489
1700,1701
2448,2449
4071,4072
4190,4191
5304,5305
6140,6141
6568,6569
6779,6780
6868,6869
7465,7466
7639,7640
8249,8250
8762,8763
9058,9059
9675,9676
9884,9885
9981,9982
10072,10073
10268,10269
10499,10500
3330,3329
11188,11189
11417,11418
11536,1409
12063,12064
14524,14525
14732,14733
15046,15047
15234,15235
15532,15533
15725,15726
16973,1409
18049,18050
18126,18127
19127,19128
19225,15235
19310,8709
19392,19393
20073,3875
20401,5305
20663,6869
20903,20904
20934,416
21856,21857
21872,21873
22112,22113
22134,218
22391,22392
23306,23307
23373,23374
4721,4720
417,416
24679,24680
25041,25042
25066,25067
25506,20797
25634,1409
26491,23307
19693,9656
26849,1409
27801,19128
28458,7856
28704,3866
22112,7856
5304,19128
29162,29161
21856,29514
13167,1409
29758,29759
22231,29847
29994,17468
30156,15559
30196,29759
30426,30427
30452,16441
20651,1409
23713,23712
219,218
21677,29759
11899,11898
32740,5150
32860,32861
3474,33081
33146,6869
33471,20172
33977,11898
29252,29251
34356,34357
25758,15201
4071,34646
34929,16546
34973,34974
35131,35132
35289,35576
35645,35646
8318,8317
35833,23307
3330,36164
36217,36218
33929,2250
33813,33812
4071,36756
37069,3875
37224,1830
33182,33181
37539,25453
37693,416
37709,23712
36309,28053
37946,9059
37952,11898
37955,1409
38000,38001
38767,38768
38892,12890
39047,1409
19348,23307
39130,39131
39272,21797
34560,8362
3330,40599
15825,15559
22231,416
41550,6869
41820,22405
41828,41829
20401,19128
21296,21295
42030,42031
42069,8362
42112,34974
42279,19139
42310,42311
42722,24570
42742,25453
23823,6659
4071,8709
44749,34974
45460,45461
45642,45643
45716,16037
21985,10739
21856,3366
45797,45798
45959,45960
31797,24386
30712,30711
10960,2250
47095,218
47232,47233
47599,20172
47647,19334
4071,29759
10072,47637
4071,21814
48292,48293
23373,416
48437,48438
49233,49234
27693,27692
3330,49648
49705,32168
49706,34802
49767,49768
40035,10739
49997,47233
40237,6869
50294,15726
50578,33081
50593,8362
34356,50891
51162,2250
25643,21472
4071,51898
49709,49708
52561,21295
20799,15047
6153,21295
53056,25453
53574,51406
31747,53666
53863,53864
33205,46329
43273,1409
49767,41936
32983,27692
4071,8362
55994,40633
30870,1409
56094,53737
56148,24807
4071,25888
52533,27952
42330,17468
53863,21472
55559,1409
57186,57187
57346,416
24329,23307
57264,15201
7639,9247
39747,40633
11715,31486
5151,5150
58341,15047
15835,4801
39747,10319
47232,41788
58928,35132
25601,8709
59090,8709
6027,6026
41840,1409
48621,24089
59501,40769
26020,42802
3330,31486
39957,39956
57626,53969
59984,22392
22112,10073
60024,11113
25674,25673
4071,35633
53090,48827
52169,20172
20401,1409
5317,60546
60560,6869
46320,6141
9981,29158
55408,11113
6270,6269
7256,7255
61131,8362
61239,15235
53291,29759
4071,962
12858,12857
4071,19128
61775,27692
62084,28053
15481,41403
56851,3775
21750,21749
62592,62593
28458,10073
44127,44126
33185,3653
52506,34802
45168,25888
7700,7699
