musicianinmusicartist_inv_1,musicianinmusicartist_inv_2
218,219
416,417
1666,1667
416,3280
3329,3330
3653,3654
4720,4721
5150,5151
6026,6027
6269,6270
6411,6412
6464,417
7255,7256
1409,7697
7699,7700
8317,8318
8404,8405
8778,8779
8932,9085
9247,7639
10399,10400
9676,10841
10500,10499
2250,10960
11481,7463
11898,11899
12857,12858
1409,13167
10739,13551
15275,15276
15559,15825
4801,15835
6569,18476
19039,19040
1409,20304
1409,20651
21295,21296
21749,21750
22405,22406
23080,2448
23531,10268
23712,23713
6659,23823
19393,24145
23307,24329
21472,25643
25673,25674
6780,26020
23712,25491
5305,26097
12861,26759
16441,26801
416,26998
27337,27338
14525,27471
27692,27693
218,22134
28013,28014
28336,28337
25453,4071
29161,29162
29251,29252
9982,9981
30356,30357
9847,4071
30711,30712
14399,6779
3875,31346
31486,3330
32537,32538
10739,21985
9885,32843
27692,32983
33181,33182
33812,33813
2250,33929
29230,32885
8362,34560
1409,34696
33081,3474
34899,34900
11113,35018
29158,9981
8250,8249
5305,5304
31393,36175
28053,36309
33996,37116
3866,28704
29401,37526
38001,38028
1409,11536
38338,38339
21797,39566
416,20934
10319,39747
3366,21856
19139,39929
39956,39957
10739,40035
9059,40447
40473,40474
18127,18126
40633,39747
30427,30426
7856,28458
6869,41066
1409,41193
41403,15481
6141,6140
13261,37769
10073,10072
19128,5304
17468,42330
5305,4071
416,42849
34646,42891
15462,30156
4191,4190
1409,43850
44126,44127
19262,31493
325,7949
25888,45168
25673,45220
39131,39130
19393,45762
6141,46320
46329,33205
41829,41828
22113,22112
47287,47288
34974,34973
10319,47461
47637,32538
8709,47743
48050,48051
48071,4071
48143,20903
7466,37586
24089,48621
23307,19348
16037,45716
20797,25506
1409,26849
25042,25041
3743,49589
12857,49603
3875,37069
49708,49709
22392,22391
2585,49815
15275,40441
20172,33471
15275,50174
50221,50222
1409,50255
50431,25601
34646,4071
1409,20401
41788,47232
36218,36217
51479,51480
21472,51619
16546,34929
51840,51841
20172,52169
1409,32979
9676,52256
19334,47647
34802,52506
27952,52533
3743,49709
47233,47232
48827,53090
29759,53291
25673,53500
19128,32979
34974,44749
8709,4071
53737,53738
53969,53970
8362,50593
416,37693
47575,54260
10073,28458
4801,54458
51837,54506
54912,54913
45461,45460
11113,55408
39416,55476
22724,55488
45461,55514
1409,19127
1409,55559
2449,26020
8954,55653
29759,30196
15201,3330
1409,26097
35476,56196
56335,56336
19128,19127
48381,56771
20172,56840
3775,56851
25453,42742
56947,43607
1409,41840
8362,4071
7856,32538
1409,57207
6569,6568
15201,57264
16441,30452
10739,57376
21797,57548
53969,57626
20807,57807
15799,57987
58028,58029
25453,58063
11898,37952
58251,58252
58397,4071
29759,21677
2890,58502
26426,36159
6869,40237
29781,53603
40599,3330
7267,53014
58916,58917
15047,15046
53666,31747
19139,42279
59268,59269
52566,59283
11418,11417
23374,23373
1409,43273
25067,59828
4801,21234
41936,49767
25453,60360
31399,60418
41829,60505
22405,41820
21873,35305
38001,45642
8709,59090
24570,42722
49708,49589
48414,61851
42031,42030
27692,61775
10603,62041
62175,4071
1409,62202
15645,43439
10073,32538
62524,56840
35576,35289
50891,34356
1409,6270
9656,19693
62795,22406
51406,62991
25888,47743
1409,26229
10311,63322
1830,58723
10739,63428
2449,2448
6869,20663
25888,25601
1409,15252
32537,10072
25453,53056
45960,64120
64165,7639
64196,53843
64198,64199
29847,22231
1701,1700
49859,64470
15533,15532
15201,64926
9059,9058
10311,52141
14399,26020
22113,10072
21472,53863
49234,49233
28053,47288
12890,37952
65445,65446
1409,65485
15275,64038
48438,48437
27337,65566
31393,65604
48293,48292
21295,6153
14733,14732
7856,65960
66061,66060
1409,66102
65196,3330
29514,21856
11113,60024
416,23373
25888,19310
325,66955
66986,66987
21825,62041
38768,38767
20172,65859
12861,67461
14525,14524
1409,41747
56195,64590
54312,67683
67686,3330
51406,67853
1409,16973
3875,67898
20172,47599
33888,33887
51837,15743
7267,59553
33081,50578
2250,36869
15201,68810
60546,5317
23307,23306
25453,37539
34802,49706
57187,57186
7466,7465
23712,54796
47637,10072
10311,69072
3653,69826
2449,66952
31399,70335
19128,4071
28025,70484
19128,50255
9059,37946
31393,70548
29759,70641
22392,59984
29251,67804
6869,6868
66407,66406
33081,71032
6141,33146
38001,38000
25888,4071
2250,51162
36756,4071
3875,20073
2098,2099
24089,63780
35646,57186
32168,49705
71719,71720
71791,71792
15559,30156
7778,41919
47233,49997
21814,4071
12064,12063
15047,58341
962,4071
72210,72211
22113,28458
6351,4071
489,488
40769,59501
1409,5304
9482,72440
15726,50294
51062,68517
29759,29758
1409,72501
10739,18258
60546,66231
45960,45959
56108,72816
49768,49767
72886,14524
416,22231
1409,54623
11481,29162
10073,22112
19128,20401
25673,71779
8763,8762
42311,42310
21857,21856
50431,59090
71884,71883
62593,62592
1409,64247
23307,35833
18050,18049
73701,73702
21295,52561
42802,26020
17468,29994
23712,71141
25067,73786
1409,37955
36707,21234
15235,19225
19128,27801
325,324
29759,4071
20904,20903
29230,74095
40473,23255
6141,74212
6780,6779
21429,48447
5150,32740
6869,33146
73860,61631
5305,20401
22350,38450
3653,33185
72210,73026
20172,57068
35132,58928
28053,62084
43413,43077
29161,7463
6869,41550
12890,38892
15201,25758
7856,10072
1409,25634
13278,56148
18443,22981
15235,15234
51898,4071
15235,61239
49648,3330
1409,30870
9676,9675
6869,60560
24807,56148
8362,72321
51406,53574
53864,53863
24680,24679
9847,65623
53737,56094
36164,3330
30549,67212
49395,61407
68967,46088
25888,59090
34357,34356
10269,10268
45798,45797
31486,11715
218,47095
75054,75055
21873,21872
1409,64141
8362,42069
8709,19310
75152,64941
9885,9884
15047,20799
26426,72026
24386,13508
74936,26020
4072,4071
23712,37709
1409,39047
29759,67464
48414,46837
24386,31797
23307,26491
73987,73986
40769,72045
35646,35645
21797,39272
31393,4071
12890,71793
8709,25601
64688,60024
25067,25066
8362,61131
10311,74826
29759,40519
67394,67605
35633,4071
32861,32860
11898,33977
74637,32860
1409,75419
7856,22112
1830,37224
74972,74971
45643,45642
416,57346
75372,61457
71354,29994
31399,66440
1409,61434
19393,19392
11189,11188
15726,15725
35132,35131
7640,7639
1409,25601
40633,55994
73862,62592
1409,27801
25067,75224
34974,42112
10739,75342
